extractor,fy,page,what,reason,ours,theirs,difference
treasurers-cash,2011,72,col0,column does not foot to the page’s own printed total,4063529.16,8815693.69,-4752164.53
treasurers-cash,2012,72,col0,column does not foot to the page’s own printed total,5968289.33,7639526.63,-1671237.30
treasurers-cash,2013,77,col0,column does not foot to the page’s own printed total,6492677.37,nothing,
treasurers-cash,2014,36,col0,column does not foot to the page’s own printed total,8702140.65,8861659.32,-159518.67
treasurers-cash,2015,4,col0,column does not foot to the page’s own printed total,189.92,nothing,
treasurers-cash,2018,43,col0,column does not foot to the page’s own printed total,14300859.92,14407792.64,-106932.72
treasurers-cash,2019,44,col0,column does not foot to the page’s own printed total,10534806.44,15084021.00,-4549214.56
treasurers-cash,2020,39,col0,column does not foot to the page’s own printed total,19400159.53,19768992.71,-368833.18
treasurers-cash,2020,39,col1,column does not foot to the page’s own printed total,14868711.21,nothing,
treasurers-cash,2021,39,col0,column does not foot to the page’s own printed total,12872090.89,20477756.00,-7605665.11
