dataset,fy,edition,pages,printed_heading,table,grain,printed_total,checkable,extractable,rows,notes
receipts,2011,FY2011,58,FY 2011 RECEIPTS - JUNE 2011,"FY 2011 receipts, line by line",one revenue account,,no,messy,90,"Columns one and two are complete and clean. The THIRD column's amounts are missing: SALE OF TOWN PROPERTY/EQUIPMENT, SCHOOL BASED MEDICARE REIMB, MEDICARE PART D REIMBURSEMENT, LOCK UP FEES, MISC. REVENUE, FEDERAL REVENUE, INVESTMENT INCOME, PRIOR YEAR EXCISE, PRIOR YEAR INT/DEMAND and TRANSFERS FRO"
receipts,2011,FY2011,58,SUMMARY OF RECEIPTS,Summary of receipts by category,one revenue category,"GRAND TOTAL (label present, value not captured)",yes,not without geometry,10,"STILL DAMAGED. Category labels all present (TAXES & EXCISES, FEES, LICENSES AND PERMITS, STATE REVENUE, SPECIAL ASSESSMENTS, FINES & FORFEITS, INVESTMENT INCOME, TRANSFER FROM OTHER FUNDS, NON RECURRING REVENUE, GRAND TOTAL) but every value is missing — this sits in the same damaged third column as "
receipts,2012,FY2012,58,FY 2012 RECEIPTS - JUNE 2012 / TAXES & EXCISES: / INTEREST: / DEMANDS: / FEES: / DEPARTMENTAL REVENUE: / LICENSES/PERMITS: / STATE REVENUE: / FINES & FORFEITS: / EARNINGS ON INVESTMENTS:,"FY 2012 receipts, line by line",one revenue account,,no,messy,95,"Columns one and two are clean; the third column's amounts are missing exactly as in FY2011 (DOG FINES, SALE OF TOWN PROPERTY/EQUIPMENT, SCHOOL BASED MEDICARE REIMB, MEDICARE PART D, LOCK UP FEES, MISC. REVENUE, PREMIUM SALE OF BONDS, INVESTMENT INCOME, PRIOR YEAR EXCISE, PRIOR YEAR INT/DEMAND, TRANS"
receipts,2013,FY2013,63,FY 2013 RECEIPTS - JUNE 2013 / TAXES & EXCISES: / INTEREST: / DEMANDS: / FEES: / LICENSES/PERMITS: / STATE REVENUE: / EARNINGS ON INVESTMENTS:,"FY 2013 receipts, line by line",one revenue account,,no,messy,95,"Same shape as the other two years: columns one and two clean, third column labels present with no values (DOG FINES, FEDERAL REVENUE, SCHOOL BASED MEDICARE REIMB, MEDICARE PART D, LOCK UP FEES, MISC. REVENUE, MEDICAL RECORDS, INVESTMENT INCOME, PRIOR YEAR EXCISE, PRIOR YEAR INT/DEMAND, TRANSFERS FRO"
receipts,2013,FY2013,63,SUMMARY OF RECEIPTS / TAXES & EXCISES / FEES / LICENSES AND PERMITS / ...,Summary of receipts by category,one revenue category,,no,not without geometry,10,"Labels present, values absent — identical failure to FY2011 and FY2012. In all three years the receipts GRAND TOTAL is the one figure that would let the detail be reconciled and in all three years it is the figure that is missing."
receipts,2014,FY2014,22,FY 2014 RECEIPTS - JUNE 2014,"Receipts by revenue account, FY2014",one revenue account,"SUMMARY OF RECEIPTS: TAXES & EXCISES $21,630,885.64; FEES $556,792.92; LICENSES AND PERMITS $293,937.65; STATE REVENUE $7,273,215.19; SPECIAL ASSESSMENTS $55,152.53; FINES & FORFEITS $48,537.50; INVESTMENT INCOME $14,811.95; TRANSFER FROM OTHER FUNDS $807,442.00; NON RECURRING REVENUE $108,604.09; GRAND TOTAL $30,789,379.47",yes,messy,95,"THE FY2013 VERSION OF THIS TABLE HAD ITS THIRD COLUMN OF AMOUNTS CLIPPED OFF THE PAGE. Here all three columns are complete, including the entire summary box and the GRAND TOTAL - so FY2014 gives you the summary that FY2013 does not. Extraction caveat: because it is three column-pairs on one line, a "
receipts,2015,FY2015,22,FY 2015 RECEIPTS - JUNE 2015,FY2015 receipts by revenue source,one revenue source,"GRAND TOTAL $31,842,092.19",yes,messy,110,"The page heading is at the BOTTOM of the page (last line), not the top -- a heading-based search will miss it. The SUMMARY OF RECEIPTS block gives class subtotals: TAXES & EXCISES $22,402,150.73; FEES $544,131.63; LICENSES AND PERMITS $243,600.38; STATE REVENUE $7,501,423.18; SPECIAL ASSESSMENTS $56"
receipts,2016,FY2016-addendum,1,FY 2016 RECEIPTS - JUNE 2016,FY2016 receipts by revenue source -- complete version,one revenue source,the GRAND TOTAL label is present in the column-3 label line ('... TRANSFER FROM OTHER FUNDS NON RECURRING REVENUE GRAND TOTAL') but ITS VALUE IS NOT IN THE TEXT LAYER -- the OCR recovered no values line for column 3 at all,yes,not without geometry,130,"THIS IS THE PAGE THE MAIN REPORT TRUNCATES, and it is the reason to keep this file. Column 3 carries the lines the main report loses: NET METERING CREDITS, SCHOOL BASED MEDICARE REIMB, MEDICARE PART D REIMBURSEMENT, LOCK UP FEES, MISC OVER/SHORT, FEDERAL REVENUE, PREMIUM SALE OF BONDS, SALE OF TOWN "
receipts,2016,FY2016,23,FY 2016 RECEIPTS - JUNE 2016,FY2016 receipts by revenue source -- TRUNCATED IN THIS DOCUMENT,one revenue source,NONE PRESENT -- the SUMMARY OF RECEIPTS block and its GRAND TOTAL are in the missing third column,yes,messy,70,"THIS TABLE IS INCOMPLETE HERE. The equivalent FY2015 page (FY2015 p22) is 58 text lines and ends with a SUMMARY OF RECEIPTS block and GRAND TOTAL $31,842,092.19; this page is 38 lines and stops abruptly at 'CH 70 SCHOOL AID $5,834,483.00'. The missing third column carried NET METERING CREDITS, SCHOO"
receipts,2017,FY2017,22,FY 2017 RECEIPTS - JUNE 2017,Receipts by revenue account for the year,one revenue account,"GRAND TOTAL $37,050,712.82 (in the SUMMARY OF RECEIPTS box); component subtotals printed as TAXES & EXCISES $26,485,373.05 / FEES $513,958.09 / LICENSES AND PERMITS $309,511.31 / STATE REVENUE $8,341,095.00 / SPECIAL ASSESSMENTS $112,088.53 / FINES & FORFEITS $22,494.11 / INVESTMENT INCOME $44,961.75 / TRANSFER FROM OTHER FUNDS $923,159.76 / NON RECURRING REVENUE $298,071.22",yes,not without geometry,95,"The three columns interleave badly: a single extracted line often carries one account from each of the three columns (e.g. 'PERSONAL PROPERTY TAXES $714,783.71 RENTAL FEES CELL TOWER $36,125.94 NET METERING CREDITS $121,847.93'). Group headings appear part-way down a column so a naive top-to-bottom "
