town,year,line,amount,role,source_file,source_ref
Ayer,2021,Free Cash Certified Prior Year,1553607.00,prior_year_certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A4
Ayer,2021,Current Year Calculation,2528927.00,certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A5
Ayer,2021,Revenue Deficits,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A6
Ayer,2021,Excess/Shortfall Local Receipts (CL#6),553813.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A7
Ayer,2021,Add Actual Revenue Received but not Estimated (CL#7),45683.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A8
Ayer,2021,Excess/Shortfall Cherry Sheet Receipts (CL#8),19884.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A9
Ayer,2021,Add Unencumbered/Unexpended Appropriations (CL#11),1295416.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A10
Ayer,2021,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A11
Ayer,2021,Add Prior Year Free Cash Not Appropriated (CL#12),0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A12
Ayer,2021,Add Overlay Surplus Closed (CL#13),402770.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A13
Ayer,2021,Prior & Current Year Outstanding Receivables Total,69006.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A14
Ayer,2021,Net Change in Adjustment to Free Cash,42759.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A15
Ayer,2021,Other Adjustments,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A16
Ayer,2021,"Identified Free Cash July 1,",2429331.00,identified_total,dls/free-cash-proof-ayer.xlsx,Sheet1!A17
Ayer,2022,Free Cash Certified Prior Year,2528927.00,prior_year_certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A4
Ayer,2022,Current Year Calculation,1936459.00,certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A5
Ayer,2022,Revenue Deficits,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A6
Ayer,2022,Excess/Shortfall Local Receipts (CL#6),449508.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A7
Ayer,2022,Add Actual Revenue Received but not Estimated (CL#7),36966.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A8
Ayer,2022,Excess/Shortfall Cherry Sheet Receipts (CL#8),14088.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A9
Ayer,2022,Add Unencumbered/Unexpended Appropriations (CL#11),903752.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A10
Ayer,2022,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A11
Ayer,2022,Add Prior Year Free Cash Not Appropriated (CL#12),0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A12
Ayer,2022,Add Overlay Surplus Closed (CL#13),315302.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A13
Ayer,2022,Prior & Current Year Outstanding Receivables Total,-171121.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A14
Ayer,2022,Net Change in Adjustment to Free Cash,43830.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A15
Ayer,2022,Other Adjustments,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A16
Ayer,2022,"Identified Free Cash July 1,",1592325.00,identified_total,dls/free-cash-proof-ayer.xlsx,Sheet1!A17
Ayer,2023,Free Cash Certified Prior Year,1936459.00,prior_year_certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A4
Ayer,2023,Current Year Calculation,1677665.00,certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A5
Ayer,2023,Revenue Deficits,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A6
Ayer,2023,Excess/Shortfall Local Receipts (CL#6),280959.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A7
Ayer,2023,Add Actual Revenue Received but not Estimated (CL#7),21686.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A8
Ayer,2023,Excess/Shortfall Cherry Sheet Receipts (CL#8),-28162.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A9
Ayer,2023,Add Unencumbered/Unexpended Appropriations (CL#11),1337566.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A10
Ayer,2023,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A11
Ayer,2023,Add Prior Year Free Cash Not Appropriated (CL#12),0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A12
Ayer,2023,Add Overlay Surplus Closed (CL#13),250000.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A13
Ayer,2023,Prior & Current Year Outstanding Receivables Total,66435.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A14
Ayer,2023,Net Change in Adjustment to Free Cash,-131210.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A15
Ayer,2023,Other Adjustments,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A16
Ayer,2023,"Identified Free Cash July 1,",1797274.00,identified_total,dls/free-cash-proof-ayer.xlsx,Sheet1!A17
Ayer,2024,Free Cash Certified Prior Year,1677665.00,prior_year_certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A4
Ayer,2024,Current Year Calculation,3261808.00,certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A5
Ayer,2024,Revenue Deficits,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A6
Ayer,2024,Excess/Shortfall Local Receipts (CL#6),1293060.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A7
Ayer,2024,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A8
Ayer,2024,Excess/Shortfall Cherry Sheet Receipts (CL#8),-36221.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A9
Ayer,2024,Add Unencumbered/Unexpended Appropriations (CL#11),1474696.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A10
Ayer,2024,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A11
Ayer,2024,Add Prior Year Free Cash Not Appropriated (CL#12),0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A12
Ayer,2024,Add Overlay Surplus Closed (CL#13),250000.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A13
Ayer,2024,Prior & Current Year Outstanding Receivables Total,43488.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A14
Ayer,2024,Net Change in Adjustment to Free Cash,80162.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A15
Ayer,2024,Other Adjustments,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A16
Ayer,2024,"Identified Free Cash July 1,",3105185.00,identified_total,dls/free-cash-proof-ayer.xlsx,Sheet1!A17
Ayer,2025,Free Cash Certified Prior Year,3261808.00,prior_year_certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A4
Ayer,2025,Current Year Calculation,2912510.00,certified,dls/free-cash-proof-ayer.xlsx,Sheet1!A5
Ayer,2025,Revenue Deficits,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A6
Ayer,2025,Excess/Shortfall Local Receipts (CL#6),1376844.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A7
Ayer,2025,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A8
Ayer,2025,Excess/Shortfall Cherry Sheet Receipts (CL#8),29052.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A9
Ayer,2025,Add Unencumbered/Unexpended Appropriations (CL#11),1799389.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A10
Ayer,2025,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A11
Ayer,2025,Add Prior Year Free Cash Not Appropriated (CL#12),0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A12
Ayer,2025,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A13
Ayer,2025,Prior & Current Year Outstanding Receivables Total,-249498.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A14
Ayer,2025,Net Change in Adjustment to Free Cash,24466.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A15
Ayer,2025,Other Adjustments,0.00,component,dls/free-cash-proof-ayer.xlsx,Sheet1!A16
Ayer,2025,"Identified Free Cash July 1,",2980253.00,identified_total,dls/free-cash-proof-ayer.xlsx,Sheet1!A17
Groton,2021,Free Cash Certified Prior Year,1087033.00,prior_year_certified,dls/free-cash-proof-groton.xlsx,Sheet1!A4
Groton,2021,Current Year Calculation,2347087.00,certified,dls/free-cash-proof-groton.xlsx,Sheet1!A5
Groton,2021,Revenue Deficits,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A6
Groton,2021,Excess/Shortfall Local Receipts (CL#6),1392012.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A7
Groton,2021,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A8
Groton,2021,Excess/Shortfall Cherry Sheet Receipts (CL#8),43149.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A9
Groton,2021,Add Unencumbered/Unexpended Appropriations (CL#11),687043.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A10
Groton,2021,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A11
Groton,2021,Add Prior Year Free Cash Not Appropriated (CL#12),387596.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A12
Groton,2021,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A13
Groton,2021,Prior & Current Year Outstanding Receivables Total,-10142.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A14
Groton,2021,Net Change in Adjustment to Free Cash,-37.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A15
Groton,2021,Other Adjustments,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A16
Groton,2021,"Identified Free Cash July 1,",2499621.00,identified_total,dls/free-cash-proof-groton.xlsx,Sheet1!A17
Groton,2022,Free Cash Certified Prior Year,2347087.00,prior_year_certified,dls/free-cash-proof-groton.xlsx,Sheet1!A4
Groton,2022,Current Year Calculation,2115125.00,certified,dls/free-cash-proof-groton.xlsx,Sheet1!A5
Groton,2022,Revenue Deficits,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A6
Groton,2022,Excess/Shortfall Local Receipts (CL#6),1173510.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A7
Groton,2022,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A8
Groton,2022,Excess/Shortfall Cherry Sheet Receipts (CL#8),47452.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A9
Groton,2022,Add Unencumbered/Unexpended Appropriations (CL#11),403150.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A10
Groton,2022,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A11
Groton,2022,Add Prior Year Free Cash Not Appropriated (CL#12),440717.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A12
Groton,2022,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A13
Groton,2022,Prior & Current Year Outstanding Receivables Total,165759.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A14
Groton,2022,Net Change in Adjustment to Free Cash,-53715.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A15
Groton,2022,Other Adjustments,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A16
Groton,2022,"Identified Free Cash July 1,",2176873.00,identified_total,dls/free-cash-proof-groton.xlsx,Sheet1!A17
Groton,2023,Free Cash Certified Prior Year,2115125.00,prior_year_certified,dls/free-cash-proof-groton.xlsx,Sheet1!A4
Groton,2023,Current Year Calculation,2423442.00,certified,dls/free-cash-proof-groton.xlsx,Sheet1!A5
Groton,2023,Revenue Deficits,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A6
Groton,2023,Excess/Shortfall Local Receipts (CL#6),1890417.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A7
Groton,2023,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A8
Groton,2023,Excess/Shortfall Cherry Sheet Receipts (CL#8),104155.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A9
