first_seen,board,board_slug,meeting_date,kind,file_id,url,days_after_meeting_upper_bound
2026-09-08,Conservation Commission,conservation-commission,2026-09-12,agenda,8007,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09122026-8007,
2026-09-08,Finance Committee,finance-committee,2026-09-10,agenda,8003,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102026-8003,
2026-09-08,Finance Committee,finance-committee,2026-09-10,agenda,8005,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102026-8005,
2026-09-08,Historical Commission,historical-commission,2026-09-15,agenda,8004,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152026-8004,
2026-09-08,Planning Board Public Hearing,planning-board-public-hearing,2026-09-28,agenda,8006,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09282026-8006,
2026-09-08,Trust Fund Commission,trust-fund-commission,2026-09-10,agenda,8008,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102026-8008,
2026-09-11,Board of Assessors,board-of-assessors,2026-07-01,minutes,7885,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07012026-7885,72
2026-09-11,Board of Assessors,board-of-assessors,2026-08-05,minutes,7942,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08052026-7942,37
2026-09-11,Board of Assessors,board-of-assessors,2026-08-11,minutes,7956,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08112026-7956,31
2026-09-11,By-Law Committee,by-law-committee,2026-09-15,agenda,8012,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152026-8012,
2026-09-11,Conservation Commission,conservation-commission,2026-09-12,agenda,8009,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09122026-8009,
2026-09-11,Historical Commission,historical-commission,2026-09-10,agenda,8003,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102026-8003,1
2026-09-11,Planning Board,planning-board,2026-09-14,agenda,8010,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09142026-8010,
2026-09-11,Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2026-08-03,minutes,7929,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08032026-7929,39
2026-09-11,Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2026-09-16,agenda,8014,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09162026-8014,
2026-09-11,Select Board,select-board,2026-09-15,agenda,8011,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152026-8011,
2026-09-11,Sewer Commission,sewer-commission,2026-08-25,minutes,7974,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08252026-7974,17
2026-09-11,Stormwater Task Force,stormwater-task-force,2026-09-14,agenda,8013,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09142026-8013,
2026-09-15,Conservation Commission,conservation-commission,2026-09-16,agenda,8015,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09162026-8015,
2026-09-15,School Committee,school-committee,2026-09-16,agenda,8016,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09162026-8016,
2026-09-16,Board of Registrars,board-of-registrars,2026-09-18,agenda,8020,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09182026-8020,
2026-09-16,Library Board of Trustees,library-board-of-trustees,2026-09-17,agenda,8017,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09172026-8017,
2026-09-16,Library Board of Trustees,library-board-of-trustees,2026-09-18,agenda,8018,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09182026-8018,
2026-09-16,Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2026-09-21,agenda,8021,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09212026-8021,
2026-09-16,Select Board Public Hearing,select-board-public-hearing,2026-09-29,agenda,8019,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09292026-8019,
2026-09-17,Stormwater Task Force,stormwater-task-force,2026-09-21,agenda,8022,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09212026-8022,
2026-09-19,Agricultural Commission,agricultural-commission,2026-09-21,agenda,8024,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09212026-8024,
2026-09-19,Board of Health,board-of-health,2026-09-21,agenda,8023,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09212026-8023,
2026-09-19,Finance Committee,finance-committee,2026-09-24,agenda,8027,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09242026-8027,
2026-09-19,Personnel Committee,personnel-committee,2026-09-21,agenda,8026,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09212026-8026,
2026-09-19,Select Board,select-board,2025-05-03,minutes,7204,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05032025-7204,504
2026-09-19,Select Board,select-board,2025-10-24,minutes,7477,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10242025-7477,330
2026-09-19,Select Board,select-board,2025-11-04,minutes,7494,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11042025-7494,319
2026-09-19,Select Board,select-board,2025-11-18,minutes,7511,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11182025-7511,305
2026-09-19,Select Board,select-board,2025-11-25,minutes,7534,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11252025-7534,298
2026-09-19,Select Board,select-board,2025-12-02,minutes,7547,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12022025-7547,291
2026-09-19,Select Board,select-board,2025-12-09,minutes,7554,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12092025-7554,284
2026-09-19,Select Board,select-board,2025-12-16,minutes,7567,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12162025-7567,277
2026-09-19,Select Board,select-board,2026-02-17,minutes,7656,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02172026-7656,214
2026-09-19,Select Board,select-board,2026-03-03,minutes,7689,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03032026-7689,200
2026-09-19,Select Board,select-board,2026-03-16,minutes,7716,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03162026-7716,187
2026-09-19,Select Board,select-board,2026-03-17,minutes,7717,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03172026-7717,186
2026-09-19,Select Board,select-board,2026-03-23,minutes,7728,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03232026-7728,180
2026-09-19,Select Board,select-board,2026-03-31,minutes,7745,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03312026-7745,172
2026-09-19,Select Board,select-board,2026-04-14,minutes,7766,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04142026-7766,158
2026-09-19,Select Board,select-board,2026-04-21,minutes,7778,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04212026-7778,151
2026-09-19,Select Board,select-board,2026-05-02,minutes,7787,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05022026-7787,140
2026-09-19,Select Board,select-board,2026-05-05,minutes,7796,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05052026-7796,137
2026-09-19,Select Board,select-board,2026-07-27,minutes,7925,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07272026-7925,54
2026-09-19,Select Board,select-board,2026-08-10,minutes,7955,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08102026-7955,40
