report_fy,document,page,as_of_fy,as_of_basis,section,category,amount,identities_closed
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Athletic & Recreational Facilities,370000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Departmental Equipment,960000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Land Acquisition,330000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Other Building,4740000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Schools,8440000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Sewers & Drains,9058250,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Streets Sidewalks & Parking,10000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Other Outside General,256956,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Sewers,1805000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Water,1127786,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
