dataset,edition,report_fy,document,page,table,label,kind,amount,share_percent,columns_as_printed,status,reconciliation
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,Line Item Amount Salaries,row,28987.72,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,Vendors (Purch of Sucs),row,5042.5,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,Consultant,row,8480.0,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,Lease,row,6000.0,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,Advertising,row,1475.0,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,Equip/Maint,row,15696.7,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,Insurance,row,5302.92,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,New Equip,row,23862.0,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,65,line_items,Total,total,94846.84,,FY15 LINE ITEM EXPENSES,checked,"expenses: 94,846.84 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,66,revenue_expenses,Starting Balance,row,266081.17,,FY15 REVENUE vs EXPENSES,checked,"Revenue Total: 360,816.95 = the 2 receipts above it ; Ending Balance: 265,970.11 = Subtotal less Expenses"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,66,revenue_expenses,Revenue,row,94735.78,,FY15 REVENUE vs EXPENSES,checked,"Revenue Total: 360,816.95 = the 2 receipts above it ; Ending Balance: 265,970.11 = Subtotal less Expenses"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,66,revenue_expenses,Subtotal,total,360816.95,,FY15 REVENUE vs EXPENSES,checked,"Revenue Total: 360,816.95 = the 2 receipts above it ; Ending Balance: 265,970.11 = Subtotal less Expenses"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,66,revenue_expenses,Expenses,row,94846.84,,FY15 REVENUE vs EXPENSES,checked,"Revenue Total: 360,816.95 = the 2 receipts above it ; Ending Balance: 265,970.11 = Subtotal less Expenses"
peg_access_fund,FY2015,2015,4121-fy-2015-annual-town-report.pdf,66,revenue_expenses,Ending Balance,total,265970.11,,FY15 REVENUE vs EXPENSES,checked,"Revenue Total: 360,816.95 = the 2 receipts above it ; Ending Balance: 265,970.11 = Subtotal less Expenses"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,Line Item Amount Salaries,row,30162.59,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,Purchase of Services,row,6783.74,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,Consultant,row,13720.0,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,Lease,row,6000.0,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,Office Supplies,row,247.45,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,Advertising,row,1515.0,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,Equip/Maintenance,row,927.51,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,Insurance,row,5880.84,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
peg_access_fund,FY2016,2016,4123-fy-2016-annual-town-report.pdf,73,line_items,New Equip,row,30479.0,,FY16 LINE ITEM EXPENSES,checked,"expenses: 96,166.13 = the printed Total ; shares: this layout prints no percentage column ; each share is what its own figure gives"
