fy,edition,page_printed,page_pdf,statement,ordinal,total_row,amount,pct,precision,quote,document
2015,FY2015,65,65,line_item_expenses,1,TOTAL,94846.84,,cents,"$94,846.84",sources/town-annual-reports/docs/4121-fy-2015-annual-town-report.pdf
2015,FY2015,66,66,revenue_vs_expenses,1,Starting Balance,266081.17,,cents,"$266,081.17",sources/town-annual-reports/docs/4121-fy-2015-annual-town-report.pdf
2015,FY2015,66,66,revenue_vs_expenses,2,Revenue,94735.78,,cents,"$94,735.78",sources/town-annual-reports/docs/4121-fy-2015-annual-town-report.pdf
2015,FY2015,66,66,revenue_vs_expenses,3,Subtotal,360816.95,,cents,"$360,816.95",sources/town-annual-reports/docs/4121-fy-2015-annual-town-report.pdf
2015,FY2015,66,66,revenue_vs_expenses,4,Expenses,94846.84,,cents,"$94,846.84",sources/town-annual-reports/docs/4121-fy-2015-annual-town-report.pdf
2015,FY2015,66,66,revenue_vs_expenses,5,Ending Balance,265970.11,,cents,"$265,970.11",sources/town-annual-reports/docs/4121-fy-2015-annual-town-report.pdf
2016,FY2016,73,73,line_item_expenses,1,TOTAL,96166.13,,cents,"$96,166.13",sources/town-annual-reports/docs/4123-fy-2016-annual-town-report.pdf
2016,FY2016,74,74,revenue_vs_expenses,1,Starting Balance,265970.11,,cents,"$265,970.11",sources/town-annual-reports/docs/4123-fy-2016-annual-town-report.pdf
2016,FY2016,74,74,revenue_vs_expenses,2,Revenue,100431.72,,cents,"$100,431.72",sources/town-annual-reports/docs/4123-fy-2016-annual-town-report.pdf
2016,FY2016,74,74,revenue_vs_expenses,3,Subtotal,366401.83,,cents,"$366,401.83",sources/town-annual-reports/docs/4123-fy-2016-annual-town-report.pdf
2016,FY2016,74,74,revenue_vs_expenses,4,Expenses,96166.13,,cents,"$96,166.13",sources/town-annual-reports/docs/4123-fy-2016-annual-town-report.pdf
2016,FY2016,74,74,revenue_vs_expenses,5,Ending Balance,270235.70,,cents,"$270,235.70",sources/town-annual-reports/docs/4123-fy-2016-annual-town-report.pdf
2017,FY2017,68,68,line_item_expenses,1,TOTAL,74215.73,,cents,"$74,215.73",sources/town-annual-reports/docs/4124-fy-2017-annual-town-report.pdf
2017,FY2017,69,69,revenue_vs_expenses,1,Starting Balance,270235.70,,cents,"$270,235.70",sources/town-annual-reports/docs/4124-fy-2017-annual-town-report.pdf
2017,FY2017,69,69,revenue_vs_expenses,2,Revenue,107889.80,,cents,"$107,889.80",sources/town-annual-reports/docs/4124-fy-2017-annual-town-report.pdf
2017,FY2017,69,69,revenue_vs_expenses,3,Subtotal,378125.50,,cents,"$378,125.50",sources/town-annual-reports/docs/4124-fy-2017-annual-town-report.pdf
2017,FY2017,69,69,revenue_vs_expenses,4,Expenses,74215.73,,cents,"$74,215.73",sources/town-annual-reports/docs/4124-fy-2017-annual-town-report.pdf
2017,FY2017,69,69,revenue_vs_expenses,5,Ending Balance,303909.77,,cents,"$303,909.77",sources/town-annual-reports/docs/4124-fy-2017-annual-town-report.pdf
2017,FY2017,68,68,prose,1,REVENUE STATED IN PROSE,107849.80,,cents,"The overall payments received for FY17 were $107,849.80.",sources/town-annual-reports/docs/4124-fy-2017-annual-town-report.pdf
2018,FY2018,82,82,line_item_expenses,1,TOTAL,90582.67,,cents,"$90,582.67",sources/town-annual-reports/docs/4125-fy-2018-annual-town-report.pdf
2018,FY2018,83,83,revenue_vs_expenses,1,Starting Balance,303551.54,,cents,"$303,551.54",sources/town-annual-reports/docs/4125-fy-2018-annual-town-report.pdf
2018,FY2018,83,83,revenue_vs_expenses,2,Revenue,111045.25,,cents,"$111,045.25",sources/town-annual-reports/docs/4125-fy-2018-annual-town-report.pdf
2018,FY2018,83,83,revenue_vs_expenses,3,Subtotal,414596.79,,cents,"$414,596.79",sources/town-annual-reports/docs/4125-fy-2018-annual-town-report.pdf
2018,FY2018,83,83,revenue_vs_expenses,4,Expenses,90582.67,,cents,"$90,582.67",sources/town-annual-reports/docs/4125-fy-2018-annual-town-report.pdf
