fy,subject,pdf,ocr,text,located,extracted,database,published,pages,rows,blocked
2011,appropriations,yes,yes,yes,yes,,yes,,65 71,0,no extractor for this family yet
2012,appropriations,yes,yes,yes,yes,,yes,,65 81,0,no extractor for this family yet
2014,appropriations,yes,yes,yes,yes,,yes,,24 25 26 27 28 34,0,no extractor for this family yet
2015,appropriations,yes,yes,yes,yes,,yes,,24 25 26 27 28 34,0,no extractor for this family yet
2016,appropriations,yes,yes,yes,yes,,yes,,25 26 27 28 29 30 36,0,no extractor for this family yet
2017,appropriations,yes,yes,yes,yes,,yes,,24 25 26 27 28 34 155,0,no extractor for this family yet
2018,appropriations,yes,yes,yes,yes,,yes,,30 31 32 33 34 40 155,0,no extractor for this family yet
2019,appropriations,yes,yes,yes,yes,,yes,,160,0,no extractor for this family yet
2020,appropriations,yes,yes,yes,yes,,yes,,26 27 28 29 30 36,0,no extractor for this family yet
2022,appropriations,yes,yes,yes,yes,,yes,,28 29 30 31 32 38,0,no extractor for this family yet
2023,appropriations,yes,yes,yes,yes,,yes,,27 28 29 30 31 32,0,no extractor for this family yet
2014,balance-sheet,yes,yes,yes,yes,,,,20,0,no extractor for this family yet
2015,balance-sheet,yes,yes,yes,yes,,,,20,0,no extractor for this family yet
2016,balance-sheet,yes,yes,yes,yes,,,,20 21,0,no extractor for this family yet
2017,balance-sheet,yes,yes,yes,yes,,,,20,0,no extractor for this family yet
2018,balance-sheet,yes,yes,yes,yes,,,,26,0,no extractor for this family yet
2020,balance-sheet,yes,yes,yes,yes,,,,22,0,no extractor for this family yet
2022,balance-sheet,yes,yes,yes,yes,,,,24,0,no extractor for this family yet
2023,balance-sheet,yes,yes,yes,yes,,,,24,0,no extractor for this family yet
2011,payroll,yes,yes,yes,yes,,,,62 63,0,no extractor for this family yet
2012,payroll,yes,yes,yes,yes,,,,60 61 64,0,no extractor for this family yet
2013,payroll,yes,yes,yes,yes,,,,65 66 67 68 69,0,no extractor for this family yet
2016,payroll,yes,yes,yes,yes,,,,150 186,0,no extractor for this family yet
2018,payroll,yes,yes,yes,yes,,,,249 253 254,0,no extractor for this family yet
2020,payroll,yes,yes,yes,yes,,,,75,0,no extractor for this family yet
