fy,document,page,section,line,balance_forward,commitments,abatements,payments,refunds,transfer,adjustments,balance,row_check,ocr_corrected
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2008,3905.99,,,,,,,3905.99,two printed lines read as one,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2009,0.00,,,,,,,0.00,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2010,137.74,,,,,,,137.74,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2011,30.71,,,-9.70,,,,21.01,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2012,31.98,,,-10.10,,,,21.88,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2013,22.49,,,,,,,22.49,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2014,-2889.42,,,-11.79,308.39,,,-2592.82,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2015,1532.74,,,,,,,1532.74,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2016,506813.93,,-1565.78,-270790.27,26238.52,-260802.52,4.02,-102.10,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,,LEVY OF 2017,0.00,24142835.92,-105441.95,-23444296.47,7293.46,,-103720.42,496670.54,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 1998,3705.21,,,,,,,3705.21,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 1999,1900.15,,,,,,,1900.15,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2000,1695.21,,,,,,,1695.21,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2001,1095.91,,,,,,,1095.91,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2002,3615.73,,,,,,,3615.73,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2003,2879.08,,,-15.74,,,,2863.34,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2004,3187.82,,,-19.88,,,,3167.94,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2005,2180.68,,,-21.34,,,,2159.34,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2006,3600.00,,,-22.34,,,,3577.66,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2007,3472.26,,,-25.47,,,,3446.79,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2008,4088.63,,,-697.72,,,,3390.91,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2009,4763.14,,,-818.26,,,,3944.88,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2010,5071.82,,,-898.15,,,,4173.67,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2011,4073.73,,-7806.41,,7806.41,,,4073.73,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2012,4480.95,,,-466.63,,,,4014.32,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2013,4459.27,,,-249.55,,,,4209.72,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2014,4641.31,,,-94.41,,,,4546.90,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2015,3681.54,,,-195.15,,,,3486.39,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2016,10927.84,,,-5784.29,63.73,,,5207.28,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43,PERSONAL PROPERTY,LEVY OF 2017,0.00,730598.12,-142.32,-720236.32,,,,10219.48,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,44,,LEVY OF 2004,12739.96,,,-601.36,,,,12138.60,two printed lines read as one,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,44,,LEVY OF 2005,5690.10,,,-218.75,,,,5471.35,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,44,,LEVY OF 2006,8557.43,,,-2058.86,,,,6498.57,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,44,,LEVY OF 2007,9476.96,,,-717.49,,,,8759.47,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,44,,LEVY OF 2008,3730.82,,,-32.50,,,,3698.32,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,44,,LEVY OF 2009,4105.54,,,-341.25,,,,3764.29,checked,
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,44,,LEVY OF 2010,3363.79,,,-58.57,,,,3305.22,checked,
