report_fy,document,page,program,line_no,label,kind,appropriated_or_forward,total_funds_available,total_expended,total_encumbered,balance_to_revenue,proof
2011,4117-fy-2011-annual-town-report.pdf,60,Selectmen's Administration,1,Payroll-Administration,line,100884.72,100884.72,101984.97,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 106,384.72 vs 106,384.72; total_funds_available 106,384.72 vs 106,384.72; total_expended 106,384.72 vs 106,384.72; available - expended - encumbered 0.00 vs balance to revenue 0.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Selectmen's Administration,2,Selectmen's Salaries,line,500.00,500.00,500.00,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 106,384.72 vs 106,384.72; total_funds_available 106,384.72 vs 106,384.72; total_expended 106,384.72 vs 106,384.72; available - expended - encumbered 0.00 vs balance to revenue 0.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Selectmen's Administration,3,Other Expenses,line,5000.00,5000.00,3899.75,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 106,384.72 vs 106,384.72; total_funds_available 106,384.72 vs 106,384.72; total_expended 106,384.72 vs 106,384.72; available - expended - encumbered 0.00 vs balance to revenue 0.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Selectmen's Administration,,,subtotal,106384.72,106384.72,106384.72,0.00,0.00,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 106,384.72 vs 106,384.72; total_funds_available 106,384.72 vs 106,384.72; total_expended 106,384.72 vs 106,384.72; available - expended - encumbered 0.00 vs balance to revenue 0.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Town Manager,1,Town Manager,line,1340.00,,,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 119,790.00 vs 119,790.00; total_funds_available 119,790.00 vs 119,790.00; total_expended 119,722.89 vs 119,722.89; available - expended - encumbered 67.11 vs balance to revenue 67.11 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Town Manager,2,Payroll - Town Manager,line,115000.00,116340.00,116339.43,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 119,790.00 vs 119,790.00; total_funds_available 119,790.00 vs 119,790.00; total_expended 119,722.89 vs 119,722.89; available - expended - encumbered 67.11 vs balance to revenue 67.11 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Town Manager,3,Other Expenses,line,3450.00,3450.00,3383.46,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 119,790.00 vs 119,790.00; total_funds_available 119,790.00 vs 119,790.00; total_expended 119,722.89 vs 119,722.89; available - expended - encumbered 67.11 vs balance to revenue 67.11 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Town Manager,,,subtotal,119790.00,119790.00,119722.89,0.00,67.11,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 119,790.00 vs 119,790.00; total_funds_available 119,790.00 vs 119,790.00; total_expended 119,722.89 vs 119,722.89; available - expended - encumbered 67.11 vs balance to revenue 67.11 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Technology Director,1,Payroll,line,74728.03,74728.03,74728.03,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 150,722.22 vs 150,722.22; total_funds_available 150,722.22 vs 150,722.22; total_expended 150,722.22 vs 150,722.22; available - expended - encumbered 0.00 vs balance to revenue 0.00 -- printed only on the subtotal, so untested: balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Technology Director,2,Other Expenses,line,75994.19,75994.19,75994.19,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 150,722.22 vs 150,722.22; total_funds_available 150,722.22 vs 150,722.22; total_expended 150,722.22 vs 150,722.22; available - expended - encumbered 0.00 vs balance to revenue 0.00 -- printed only on the subtotal, so untested: balance_to_revenue"
