fy,unit,named,stated,basis,shortfall,as_printed
2027,Accounting Department,2,2,the town staff directory lists them,0,the town’s own staff directory
2027,Americans With Disabilities Committee,1,1,the town staff directory lists them,0,the town’s own staff directory
2027,Board Of Assessors (board),2,2,the town staff directory lists them,0,the town’s own staff directory
2023,Board Of Assessors (staff),0,2,"the department publishes posts, not people",2,"assessing board members). In the Town of Lunenburg, the Assessor's office staff consists of a full time Principal Assessor and a full time Assessors Clerk."
2025,Board Of Assessors (staff),0,3,"the department publishes posts, not people",3,"• We continue to be fully staffed after several years of being understaffed. Our staff includes a full time Principal Assessor, a 19-hour Data Collector and a 3"
2027,Board Of Health,2,2,the town staff directory lists them,0,the town’s own staff directory
2027,Building Department,7,7,the town staff directory lists them,0,the town’s own staff directory
2027,Cemetery Commission,3,3,the town staff directory lists them,0,the town’s own staff directory
2027,Conservation Commission,1,1,the town staff directory lists them,0,the town’s own staff directory
2027,Council on Aging (board),7,7,the town staff directory lists them,0,the town’s own staff directory
2023,Department of Public Works,4,9,"the department publishes posts, not people",5,"of life for the citizens of Lunenburg. The staff consists of one Director, one Executive Assistant (shared with the Facilities Department), one Highway Superint"
2024,Department of Public Works,4,10,"the department publishes posts, not people",6,"welfare of the citizens of Lunenburg. The staff consists of one Director, one Executive Assistant (shared with the Facilities Department), one Highway Superinte"
2025,Department of Public Works,4,10,"the department publishes posts, not people",6,"Our staff includes one Director, one Executive Assistant (shared with Facilities), one Highway Superintendent, three Heavy Equipment Operators, two Driver/Labor"
2027,Department of Public Works,13,13,the town staff directory lists them,0,the town’s own staff directory
2027,"Facilities, Grounds & Recreation",4,4,the town staff directory lists them,0,the town’s own staff directory
2017,Fire Department,44,45,the department states its career and on-call strength,1,"Fire Department staffing as of July 1, 2017 is 5 Career and 40-45 On Call Firefighters and Emergency Medical Technicians, plus 1 full time Administrative Assist"
2018,Fire Department,42,47,the department states its career and on-call strength,5,"Current Fire Department staffing is now 7 Career and 40-45 On Call Firefighters and Emergency Medical Technicians, plus 1 full time Administrative Assistant/EMS"
2019,Fire Department,40,47,the department states its career and on-call strength,7,"Current Fire Department staffing is now 7 Career and 40-45 On Call Firefighters and Emergency Medical Technicians, plus 1 full-time Administrative Assistant/EMS"
2020,Fire Department,42,47,the department states its career and on-call strength,5,"Current Fire Department staffing is now 7 Career and 40-45 On Call Firefighters and Emergency Medical Technicians, plus 1 full-time Administrative Assistant/EMS"
2021,Fire Department,38,48,the department states its career and on-call strength,10,"Current Fire Department staffing is now eight Career and 40-45 On Call Firefighters and Emergency Medical Technicians, plus one full time Administrative Assista"
2022,Fire Department,12,40,the department states its career and on-call strength,28,"The Department consists of 10 Career and 30-35 On Call/Per Diem Firefighters and Emergency Medical Technicians, plus a full time Administrative Assistant/EMS Co"
2023,Fire Department,40,40,the department states its career and on-call strength,0,"The Department consists of 10 Career and 30-35 On Call/Per Diem Firefighters and Emergency Medical Technicians, plus a full time Administrative Assistant/EMS Co"
2024,Fire Department,36,40,the department states its career and on-call strength,4,"The Department consists of 10 Career and 30-35 On Call/Per Diem Firefighters and Emergency Medical Technicians, lus a full-time Administrative Assistant. The St"
2025,Fire Department,34,40,the department states its career and on-call strength,6,"The Department consists of 10 Career and 30-35 On Call/Per Diem Firefighters and Emergency Medical Technicians, plus a full-time Administrative Assistant. The S"
2027,Fire Department,44,44,the town staff directory lists them,0,the town’s own staff directory
2027,Human Resources Department,2,2,the town staff directory lists them,0,the town’s own staff directory
2027,Information Technology,1,1,the town staff directory lists them,0,the town’s own staff directory
2027,Parks Commission,8,8,the town staff directory lists them,0,the town’s own staff directory
2027,Personnel Committee,1,1,the town staff directory lists them,0,the town’s own staff directory
2027,Planning Board,2,2,the town staff directory lists them,0,the town’s own staff directory
2027,Police Department,27,27,the town staff directory lists them,0,the town’s own staff directory
2027,Public Access Cable Committee,6,6,the town staff directory lists them,0,the town’s own staff directory
2019,Public Library,1,10,the department states a headcount,9,working at the library are new to their jobs in 2019-we only employ ten total-and the staff is happier than ever to serve our community. The infusion of youth i
2027,Tax Collector/Treasurer/Tax Custodian,3,3,the town staff directory lists them,0,the town’s own staff directory
2027,Town Clerk,2,2,the town staff directory lists them,0,the town’s own staff directory
2027,Town Manager,4,4,the town staff directory lists them,0,the town’s own staff directory
2027,Veterans' Services,1,1,the town staff directory lists them,0,the town’s own staff directory
2027,Zoning Board Of Appeals,2,2,the town staff directory lists them,0,the town’s own staff directory
