report_fy,document,page,schedule_fy,grade,step,rate,basis,confirmed_by
2015,4121-fy-2015-annual-town-report.pdf,198,2016,1,1,9.25,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,1,2,9.53,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,1,3,9.81,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,1,4,10.11,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,1,5,10.41,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,1,6,10.72,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,1,7,11.04,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,1,8,11.38,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,2,1,10.08,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,2,2,10.38,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,2,5,11.35,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,2,6,11.69,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,2,7,12.04,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,2,8,12.40,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,3,1,10.99,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,3,2,11.32,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,3,3,11.66,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,3,4,12.01,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,3,5,12.37,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,3,6,12.74,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,3,7,13.12,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,3,8,13.52,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,4,1,11.98,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,4,2,12.34,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,4,3,12.71,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,4,4,13.09,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,4,5,13.48,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,4,6,13.89,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,4,7,14.30,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,4,8,14.73,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,5,1,13.06,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,5,2,13.45,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
