you_might_type,the_archive_says,note
foreign language,French; Spanish; Latin; world language,The schedule and the minutes name the language rather than the department.
world language,French; Spanish; Latin; foreign language,
adjustment counselor,social worker; guidance counselor; counselor,The roster title and the spoken title differ.
reduction in force,layoff; cut positions; eliminate positions; non-renewal,The minutes say what happened rather than the statutory phrase.
RIF,layoff; cut positions; eliminate positions,
para,paraprofessional; paraprofessionals; aide; instructional assistant,
paras,paraprofessional; paraprofessionals; aide,
sped,special education; special ed; IEP,
special ed,special education; IEP; out of district,
OOD,out of district; out-of-district; tuition; placement,
ESSER,federal grants; ESSER; grant funding; ARPA,The grant is named ESSER in the budget documents and 'federal money' out loud.
circuit breaker,circuit breaker; reimbursement; extraordinary relief,
Chapter 70,Chapter 70; state aid; cherry sheet; foundation budget,
state aid,Chapter 70; cherry sheet; unrestricted general government aid; UGGA,
override,override; Proposition 2 1/2; ballot question; levy limit,
Prop 2.5,Proposition 2 1/2; override; levy limit; levy ceiling,
levy,levy; levy limit; tax rate; Proposition 2 1/2,
free cash,free cash; certified free cash; reserves; stabilization,
stabilization,stabilization fund; reserves; free cash,
bus fee,transportation fee; bus fee; busing; ridership,
athletic fee,user fee; athletic fee; participation fee; sports fee,
user fee,athletic fee; participation fee; activity fee; transportation fee,
helmets,helmets; equipment; football; boosters,
Monty Tech,Monty Tech; Montachusett; vocational; regional assessment,
vocational,Monty Tech; Montachusett; vocational; Voc Tech,
school choice,school choice; choice out; choice in; charter,
charter school,charter; charter school; Sizer; school choice,
enrollment,enrollment; enrolment; headcount; foundation enrollment; October 1,
class size,class size; sections; student to teacher ratio; staffing,
health insurance,health insurance; GIC; insurance; benefits; retiree,
retiree,retiree; OPEB; Chapter 32B; health insurance,
OPEB,OPEB; retiree benefits; other post-employment benefits,
teacher salary,salary; contract; collective bargaining; step; COLA,
contract,contract; collective bargaining; negotiations; memorandum of agreement; MOA,
union,union; association; collective bargaining; LEA,
budget cut,cut; reduce; eliminate; level service; level funded,
level service,level service; level funded; level services; maintenance budget,
transfer,transfer; line item transfer; reserve fund transfer; encumbrance,
warrant article,warrant; article; town meeting; motion,
town meeting,town meeting; annual town meeting; special town meeting; warrant,
capital,capital; capital plan; capital planning; debt exclusion; borrowing,
school building,building; school building; MSBA; roof; feasibility,
psychologist,school psychologist; psychologist; adjustment counselor; counselor,
superintendent,superintendent; central office; administration,
