fy,stage,ps,es,ms,hs,ace,total,documents_disagree
2020,settled,512796,291220,393063,368998,51191,1617268,0
2021,settled,516646,362179,407895,378784,57649,1723153,0
2021,proposed,516646,362179,407895,378784,57649,1723153,0
2022,settled,528184,342512,407145,446434,70745,1795020,0
2022,proposed,510527,396140,386808,387222,62485,1743182,0
2023,settled,549972,362022,422911,470225,85578,1890708,0
2023,proposed,549972,357407,422911,470225,75499,1876014,0
2024,proposed,527406,377141,449451,385079,89494,1828571,0
2025,proposed,555810,405104,458895,472165,87184,1979158,1
2026,settled,635488,344938,453676,449087,95659,1978848,0
2026,proposed,548327,317554,453676,449087,95659,1864303,0
2027,proposed,724657,403248,546340,454990,99007,2228242,0
