fy,stage,system,total,documents_disagree
2015,restated,480536,480536,0
2016,restated,460508,460508,0
2017,restated,360537,360537,0
2018,restated,366184,366184,0
2019,restated,322047,322047,0
2019,settled,417585,417585,0
2020,restated,223350,223350,1
2020,settled,446658,446658,0
2020,proposed,446658,446658,0
2021,restated,380409,380409,0
2021,settled,380409,380409,0
2021,proposed,380409,380409,0
2022,restated,241390,241390,0
2022,settled,297843,297843,0
2022,proposed,297843,297843,0
2023,restated,320244,320244,0
2023,settled,329360,329360,0
2023,proposed,329360,329360,0
2024,restated,401402,401402,1
2024,proposed,335947,335947,0
2025,restated,434922,434922,0
2025,proposed,445328,445328,1
2026,settled,565734,565734,0
2026,proposed,565734,565734,0
2027,proposed,649953,649953,0
