fy,code,name,registry_name,name_disagrees,ending_cash,ending_market,page,basis,document
2011,,STABILIZATION,,,1186776.91,1202862.85,74,both identities hold,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2012,,STABILIZATION,,,989608.54,1005630.47,74,both identities hold,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2013,,STABILIZATION,,,999548.94,1002847.47,79,both identities hold,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2014,,STABILIZATION 8124,,,1299077.98,1312062.64,38,both identities hold,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,ZONING INCENTIVE STABILIZATION (TL 8129,,,227201.9,227201.9,38,both identities hold,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2015,8129,ZONING INCENTIVE STABILIZATION (TD BANKNORTH),playground fund,yes,227542.95,227542.95,39,both identities hold,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,,STABILIZATION,,,1388105.33,1398606.47,39,both identities hold,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2016,8129,ZONING INCENTIVE STABILIZATION (TD BI,playground fund,yes,227884.96,227884.96,42,both identities hold,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,,STABILIZATION,,,1511526.92,1551001.18,41,both identities hold,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2017,8129,"ZONING INCENTIVE STABILIZATION (TD E $227,884.96",playground fund,yes,228320.36,228320.36,39,last year’s proven ending cash + this year’s activity = ending cash,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,,STABILIZATION,,,1631430.63,,38,beginning + activity = ending cash,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2018,8129,ZONING INCENTIVE STABILIZATION (TD BANKNORTH),playground fund,yes,228891.82,,46,beginning + activity = ending cash,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,8136,VEHICLE/EQUIPMENT STABILIZATION (MAIN STREET),vehicle equipment,,236302.39,,46,beginning + activity = ending cash,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,,STABILIZATION,,,1740279.81,1732690.98,45,both identities hold,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2019,,STABILIZATION,,,1848802.86,,46,last year’s proven ending cash + this year’s activity = ending cash,sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,,VEHICLE/EQUIPMENT STABILIZATION (N 8136,,,643788.8,,47,beginning + activity = ending cash,sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,,ZONING INCENTIVE STABILIZATION (TD |,,,229464.69,,47,last year’s proven ending cash + this year’s activity = ending cash,sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2020,8129,ZONING INCENTIVE STABILIZATION (TD BANKNORTH),playground fund,yes,230431.4,230431.4,41,both identities hold,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,8136,VEHICLE/EQUIPMENT STABILIZATION (MAIN STREET),vehicle equipment,,945669.29,945669.29,41,both identities hold,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,,STABILIZATION,,,1978347.74,2041061.72,41,both identities hold,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2021,,STABILIZATION,,,2447755.21,2526388.54,41,both identities hold,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2022,8129,ZONING INCENTIVE STABILIZATION (TD BANKNORTI,playground fund,yes,231007.68,231007.68,43,both identities hold,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2024,8136,VEHICLE/EQUIPMENT STABILIZATION (MAIN STREET),vehicle equipment,,2254933.99,2254933.99,35,both identities hold,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2025,,VEHICLE/EQUIPMENT STABILIZATION (MAIN STREET),,,2598621.38,2598621.38,37,both identities hold,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,ZONING INCENTIVE STABILIZATION (TD BANKNORTH),,,249060.25,249060.25,37,both identities hold,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
