fy,page,kind,state,funds_named,accounts,figures,figures_reversed,rows_published,document
2025,30,balance-listing,unread,3,8,31,0,0,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,31,table,read,12,32,61,0,30,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,34,table,reversed,0,0,0,12,0,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,35,book-value,unread,12,0,40,0,0,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,37,other-banks,read,6,0,42,16,2,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2024,29,balance-listing,read,15,57,60,0,28,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,32,table,reversed,0,0,0,12,0,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,33,book-value,unread,12,0,42,0,0,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,34,book-value,unread,6,8,368,0,0,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,35,other-banks,read,5,10,27,0,1,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,36,table,reversed,0,0,0,25,0,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2023,48,book-value,unread,10,0,40,0,0,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,49,other-banks,unread,4,10,33,0,0,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,50,book-value,unread,3,1,347,0,0,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,51,book-value,unread,5,0,41,0,0,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,52,table,reversed,0,0,0,32,0,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,103,table,reversed,0,0,0,12,0,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2022,40,book-value,unread,11,0,40,0,0,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
