role_as_printed,position,times_seen
,,489
,Administrative Staff,4
,Behaviour / BCBA,4
,Classroom Teacher,360
,Coach / Athletics,1
,Custodial / Facilities,121
,Director,2
,Food Service,131
,Guidance / Adjustment Counselor,41
,Nurse,8
,Paraprofessional,215
,School Psychologist,4
,Special Education Teacher,83
,Specialist Teacher,74
'ecretary,,1
(10-12) A-L,,1
(10-12) DH,Department Head,1
(6-8) Dean,,1
(Art),Specialist Teacher,3
(Art) MS,Specialist Teacher,4
(BCBA),Behaviour / BCBA,1
(Behaviorist),Behaviour / BCBA,4
(Interventionist),,1
(LHS Social Worker),,1
(LMS Social Worker),,4
(LPN),,2
(Library),Specialist Teacher,3
(Middle & High LPN),,1
(Music),Specialist Teacher,1
(Music) DH,Department Head,2
(Music) MS,Specialist Teacher,5
(OT),Speech / OT / PT,1
(PE),Specialist Teacher,12
(PT),Speech / OT / PT,1
(Psychologist,School Psychologist,1
(Psychologist),School Psychologist,5
(School Adjustment Counselor) Grade 6,Guidance / Adjustment Counselor,1
(Speech),Speech / OT / PT,6
(TLC) Theraputic Learning Center,Special Education Teacher,1
(Tech),,1
(Tech) MS,,5
(Therapy Dog),,1
(nurse),Nurse,3
(para),Paraprofessional,44
*,,3
*,Classroom Teacher,4
*,Guidance / Adjustment Counselor,1
10,,1
101,,1
101 Math/Social Studies,Classroom Teacher,1
101/Blue,,1
101/Red,,1
102,,1
102 ELA/Social Studies,Classroom Teacher,1
102/Red,,3
103 Math/7th Grade Geography,Classroom Teacher,1
103/Blue,,2
104 Math/Social Studies,Classroom Teacher,1
104/White,,1
105 Science/Math,Classroom Teacher,1
105/Blue,,1
105/White,,1
106 ELA/Social Studies (WHITE),Classroom Teacher,1
107,,1
107 ELA/Social Studies,Classroom Teacher,1
107/White,,3
108 Library/Media Center,Specialist Teacher,1
109 Science/Social Studies,Classroom Teacher,1
111 Science/Social Studies,Classroom Teacher,1
113 Grade 7 Teacher,Classroom Teacher,1
114 Art,Specialist Teacher,2
118 Music,Specialist Teacher,2
119 Technology Education,Specialist Teacher,1
15,,1
1:1 Aide,Paraprofessional,1
1:1 Para,Paraprofessional,4
1:1 Paraprofessional,Paraprofessional,2
1:1 Tutor,Paraprofessional,1
1:2 Para Grade 4,Paraprofessional,1
1A,Classroom Teacher,12
1B,Classroom Teacher,13
1C,Classroom Teacher,12
1D,Classroom Teacher,11
1E,Classroom Teacher,12
1F,Classroom Teacher,2
1st Grade,,3
1st grade,,1
20,Classroom Teacher,1
201 Math/Social Studies,Classroom Teacher,1
201/Blue,,1
201/White,,1
202 Science/Social Studies,Classroom Teacher,1
202/White,,3
203 Grade 8 Teacher,Classroom Teacher,1
203/Blue,,2
203/White,,1
204 ELA/Social Studies (WHITE),Classroom Teacher,1
204/Blue,,1
205,,1
205/Red,,3
207/Red,,3
209,Classroom Teacher,2
209 Science/Social Studies (RED),Classroom Teacher,1
210,,1
210,Classroom Teacher,2
211,Classroom Teacher,2
211 ELA/Social Studies,Classroom Teacher,1
212,Classroom Teacher,2
212 Math/Social Studies,Classroom Teacher,1
213,Classroom Teacher,2
213 Social Studies/Science (RED),Classroom Teacher,1
215,Classroom Teacher,1
215 Math/Science,Classroom Teacher,1
216 ELA/Science,Classroom Teacher,1
2A,Classroom Teacher,8
2B,Classroom Teacher,9
2B - Teacher,Classroom Teacher,1
2C,Classroom Teacher,9
2C - Teacher,Classroom Teacher,1
2D,Classroom Teacher,10
2D - Teacher,Classroom Teacher,1
2E,Classroom Teacher,1
2F,Classroom Teacher,10
2nd Grade,,1
2nd/grade,,4
3A,Classroom Teacher,5
3B,Classroom Teacher,5
3C,Classroom Teacher,5
3D,Classroom Teacher,5
3E,Classroom Teacher,5
4A,Classroom Teacher,1
4B,Classroom Teacher,1
4C,Classroom Teacher,1
4D,Classroom Teacher,1
4E,Classroom Teacher,1
510,Food Service,3
5A,Classroom Teacher,1
5A - Blue,Classroom Teacher,1
5B,Classroom Teacher,1
5B - Blue,Classroom Teacher,1
