fy,school,position,count
2011,central-office,(unmapped),13
2011,central-office,Administrative Staff,3
2011,central-office,Custodial / Facilities,3
2011,central-office,Director,2
2011,central-office,Superintendent,1
2011,high,(unmapped),24
2011,high,Administrative Staff,4
2011,high,Assistant Principal,1
2011,high,Classroom Teacher,2
2011,high,Custodial / Facilities,4
2011,high,Director,2
2011,high,Food Service,4
2011,high,Guidance / Adjustment Counselor,2
2011,high,Nurse,1
2011,high,Paraprofessional,10
2011,high,Principal,1
2011,high,Specialist Teacher,1
2011,passios,Administrative Staff,1
2011,passios,Classroom Teacher,17
2011,passios,Guidance / Adjustment Counselor,1
2011,passios,Nurse,1
2011,passios,Paraprofessional,13
2011,passios,Principal,1
2011,passios,Special Education Teacher,3
2011,passios,Specialist Teacher,5
2011,primary,(unmapped),21
2011,primary,Administrative Staff,1
2011,primary,Behaviour / BCBA,1
2011,primary,Classroom Teacher,9
2011,primary,Guidance / Adjustment Counselor,1
2011,primary,Nurse,1
2011,primary,Paraprofessional,11
2011,primary,Principal,2
2011,primary,School Psychologist,1
2011,primary,Special Education Teacher,2
2011,primary,Speech / OT / PT,2
2011,turkey-hill,(unmapped),6
2011,turkey-hill,Administrative Staff,1
2011,turkey-hill,Classroom Teacher,21
2011,turkey-hill,Guidance / Adjustment Counselor,2
2011,turkey-hill,Nurse,1
2011,turkey-hill,Paraprofessional,3
2011,turkey-hill,Principal,1
2011,turkey-hill,Specialist Teacher,8
2011,turkey-hill,Speech / OT / PT,1
2012,central-office,(unmapped),14
2012,central-office,Administrative Staff,4
2012,central-office,Custodial / Facilities,3
2012,central-office,Director,2
2012,central-office,Special Education Teacher,1
2012,central-office,Superintendent,1
2012,high,(unmapped),28
2012,high,Administrative Staff,4
2012,high,Assistant Principal,1
2012,high,Classroom Teacher,18
2012,high,Food Service,3
2012,high,Guidance / Adjustment Counselor,2
2012,high,Nurse,1
2012,high,Paraprofessional,7
2012,high,Principal,1
2012,high,Specialist Teacher,1
2012,primary,(unmapped),6
2012,primary,Administrative Staff,1
2012,primary,Assistant Principal,1
2012,primary,Classroom Teacher,22
2012,primary,Food Service,2
2012,primary,Guidance / Adjustment Counselor,1
2012,primary,Nurse,1
2012,primary,Paraprofessional,21
2012,primary,Principal,1
2012,primary,Special Education Teacher,3
2012,primary,Specialist Teacher,2
2012,primary,Speech / OT / PT,2
2012,turkey-hill,(unmapped),8
