fy,department,pages,people,form,reason,evidence
2019,105 Capital Planning Committe lanning Boar,108-108,,,no mention of staff on its own pages,
2019,3 fire Department Police Department,99-103,,,"mentions staff, states no number","table, Cub Scout visits and the Senior Center just to name a few. In 2019, staff assignments had to be"
2025,Ad Hoc Open Space Advisory,86-87,,,no mention of staff on its own pages,
2018,Ad Hoc Open Space Advisory Committee,106-106,,,no mention of staff on its own pages,
2019,Ad Hoc Open Space Advisory Committee,109-109,,,no mention of staff on its own pages,
2020,Ad Hoc Open Space Advisory Committee,98-98,,,no mention of staff on its own pages,
2021,Ad Hoc Open Space Advisory Committee,98-98,,,no mention of staff on its own pages,
2022,Ad Hoc Open Space Advisory Committee,96-96,,,no mention of staff on its own pages,
2023,Ad Hoc Open Space Advisory Committee,112-112,,,no mention of staff on its own pages,
2024,Ad Hoc Open Space Advisory Committee to the Planning Board,91-92,,,no mention of staff on its own pages,
2015,Agricultural Commission,49-49,,,no mention of staff on its own pages,
2020,"Annual Town Election June 20, 2020",196-199,,,no mention of staff on its own pages,
2021,"Annual Town Election May 15, 2021",157-161,,,no mention of staff on its own pages,
2014,"Annual Town Election May 17, 2014",153-154,,,no mention of staff on its own pages,
2019,"Annual Town Election May 18, 2019",193-196,,,no mention of staff on its own pages,
2018,"Annual Town Election May 19, 2018",234-236,,,no mention of staff on its own pages,
2023,"Annual Town Election May 20, 2023",174-189,,,"mentions staff, states no number","driveway that is visible for residents, employees, visitors, and public safety"
2016,"Annual Town Election May 21, 2016",192-193,,,no mention of staff on its own pages,
2022,"Annual Town Election May 21, 2022",174-177,,,no mention of staff on its own pages,
2017,"Annual Town Election, May 20, 2017",186-188,,,no mention of staff on its own pages,
2015,"Annual Town Election- May 16, 2016",201-202,,,no mention of staff on its own pages,
2017,Architectural Preservation District Commission,48-48,,,no mention of staff on its own pages,
2018,Architectural Preservation District Commission,56-56,,,no mention of staff on its own pages,
2019,Architectural Preservation District Commission,59-59,,,no mention of staff on its own pages,
2020,Architectural Preservation District Commission,52-52,,,no mention of staff on its own pages,
2021,Architectural Preservation District Commission,52-52,,,no mention of staff on its own pages,
2018,BOARD OF ASSESSORS,41-42,,,no mention of staff on its own pages,
2019,BOARD OF ASSESSORS,42-43,,,no mention of staff on its own pages,
2014,Board of Assessors,35-35,,,no mention of staff on its own pages,
2016,Board of Assessors,37-38,,,no mention of staff on its own pages,
2017,Board of Assessors,35-35,,,no mention of staff on its own pages,
2020,Board of Assessors,37-38,,,no mention of staff on its own pages,
2021,Board of Assessors,38-38,,,"mentions staff, states no number",The office staff strives to continue to provide good service that the Lunenburg taxpayers have come to
2022,Board of Assessors,39-39,,,"mentions staff, states no number",The office staff strives to continue to provide good service that the Lunenburg taxpayers have come to expect.
2024,Board of Assessors,31-32,,,"mentions staff, states no number","ers, and UMass among others. The office staff strives to provide exceptional service that the Lunenburg taxpayers deserve."
2025,Board of Assessors,33-34,3,"an establishment, one post at a time",,"• We continue to be fully staffed after several years of being understaffed. Our staff includes a full time Principal Assessor, a 19-hour Data Collector and a 32-hour Assessing Administrative Assistan"
2015,"Board of Assessors 35,",36-36,,,"mentions staff, states no number","The Assessors' administrative staff, Louise Paquette and Sheila Craigen, along with the professional assessment"
2014,Board of Health,67-67,,,"mentions staff, states no number",dental staff.
2015,Board of Health,75-75,,,"mentions staff, states no number",system are provided by the Nashoba dental staff.
2016,Board of Health,80-80,,,"mentions staff, states no number",system are provided by the Nashoba dental staff.
2017,Board of Health,74-74,,,"mentions staff, states no number",dental checks of our youngsters in the school system are provided by the Nashoba dental staff.
2018,Board of Health,90-90,,,"mentions staff, states no number",checks of our youngsters in the School System are provided by the Nashoba dental staff.
2021,Board of Health,82-82,,,no mention of staff on its own pages,
2022,Board of Health,80-80,,,no mention of staff on its own pages,
2023,Board of Health,88-88,,,no mention of staff on its own pages,
2024,Board of Health,72-72,,,no mention of staff on its own pages,
2025,Board of Health,71-71,,,no mention of staff on its own pages,
2017,Boards/Committees/Commissions Meeting Schedules,200-200,,,"mentions staff, states no number",PERSONNEL COMMITTEE IST THURS. 6:30 PM LIBRARY
2014,Building Department,47-47,,,no mention of staff on its own pages,
2015,Building Department,50-50,,,no mention of staff on its own pages,
2016,Building Department,52-52,,,no mention of staff on its own pages,
2017,Building Department,48-48,,,no mention of staff on its own pages,
2018,Building Department,56-56,,,no mention of staff on its own pages,
2019,Building Department,60-60,,,no mention of staff on its own pages,
2020,Building Department,53-53,4,a named staff list,,The Building Department consists of the following personnel: Building Commissioner/Zoning Officer-Casey Burlingame Administrative Assistant to the Building Commissioner-Lisa Normandin Electrical Inspe
2021,Building Department,52-52,4,a named staff list,,BUILDING DEPARTMENT The Building Department is located on the second floor of the Ritter Memorial Building located at 960 Massachusetts Avenue. The Building Department consists of the following person
2022,Building Department,54-54,4,a named staff list,,The department consists of Casey Burlingame who is the Building Commissioner and Zoning Enforcement Officer. Lisa Normandin is the Administrative Assistant to the Building Commissioner. Jack Biery is 
2024,Building Department,41-41,,,no mention of staff on its own pages,
2025,Building Department,43-44,,,no mention of staff on its own pages,
2013,Building Inspector / Zoning Official Capital Planning Committee,12-13,,,no mention of staff on its own pages,
2014,Capital Planning,85-85,,,no mention of staff on its own pages,
2015,Capital Planning Committee,93-93,,,no mention of staff on its own pages,
2016,Capital Planning Committee,94-94,,,no mention of staff on its own pages,
2017,Capital Planning Committee,90-90,,,no mention of staff on its own pages,
2018,Capital Planning Committee,104-104,,,no mention of staff on its own pages,
2020,Capital Planning Committee,96-96,,,no mention of staff on its own pages,
2021,Capital Planning Committee,96-96,,,no mention of staff on its own pages,
2022,Capital Planning Committee,94-94,,,no mention of staff on its own pages,
2023,Capital Planning Committee,108-108,,,no mention of staff on its own pages,
2024,Capital Planning Report,87-87,,,no mention of staff on its own pages,
2014,Cemetery Commission,48-48,,,no mention of staff on its own pages,
2015,Cemetery Commission,51-51,,,"mentions staff, states no number","Mausoleum at the North Cemetery. We wish to thank the staff of Monty Tech, carpentry teacher, Jim"
2016,Cemetery Commission,53-53,,,no mention of staff on its own pages,
2017,Cemetery Commission,49-50,,,no mention of staff on its own pages,
2018,Cemetery Commission,57-58,,,no mention of staff on its own pages,
2019,Cemetery Commission,61-62,,,no mention of staff on its own pages,
2020,Cemetery Commission,54-55,,,no mention of staff on its own pages,
2021,Cemetery Commission,53-54,,,no mention of staff on its own pages,
2022,Cemetery Commission,54-55,,,no mention of staff on its own pages,
2024,Cemetery Commission,42-43,,,no mention of staff on its own pages,
2025,Cemetery Commission,44-46,,,no mention of staff on its own pages,
2011,Cemetery Department,13-13,,,no mention of staff on its own pages,
2013,Cemetery Department,11-11,,,no mention of staff on its own pages,
2025,Committee Submitted Zoning Board of Appeals,85-86,,,no mention of staff on its own pages,
2015,Committee/Board Meeting Schedule,212-212,,,"mentions staff, states no number",PERSONNEL COMMITTEE IST THURS. 6:30 PM PUBLIC LIBRARY
2011,Conservation Commission,17-17,,,no mention of staff on its own pages,
2015,Conservation Commission,52-52,,,no mention of staff on its own pages,
2016,Conservation Commission,54-54,,,no mention of staff on its own pages,
2017,Conservation Commission,51-52,,,no mention of staff on its own pages,
2018,Conservation Commission,59-59,,,no mention of staff on its own pages,
