department,fy,people,state,report_pages
Agricultural Commission,2011,,not in that year’s contents,
Agricultural Commission,2012,,not in that year’s contents,
Agricultural Commission,2013,,not in that year’s contents,
Agricultural Commission,2014,,town says no report submitted,
Agricultural Commission,2015,,no mention of staff on its own pages,
Agricultural Commission,2016,,town says no report submitted,
Agricultural Commission,2017,,town says no report submitted,
Agricultural Commission,2018,,not in that year’s contents,
Agricultural Commission,2019,,not in that year’s contents,
Agricultural Commission,2020,,town says no report submitted,
Agricultural Commission,2021,,town says no report submitted,
Agricultural Commission,2022,,town says no report submitted,
Agricultural Commission,2023,,town says no report submitted,
Agricultural Commission,2024,,not in that year’s contents,
Agricultural Commission,2025,,not in that year’s contents,
Architectural Preservation District,2011,,not in that year’s contents,
Architectural Preservation District,2012,,not in that year’s contents,
Architectural Preservation District,2013,,not in that year’s contents,
Architectural Preservation District,2014,,not in that year’s contents,
Architectural Preservation District,2015,,not in that year’s contents,
Architectural Preservation District,2016,,town says no report submitted,
Architectural Preservation District,2017,,no mention of staff on its own pages,
Architectural Preservation District,2018,,no mention of staff on its own pages,
Architectural Preservation District,2019,,no mention of staff on its own pages,
Architectural Preservation District,2020,,no mention of staff on its own pages,
Architectural Preservation District,2021,,no mention of staff on its own pages,
Architectural Preservation District,2022,,town says no report submitted,
Architectural Preservation District,2023,,town says no report submitted,
Architectural Preservation District,2024,,not in that year’s contents,
Architectural Preservation District,2025,,not in that year’s contents,
Board of Assessors,2011,,not in that year’s contents,
Board of Assessors,2012,,not in that year’s contents,
Board of Assessors,2013,,not in that year’s contents,
Board of Assessors,2014,,no mention of staff on its own pages,
Board of Assessors,2015,,"mentions staff, states no number",
Board of Assessors,2016,,no mention of staff on its own pages,
Board of Assessors,2017,,no mention of staff on its own pages,
Board of Assessors,2018,,no mention of staff on its own pages,
Board of Assessors,2019,,no mention of staff on its own pages,
Board of Assessors,2020,,no mention of staff on its own pages,
Board of Assessors,2021,,"mentions staff, states no number",
Board of Assessors,2022,,"mentions staff, states no number",
Board of Assessors,2023,2,count,
Board of Assessors,2024,,"mentions staff, states no number",
Board of Assessors,2025,3,count,
Board of Health,2011,,not in that year’s contents,
Board of Health,2012,,not in that year’s contents,
Board of Health,2013,,not in that year’s contents,
Board of Health,2014,,"mentions staff, states no number",
Board of Health,2015,,"mentions staff, states no number",
Board of Health,2016,,"mentions staff, states no number",
Board of Health,2017,,"mentions staff, states no number",
Board of Health,2018,,"mentions staff, states no number",
Board of Health,2019,,not in that year’s contents,
Board of Health,2020,,"mentions staff, states no number",
Board of Health,2021,,no mention of staff on its own pages,
Board of Health,2022,,no mention of staff on its own pages,
Board of Health,2023,,no mention of staff on its own pages,
Board of Health,2024,,no mention of staff on its own pages,
Board of Health,2025,,no mention of staff on its own pages,
Building Department,2011,,not in that year’s contents,
Building Department,2012,,not in that year’s contents,
Building Department,2013,,not in that year’s contents,
Building Department,2014,,no mention of staff on its own pages,
Building Department,2015,,no mention of staff on its own pages,
Building Department,2016,,no mention of staff on its own pages,
Building Department,2017,,no mention of staff on its own pages,
Building Department,2018,,no mention of staff on its own pages,
Building Department,2019,,no mention of staff on its own pages,
Building Department,2020,4,count,
Building Department,2021,4,count,
Building Department,2022,4,count,
Building Department,2023,,not in that year’s contents,
Building Department,2024,,no mention of staff on its own pages,
Building Department,2025,,no mention of staff on its own pages,
Capital Planning Committee,2011,,not in that year’s contents,
Capital Planning Committee,2012,,not in that year’s contents,
Capital Planning Committee,2013,,no mention of staff on its own pages,
Capital Planning Committee,2014,,no mention of staff on its own pages,
Capital Planning Committee,2015,,no mention of staff on its own pages,
Capital Planning Committee,2016,,no mention of staff on its own pages,
Capital Planning Committee,2017,,no mention of staff on its own pages,
Capital Planning Committee,2018,,no mention of staff on its own pages,
Capital Planning Committee,2019,,no mention of staff on its own pages,
Capital Planning Committee,2020,,no mention of staff on its own pages,
Capital Planning Committee,2021,,no mention of staff on its own pages,
Capital Planning Committee,2022,,no mention of staff on its own pages,
Capital Planning Committee,2023,,no mention of staff on its own pages,
Capital Planning Committee,2024,,no mention of staff on its own pages,
Capital Planning Committee,2025,,town says no report submitted,
Cemetery Commission,2011,,no mention of staff on its own pages,
Cemetery Commission,2012,,not in that year’s contents,
Cemetery Commission,2013,,no mention of staff on its own pages,
Cemetery Commission,2014,,no mention of staff on its own pages,
Cemetery Commission,2015,,"mentions staff, states no number",
Cemetery Commission,2016,,no mention of staff on its own pages,
Cemetery Commission,2017,,no mention of staff on its own pages,
Cemetery Commission,2018,,no mention of staff on its own pages,
Cemetery Commission,2019,,no mention of staff on its own pages,
Cemetery Commission,2020,,no mention of staff on its own pages,
Cemetery Commission,2021,,no mention of staff on its own pages,
Cemetery Commission,2022,,no mention of staff on its own pages,
Cemetery Commission,2023,,not in that year’s contents,
Cemetery Commission,2024,,no mention of staff on its own pages,
Cemetery Commission,2025,,no mention of staff on its own pages,
Conservation Commission,2011,,no mention of staff on its own pages,
Conservation Commission,2012,,not in that year’s contents,
Conservation Commission,2013,,not in that year’s contents,
Conservation Commission,2014,,town says no report submitted,
Conservation Commission,2015,,no mention of staff on its own pages,
Conservation Commission,2016,,no mention of staff on its own pages,
Conservation Commission,2017,,no mention of staff on its own pages,
Conservation Commission,2018,,no mention of staff on its own pages,
Conservation Commission,2019,,no mention of staff on its own pages,
Conservation Commission,2020,,no mention of staff on its own pages,
Conservation Commission,2021,,no mention of staff on its own pages,
Conservation Commission,2022,,"mentions staff, states no number",
Conservation Commission,2023,,not in that year’s contents,
Conservation Commission,2024,,no mention of staff on its own pages,
Conservation Commission,2025,,no mention of staff on its own pages,
Council on Aging,2011,7,count,
Council on Aging,2012,,not in that year’s contents,
Council on Aging,2013,,not in that year’s contents,
Council on Aging,2014,9,count,
Council on Aging,2015,10,count,
Council on Aging,2016,11,count,
Council on Aging,2017,8,count,
Council on Aging,2018,8,count,
Council on Aging,2019,9,count,
Council on Aging,2020,9,count,
Council on Aging,2021,,"mentions staff, states no number",
Council on Aging,2022,10,count,
Council on Aging,2023,11,count,
Council on Aging,2024,10,count,
Council on Aging,2025,11,count,
Cultural Council,2011,,not in that year’s contents,
Cultural Council,2012,,not in that year’s contents,
Cultural Council,2013,,not in that year’s contents,
Cultural Council,2014,,town says no report submitted,
Cultural Council,2015,,no mention of staff on its own pages,
Cultural Council,2016,,no mention of staff on its own pages,
Cultural Council,2017,,no mention of staff on its own pages,
Cultural Council,2018,,not in that year’s contents,
Cultural Council,2019,,town says no report submitted,
Cultural Council,2020,,town says no report submitted,
Cultural Council,2021,,no mention of staff on its own pages,
Cultural Council,2022,,no mention of staff on its own pages,
Cultural Council,2023,,not in that year’s contents,
Cultural Council,2024,,no mention of staff on its own pages,
Cultural Council,2025,,town says no report submitted,
