fy,pages,why,document
2011,78,"no GRAND TOTAL row was read, so nothing on these pages can be reconciled to the document",sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2012,78,"no GRAND TOTAL row was read, so nothing on these pages can be reconciled to the document",sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2013,83,"no GRAND TOTAL row was read, so nothing on these pages can be reconciled to the document",sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2016,9 10 11 12,"p9 prints only forward, committed, adjustments, refunds, payments, abatements of the 8 columns -- the crop ends before the rest; p10 prints only forward, committed, adjustments, refunds, payments, abatements of the 8 columns -- the crop ends before the rest; p11 prints only forward, committed, adjustments, refunds, payments, abatements of the 8 columns -- the crop ends before the rest; p12 prints only forward, committed, adjustments, refunds, payments, abatements of the 8 columns -- the crop ends before the rest",sources/town-budget/ocr/4122-fy-2016-annual-town-report-addendum.tsv
2016,47 48 49,"p48 prints only forward, committed, adjustments, refunds, payments of the 8 columns -- the crop ends before the rest; p49 prints only forward, committed, adjustments, refunds of the 8 columns -- the crop ends before the rest",sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2017,,"read and published by scripts/extract_receivables.py in sources/data/receivables.csv, proved to the same printed GRAND TOTAL. One table, one series: it is not read twice",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2018,,"read and published by scripts/extract_receivables.py in sources/data/receivables.csv, proved to the same printed GRAND TOTAL. One table, one series: it is not read twice",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2019,53 54 55,"p53 prints only forward, committed, abatements, payments, refunds, transfer of the 8 columns -- the crop ends before the rest; p54 prints only forward, committed, abatements, payments, refunds, transfer of the 8 columns -- the crop ends before the rest; p55 prints only forward, committed, abatements, payments, refunds, transfer of the 8 columns -- the crop ends before the rest",sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2020,,"read and published by scripts/extract_receivables.py in sources/data/receivables.csv, proved to the same printed GRAND TOTAL. One table, one series: it is not read twice",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2021,,"read and published by scripts/extract_receivables.py in sources/data/receivables.csv, proved to the same printed GRAND TOTAL. One table, one series: it is not read twice",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2022,,"read and published by scripts/extract_receivables.py in sources/data/receivables.csv, proved to the same printed GRAND TOTAL. One table, one series: it is not read twice",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2023,,"read and published by scripts/extract_receivables.py in sources/data/receivables.csv, proved to the same printed GRAND TOTAL. One table, one series: it is not read twice",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2024,38 39,38 of 90 rows do not foot across to their own printed balance,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
