fy,section,item,forward,committed,adjustments,refunds,payments,abatements,transfer,balance,proof,page,instrument,document
2014,,1997 MVE,1690.95,,,,,,,1690.95,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,1998 MVE,1603.12,,,,,,,1603.12,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,1999 MVE,2923.97,,,,,,,2923.97,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2000 MVE,4219.49,,,,,,,4219.49,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2001MVE,4812.07,,,,-132.70,,,4679.37,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2002 MVE,9673.03,,,,-238.75,-11.56,,9422.72,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2003 MVE,6675.97,,,,-27.50,-46.25,,6602.22,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2004 MVE,6448.79,,,,,,,6448.79,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2005 MVE,5898.43,,,,-82.50,,,5815.93,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2006 MVE,8785.87,,,,-98.13,,,8687.74,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2007 MVE,9912.59,,,,-98.75,,,9813.84,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2008 MVE,4286.45,,,,-94.17,,,4192.28,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2009 MVE,4983.77,,,,-420.73,,,4563.04,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2010 MVE,5117.55,,,37.52,-1025.85,,,4129.22,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2011 MVE,9979.10,,4.50,24.75,-1045.12,-81.85,,8881.38,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2012 MVE,23003.20,,9.64,824.38,-13292.77,-1360.17,,9184.28,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2013 MVE,141056.89,134391.63,0.41,13363.66,-245874.68,-16428.50,1.56,26510.97,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2014 MVE,0.00,1314698.28,,4964.08,-1183968.89,-30289.91,,105403.56,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,1998 PP,3705.21,,,,,,,3705.21,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,1999 PP,1900.15,,,,,,,1900.15,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2000 PP,1695.21,,,,,,,1695.21,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2001 PP,1095.91,,,,,,,1095.91,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2002 PP,3615.73,,,,,,,3615.73,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2003 PP,2879.08,,,,,,,2879.08,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2004 PP,3187.82,,,,,,,3187.82,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2005 PP,2190.11,,,,,,,2190.11,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2006 PP,3686.87,,,,-49.64,,,3637.23,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2007 PP,3741.56,,,,-23.05,,,3718.51,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2008 PP,4309.65,,,,-25.25,,,4284.40,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2009 PP,5299.82,,,,-105.17,,,5194.65,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2010 PP,2709.64,,,,-413.22,,,2296.42,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2011 PP,3505.02,,,,-112.44,,,3392.58,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2012 PP,5439.92,,,,-774.58,,,4665.34,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2013 PP,6220.99,,,,-1141.50,,21.62,5101.11,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2014 PP,0.00,555508.86,0.52,,-540887.83,-13426.51,-21.62,1173.42,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2007 RE,3890.09,,,,,,,3890.09,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2008 RE,-2099.04,,,2134.51,-1.22,,,34.25,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2009 RE,2120.90,,,1247.33,-3346.06,,,22.17,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2010 RE,3476.16,,,,-3314.28,,,161.88,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2011 RE,-1797.85,,,1857.65,-1.62,,,58.18,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2012 RE,-15101.48,,,14234.37,-20.61,,944.93,57.21,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2013 RE,330264.37,,-31.07,11603.97,-363344.26,,13695.39,-7811.60,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,2014 RE,0.00,19747418.40,-1947.52,9689.24,-19193857.66,-109799.45,-18793.88,432709.13,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SUPPLEMENTAL TAXES,0.00,58450.80,,,-57499.12,,,951.68,footed to its own printed balance,43,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,ROLLBACK TAXES,0.00,,,,,,,0.00,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,TAX LIENS,837515.85,257012.11,209.49,,-152206.67,-106312.77,-25284.46,810933.55,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,TAX LIEN-USER CHARGES,2302.66,,,,-6866.60,,8239.26,3675.32,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,FORECLOSURES,3626.39,,,,,,25093.88,28720.27,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,DEFERRED TAXES,15549.95,,,,,,,15549.95,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,DEFERRED SWR BETT,4605.93,,,,,,,4605.93,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,DEFERRED SWR INT,1717.33,,,,,,,1717.33,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,STR BETT COMM,0.00,900.00,,,-900.00,,,0.00,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,STR INT COMM,0.00,378.00,,,-378.00,,,0.00,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,STREET BETTERMENT,5400.00,-900.00,,,,,,4500.00,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,WATER BETT COMM,614.86,8431.55,,,-7428.53,,-614.86,1003.02,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,WATER INT COMM,98.37,674.54,,,-594.31,,-98.37,80.23,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,WATER BETTERMENT,8788.41,-8431.55,,,-356.86,,,0.00,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SEPTIC BETT COMM,611.17,1094.56,,,-1559.14,,,146.59,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SEPTIC INT COMM,75.25,128.61,,,-203.86,,,0.00,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SEWER BETT COMM,29013.82,338079.94,-402.57,,-326323.90,,-6741.46,33625.83,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SEWER INT COMM,78160.49,210636.51,-178.14,,-198128.63,,-13952.55,76537.68,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SEWER BETTERMENT,5265358.33,-327683.59,28281.54,,-94596.27,,,4871360.01,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,MEADOW BETT COMM,0.00,14642.13,,,-14642.13,,,0.00,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,MEADOW INT COMM,16805.64,48138.87,,,-23548.40,,,41396.11,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,MEADOW BETTERMENT,1100316.99,-14642.13,,,,,,1085674.86,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SEWER USAGE,66646.46,675509.47,-47570.56,,-596841.05,,236.06,97980.38,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SLIEN PRIN COM TO RE,9766.91,49240.00,,,-42996.24,,-7535.82,8474.85,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,SILIEN INT COM TO RE,890.52,4489.81,,,-3901.34,,-703.44,775.55,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,,WATER USER CHARGE,2915.10,20707.80,5249.22,,-26234.70,,,2637.42,footed to its own printed balance,44,text layer,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
