fy,stage,total,total,documents_disagree
2014,actual,5146641,5146641,1
2015,actual,5388035,5388035,1
2016,actual,5324706,5324706,1
2017,actual,5433577,5433577,1
2017,proposed,5631183,5631183,0
2018,actual,5975240,5975240,0
2018,settled,6034260,6034260,1
2018,proposed,6227899,6227899,0
2019,actual,6299651,6299651,1
2019,settled,6216701,6216701,0
2019,proposed,6211681,6211681,1
2020,actual,6289043,6289043,0
2020,settled,6388738,6388738,0
2020,proposed,6388738,6388738,0
2021,actual,6220017,6220017,0
2021,settled,6213477,6213477,0
2021,proposed,6213477,6213477,0
2022,actual,6008705,6008705,1
2022,settled,6008705,6008705,0
2022,proposed,6008705,6008705,0
2023,actual,6554462,6554462,0
2023,settled,6222283,6222283,0
2023,proposed,6241618,6241618,0
2024,actual,7115444,7115444,0
2024,proposed,6657276,6657276,0
2025,actual,7725328,7725328,0
2026,settled,9169982,9169982,0
2027,proposed,9585084,9585084,0
