fy,stage,total,total,documents_disagree
2014,actual,11044481,11044481,1
2015,actual,11434642,11434642,0
2016,actual,12046557,12046557,0
2017,actual,12801858,12801858,1
2017,proposed,12823517,12823517,0
2018,actual,13578434,13578434,0
2018,settled,13567789,13567789,0
2018,proposed,13374150,13374150,0
2019,actual,13876806,13876806,0
2019,settled,13973409,13973409,0
2019,proposed,13978429,13978429,0
2020,actual,14435785,14435785,0
2020,settled,14407125,14407125,0
2020,proposed,14407125,14407125,0
2021,actual,14880126,14880126,0
2021,settled,14910126,14910126,0
2021,proposed,14910125,14910125,0
2022,actual,15710313,15710313,0
2022,settled,15642987,15642987,0
2022,proposed,15642987,15642987,0
2023,actual,15882348,15882348,0
2023,settled,16103026,16103026,0
2023,proposed,16083691,16083691,0
2024,actual,15639645,15639645,0
2024,proposed,16226166,16226166,0
2025,actual,16835183,16835183,0
2026,settled,17117494,17117494,0
2027,proposed,18869757,18869757,0
