fy,meeting,meeting_date,article,subject,result,amount_as_printed,fincom,select_board,quote,page,source_doc,extracted_by,extracted_at
2021,annual,2021-05-01,1,Hear and accept annual reports of town officers and committees,passed,,No Direct Financial Impact,Recommend Approval,VOTED UNANIMOUS CONSENT,138,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,2,Set FY2022 revolving fund spending limits,passed,"$266,000",,,"VOTED UNANIMOUS CONSENT-$266,000.",138,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,4,Amend amounts voted under a prior Town Meeting article,passed_over,,Deferred,Deferred,Article 4 was PASSED OVER.,139,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,5,Fund the FY2022 Capital Plan,passed,"$1,597,825.00",Recommend Approval (6-0-1),Recommend Approval,"VOTED UNANIMOUSLY to Raise and Appropriate the sum of $682,502.42; transfer from Free Cash the sum of $804,041; transfer from Article 6 of the 5/5/2018 Annual Town Meeting the sum of $632.71;",139,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,7,Transfer to Stabilization Fund,passed,"$100,000",Recommend Approval,Recommend Approval,"VOTED UNANIMOUS CONSENT to transfer from Free Cash the sum of $100,000. to the Stabilization Fund.",143,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,8,Transfer to Special Purpose Stabilization Fund,passed,"$250,000",Recommend Approval,Recommend Approval,"VOTED UNANIMOUS CONSENT to transfer from Free Cash the sum of $250,000. to the Special Purpose Stabilization Fund.",143,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,9,Create and fund a Health Insurance Stabilization Fund,passed,"$369,334",Recommend Approval,Recommend Approval,"VOTED UNANIMOUSLY to create a Health Insurance Stabilization Fund pursuant to General Laws Chapter 40 Section 5B and further, to vote to raise and appropriate the sum of $369,334. to deposit into the Health Insurance Stabilization Fund.",143,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,10,Appropriate funds into the OPEB Trust Fund,passed,"$180,418.00",,,"VOTED UNANIMOUS CONSENT to transfer from Free Cash the sum of $180,418.00, and transfer from",143,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,22,Rescind 2012 borrowing authorization for a high school feasibility study,passed,"$750,000.00",Recommend Approval,Recommend Approval,"VOTED UNANIMOUS CONSENT to rescind the sum of $750,000.00, being the borrowing authorization from Article 11 of the May 5, 2012 Annual Town Meeting to conduct a Feasibility Study at the Lunenburg High School.",146,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,23,Rescind remaining 2014 borrowing authorization for middle/high school construction,passed,"$4,868,846.21",Recommend Approval,Recommend Approval,"VOTED UNANIMOUS CONSENT to rescind the sum of $4,868,846.21 being the remaining borrowing authorization from Article 1 of the January 7, 2014 Special Town Meeting for construction of a new Lunenburg Middle/High School.",146,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,24,Amend Architectural Preservation District bylaw appeal procedure,amended_and_passed,,No Direct Financial Impact,Recommend Approval (4-0-1),VOTED with amendment italicized.,146,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,25,Hear an interim report from the TCP Building Design Committee,passed,,Recommend Approval,Recommend Approval,Town Meeting Heard the Report of the TCP Building Design Committee.,146,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,annual,2021-05-01,26,Fund design and engineering to consolidate town offices at the TC Passios building,passed,"$54,000",,,"VOTED to transfer from Free Cash a sum of $54,000. for the design and engineering to consolidate",146,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,special,2021-11-16,1,Amend FY2022 town budget appropriations across several lines,passed,"$31,540.00",Recommend Approval,Recommend Approval,"VOTED UNANIMOUSLY to transfer from Sewer Enterprise Fund the sum of $16,184.31, raise and appropriate the sum of $15,355.69, transfer from line #6/Group Health Insurance the sum of $57,500.00 and to transfer from line #80/Monty Tech Assessment the sum of $21,159.00;",151,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,special,2021-11-16,2,Appropriate funds for payment of prior year expenses,passed,"$7,519.70",Recommend Approval,Recommend Approval,"VOTED UNANIMOUSLY to raise and appropriate the sum of $7,519.70 for payment of prior year expenses.",151,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,special,2021-11-16,3,Fund the first year of the firefighters collective bargaining agreement,passed,"$39,944.09",Deferred Approval,Deferred Approval,"VOTED UNANIMOUSLY to transfer from Article 7 of the 5/1/21 Annual Town Meeting, line #13A/Salary Reserve the sum of $39,944.09 to fund the FY 22-FY 23 Lunenburg Professional Firefighters Collective Bargaining Agreement dated July 1, 2021 - June 30, 2023 with PFFM Local 5358A.",151,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,special,2021-11-16,4,Amend the FY2022 Sewer Enterprise Fund budget appropriation,passed,"$1,168,126.10",Recommend Approval,Recommend Approval,"VOTED UNANIMOUSLY to amend the amounts voted for the Fy 2022 Sewer Enterprise Budget, under Article 11 of the May 1, 2021 Town Meeting as follows: to reduce the appropriation from Sewer Enterprise revenues by $16,184.31 and transfer from Sewer Retained Earnings an additional $10,824.31",151,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2021,special,2021-11-16,5,Transfer funds into the Sewer Capital Reserve Stabilization Fund,passed,"$14,875.50",Recommend Approval,Recommend Approval,"VOTED UNANIMOUS CONSENT to transfer from Sewer Enterprise Retained Earnings the sum of $14,875.50 into the Capital Reserve Stabilization Fund.",151,sources/town-annual-reports/text/4128-fy-2021-annual-town-report.txt,sonnet,2026-09-19T15:14:20Z
2022,annual,2022-05-07,1,Accept the town's annual departmental and committee reports,passed_over,,No Direct Financial Impact,Approval,VOTED UNANIMOUS CONSENT (to Pass Over as written reports have been accepted).,140,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,2,Authorize FY23 revolving funds for town departments and boards,passed,,Approval,Approval,"VOTED UNANIMOUS CONSENT to re -authorize the revolving funds for certain town departments, boards, committees, agencies or officers for spending limits as printed in the Annual Town Meeting warrant (as listed below):",140,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,3,Transfer funds to pay prior year bills,passed,$500.00,Approval,Approval,VOTED UNANIMOUS CONSENT to transfer $500.00 from Free Cash for payment of prior year expenses.,141,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,4,Amend the FY2022 budget with line-item transfers,passed,,Approval,Approval,"VOTED (Yes-123, No-1) to transfer from line #4/Liability Insurance the sum of $28,275.60; transfer from #5/Workers Compensation the sum of $5,340.00; transfer from line #6/Group Health Insurance the sum of $116,826.72; transfer from line #13/Reserve Fund the sum of $20,000.00;",141,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,5,Fund the first year of the AFSCME municipal employees union contract,passed,"$15,303.51",Approval,Approval,"VOTED (Yes-120, N0 -6) to transfer from Article 6 of the 5/1/21 Annual Town Meeting and Article 1 of the 11/16/21 Special Town Meeting, line #13A/Salary Reserve the sum of $15,303.51 to fund the first year of the FY22 -FY23 Collective Bargaining Agreement dated July 1, 2021 – June 30, 2023",141,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,6,Fund the FY2023 Capital Plan,passed,"$2,162,849.00",Approval,Approval,"VOTED (Yes-122,No-45) to raise and appropriate the sum of $967,725.00; transfer from Free Cash the sum of $983,034.39; transfer from Article 28 of the 5/7/16 Annual Town Meeting the sum of $20,582.40; transfer from Article 6 of the 5/5/18 Annual Town Meeting the sum of $1,168.29;",141,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,7,Reorganize DPW to create a separate Facilities and Grounds Department,passed,,Approval,Approval,"VOTED (Yes -136, No -28) to approve the Administrative Organization Plan as presented by the Town Manager and as provided for in Article 5, Section 1 (b) of the Town Charter:",142,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,9,Transfer funds to the Stabilization Fund,passed,"$100,000",Approval,Approval,"VOTED UNANIMOUS CONSENT to transfer from Free Cash the sum of $100,000 to the Stabilization Fund.",150,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,10,Transfer funds to the Special Purpose Stabilization Fund,passed,"$450,000",Approval,Approval,"VOTED UNANIMOUS CONSENT to transfer from Free Cash the sum of $450,000 to the Special Purpose Stabilization Fund.",150,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,11,Fund the OPEB Trust Fund,passed,,Approval,Approval,"VOTED UNANIMOUS CONSENT to transfer from Free Cash the sum of $266,696 and transfer from Sewer Enterprise Retained Earnings the sum of $656.00 to the OPEB Trust Fund established at the November 30, 2010 Special Town Meeting.",150,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,12,Fund the Sewer Enterprise Fund for FY2023,passed,"$1,213,182.00",Approval,Approval,"VOTED UNANIMOUS CONSENT to appropriate from Sewer Enterprise revenues the sum of $853,112.53; transfer from the Sewer Capital Reserve Stabilization Fund the sum of $20,000.00; transfer from the Sewer Reserve Capacity Fund the sum of $20,962.00;",150,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,13,Transfer funds to the Sewer Capital Reserve Stabilization Fund,passed,"$35,548.86",Approval,Approval,"VOTED UNANIMOUS CONSENT to transfer from Sewer Enterprise Retained Earnings the sum of $35,548.86 into the Sewer Capital Reserve Stabilization Fund.",150,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,14,Fund the Solid Waste Disposal Enterprise Fund for FY2023,passed,"$302,000",Approval,Approval,"VOTED UNANIMOUS CONSENT to appropriate from Solid Waste Disposal Enterprise Revenues the sum of $302,000 to operate the Solid Waste Disposal Program.",150,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,15,Fund the Water Enterprise Fund for FY2023,passed,"$25,000",Approval,Approval,"VOTED UNANIMOUS CONSENT to appropriate from Water Enterprise Revenues the sum of $25,000 to operate the Water Department.",150,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,16,Fund the PEG Access (cable) Enterprise operating and capital budgets for FY2023,passed,"$163,567.00",Approval,Approval,"VOTED UNANIMOUS CONSENT vote to appropriate from PEG Access and Cable Related revenues the sum of $152,477.00; and appropriate from PEG Access and Cable Related Enterprise retained earnings the sum of $11,090.00; for a total appropriation of $163,567.00",150,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
