fy,page,order,post,kind,section,stated_members,person,vacancies,term_expires,note,size_check
2022,8,1,Board of Assessors,board seat,elected,3,Christine Cosgrove Higdon,0,2023,,checked
2022,8,2,Board of Assessors,board seat,elected,3,Richard H. Letarte,0,2024,,checked
2022,8,3,Board of Assessors,board seat,elected,3,Kevin Fish,0,2025,,checked
2022,8,4,Board of Health,board seat,elected,5,George Emond Jr.,0,2025,,checked
2022,8,5,Board of Health,board seat,elected,5,Paul J. Fortin,0,2024,,checked
2022,8,6,Board of Health,board seat,elected,5,Perry R. Jewell,0,2023,,checked
2022,8,7,Board of Health,board seat,elected,5,Lisa Normandin,0,2024,,checked
2022,8,8,Board of Health,board seat,elected,5,Evan Watters,0,2023,,checked
2022,8,9,Select Board,board seat,elected,5,Thomas Alonzo,0,2025,,checked
2022,8,10,Select Board,board seat,elected,5,Louis J. Franco,0,2024,,checked
2022,8,11,Select Board,board seat,elected,5,Michael-Ray Jeffreys,0,2025,,checked
2022,8,12,Select Board,board seat,elected,5,Todd Dwyer,0,2023,,checked
2022,8,13,Select Board,board seat,elected,5,Heather Sroka,0,2023,,checked
2022,8,14,Cemetery Commission,board seat,elected,3,David Dorren,0,2024,,checked
2022,8,15,Cemetery Commission,board seat,elected,3,William Tyler,0,2023,,checked
2022,8,16,Cemetery Commission,board seat,elected,3,Nancy Foss Yasko,0,2025,,checked
2022,8,17,Constable,board seat,elected,,John E. Baker,0,2025,,no check
2022,8,18,Housing Authority,board seat,elected,5,Catherine J. Clark,0,2026,,check failed
2022,8,19,Housing Authority,board seat,elected,5,Linda M. McDonald,0,2024,,check failed
2022,8,20,Housing Authority,board seat,elected,5,Dale Proulx,0,2025,,check failed
2022,8,21,Library Trustees,board seat,elected,7,Laura Boussom,0,2024,,checked
2022,8,22,Library Trustees,board seat,elected,7,Robert Conroy,0,2024,,checked
2022,8,23,Library Trustees,board seat,elected,7,Harry Kubetz,0,2023,,checked
2022,8,24,Library Trustees,board seat,elected,7,Richard N. Mailloux,0,2025,,checked
2022,8,25,Library Trustees,board seat,elected,7,Kathleen McCarron,0,2023,,checked
2022,8,26,Library Trustees,board seat,elected,7,Donna Saiia,0,2025,,checked
2022,8,27,Library Trustees,board seat,elected,7,Maia Wentrup,0,2024,,checked
2022,8,28,Moderator,board seat,elected,,Timothy W. Murphy,0,2024,,no check
2022,8,29,Parks Commission,board seat,elected,5,Patrick Hakey,0,2025,,checked
2022,8,30,Parks Commission,board seat,elected,5,Ana Lockwood,0,2025,,checked
2022,8,31,Parks Commission,board seat,elected,5,Karin Menard,0,2023,,checked
2022,8,32,Parks Commission,board seat,elected,5,David Passios,0,2023,,checked
2022,8,33,Parks Commission,board seat,elected,5,Christopher Sullivan,0,2024,,checked
2022,9,34,Planning Board - 2,board seat,elected,5,Matthew Allison,0,2025,,checked
2022,9,35,Planning Board - 2,board seat,elected,5,Matt Brenner,0,2026,,checked
2022,9,36,Planning Board - 2,board seat,elected,5,Tanner Cole,0,2023,,checked
2022,9,37,Planning Board - 2,board seat,elected,5,Erik Torgersen,0,2024,,checked
2022,9,38,Planning Board - 2,board seat,elected,5,Amanda Reid,0,2027,,checked
2022,9,39,School Committee,board seat,elected,5,Carol Archambault,0,2025,,check failed
2022,9,40,School Committee,board seat,elected,5,Laura F. Kelly,0,2023,,check failed
2022,9,41,School Committee,board seat,elected,5,Seamus Kelly,0,2024,,check failed
2022,9,42,School Committee,board seat,elected,5,Brian Lehtinen,0,2025,,check failed
2022,9,43,School Committee,board seat,elected,5,Anthony Nicastro (2021 appointee until next election),0,,,check failed
2022,9,44,School Committee,board seat,elected,5,Sophie Shapiro-2023 (resigned 6/15/22),0,,,check failed
2022,9,45,Sewer Commission - 1/2/,board seat,elected,5,Michael Deveikis,0,2023,,checked
2022,9,46,Sewer Commission - 1/2/,board seat,elected,5,David V. MacDonald,0,2024,,checked
2022,9,47,Sewer Commission - 1/2/,board seat,elected,5,Mike Nault,0,2025,,checked
2022,9,48,Sewer Commission - 1/2/,board seat,elected,5,Brett Kamsden,0,2023,,checked
2022,9,49,Sewer Commission - 1/2/,board seat,elected,5,John Keynolds,0,2025,,checked
2022,9,50,Town Clerk,board seat,elected,,Kathryn M. Herrick,0,2025,,no check
2022,9,51,Trust Fund Commission,board seat,elected,3,Elaina Corcoran,0,2025,,checked
2022,9,52,Trust Fund Commission,board seat,elected,3,Corrine C. Scouten,0,2023,,checked
2022,9,53,Trust Fund Commission,board seat,elected,3,Nicole Waters,0,2024,,checked
2022,10,54,AGRICULTURAL COMMISSION,board seat,appointed,5,Matthew Allison,0,2025,,check failed
2022,10,55,AGRICULTURAL COMMISSION,board seat,appointed,5,Greg Burns,0,2025,,check failed
2022,10,56,AGRICULTURAL COMMISSION,board seat,appointed,5,Maryrae Holman,0,2025,,check failed
2022,10,57,AGRICULTURAL COMMISSION,board seat,appointed,5,Ryan Stober-2023 (resigned 5/19/22),0,,,check failed
2022,10,58,Associate Members—(2,board seat,appointed,,Kira McClellan-Associate,0,2025,,no check
2022,10,59,Associate Members—(2,board seat,appointed,,Stephanie Scofield—2023,0,,,no check
2022,10,60,ANIMAL CONTROL OFFICER,officer,appointed,,ANIMAL INSPECTOR (Term runs May 1 to April 30),0,,,no check
2022,10,61,ANIMAL CONTROL OFFICER,officer,appointed,,Kathleen M. Comeau,0,,,no check
2022,10,62,ANIMAL CONTROL OFFICER,officer,appointed,,Kathleen M. Comeau,0,,,no check
2022,10,63,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Cullen Dwyer,0,2023,,check failed
2022,10,64,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Richard McGrath,0,2024,,check failed
2022,10,65,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Anthony Nicastro,0,2023,,check failed
2022,10,66,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Anthony Sculimbrene,0,2025,,check failed
2022,10,67,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,William Lloyd,0,2025,,check failed
2022,10,68,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,BOARD OF REGISTRARS OF VOTERS (Term runs April 1 to March 31),0,,,check failed
2022,10,69,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Ruth Anderson,0,2024,,check failed
2022,10,70,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Kathy Herrick- Town Clerk,0,,,check failed
2022,10,71,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Karen Kemp,0,2026,,check failed
2022,10,72,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Shirley McBride,0,2025,,check failed
2022,10,73,BUILDING COMMISSIONER/ZONING ENFORCEMENT OFFICER,officer,appointed,,Casey Burlingame,0,,,no check
2022,10,74,CAPITAL PLANNING COMMITTEE,board seat,appointed,5,Tom Alonzo-Select Board,0,,,check failed
2022,10,75,CAPITAL PLANNING COMMITTEE,board seat,appointed,5,Matthew Brenner-Planning Board,0,,,check failed
2022,10,76,CAPITAL PLANNING COMMITTEE,board seat,appointed,5,Peter Beardmore-School Committee,0,,,check failed
2022,10,77,CAPITAL PLANNING COMMITTEE,board seat,appointed,5,George Martin-Member at Large,0,,,check failed
2022,10,78,CAPITAL PLANNING COMMITTEE,board seat,appointed,5,David Passios-Finance Committee,0,,,check failed
