account,name,group,held,beginning,revenue,expenditure,remaining,fy,period,as_of,document
8000,Cemetery perp care interest,TRUST FUNDS,23482.74,-23482.74,-12180.66,19612.98,-16050.42,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8001,Perpetual care bequest,TRUST FUNDS,236902.91,-236902.91,-3300.0,,-240202.91,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8110,Dora Haven Cowdrey Scholarship,TRUST FUNDS,430442.9,-430442.9,-20394.29,,-450837.19,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8111,Arts Lottery,TRUST FUNDS,10683.56,-10683.56,-9450.79,3625.0,-16509.35,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8112,Timothy Stanley Scholarship,TRUST FUNDS,14.39,-14.39,-0.67,,-15.06,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8113,Beth Curtis Scholarship Trust,TRUST FUNDS,1013.67,-1013.67,-48.03,,-1061.7,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8114,Library Book/ All Purpose,TRUST FUNDS,104808.21,-104808.21,-1915.05,,-106723.26,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8115,Cemetery Sale of Lots,TRUST FUNDS,104471.13,-104471.13,-10094.48,11744.64,-102820.97,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8116,School Prize Fund,TRUST FUNDS,2188.32,-2188.32,-245.49,,-2433.81,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8117,Ryan Busque Scholarship,TRUST FUNDS,10437.06,-10437.06,-494.51,,-10931.57,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8118,Philip Crouse Scholarship fund,TRUST FUNDS,80.96,-80.96,-3.84,,-84.8,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8119,Athletic Booster Clun,TRUST FUNDS,13143.89,-13143.89,-622.77,,-13766.66,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8120,Wakefield Scholarship,TRUST FUNDS,49.86,-49.86,-7.11,,-56.97,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8121,Sidewalks & Grounds,TRUST FUNDS,21321.88,-21321.88,-1010.22,,-22332.1,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8122,Chester Moosman Trust Fund,TRUST FUNDS,1946.79,-1946.79,-92.24,,-2039.03,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8123,Worth Poor Funds,TRUST FUNDS,33959.69,-33959.69,-1609.0,,-35568.69,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8126,Playground Fund,TRUST FUNDS,91.78,-91.78,-2.74,,-94.52,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8127,C Allen Headstone Trust,TRUST FUNDS,160.63,-160.63,-7.62,,-168.25,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
8128,Gazebo Restoration Trust,TRUST FUNDS,10295.86,-10295.86,-487.81,,-10783.67,2026,9,2026-03-31,sources/town-ledgers/fund-balances/trust-agency-fy2026-p09.xlsx
