function_group,years,budgeted,spent,net,gross,churn,worst_year,best_year
5200 - Insurance Programs,6,16910523,17355134,444611,487143,1.10,-0.0075,0.0748
2305 - H.S. Teachers - General Education,5,12429464,12350654,-78810,78810,1.00,-0.0110,-0.0000
2305 - Middle School Teachers - General Education,5,9362984,9422369,59385,82389,1.39,-0.0043,0.0143
2305 - P.S. Teachers -General Education,5,7293260,7137197,-156063,167085,1.07,-0.0939,0.0025
2310 - Teachers Specialists - Special Education,5,6834575,6651274,-183301,183301,1.00,-0.0563,0.0000
2305 - E.S. Teachers -General Education,5,6737090,6735271,-1819,140611,77.30,-0.0275,0.0459
3300 - Student Transportation,6,6099016,5765768,-333248,372616,1.12,-0.1624,0.0173
2330 - Paraprofessionals Special Education *** (LTP notes),5,4164900,4265736,100836,100836,1.00,0.0033,0.0773
4110 - Custodial Services,5,3933659,3788080,-145579,145579,1.00,-0.0643,-0.0083
9300 - Private Tuitions,6,3641158,3200722,-440436,713080,1.62,-0.6104,0.2065
2320 - Therapeutic Services,5,3093610,3014841,-78769,78769,1.00,-0.0532,-0.0100
(unmapped),4,2722759,2748038,25279,62963,2.49,-0.0371,0.0590
4130 - Utility Services,6,1408275,1429878,21603,180461,8.35,-0.3363,0.2292
2210 - H.S. Principal Office Salaries,5,1337270,1316522,-20748,38352,1.85,-0.1019,0.0247
1210 - Superintendent Office Salaries,5,1246673,1249927,3254,35690,10.97,-0.0499,0.0858
9400 - Collaborative Tuitions,6,1212796,930536,-282260,885722,3.14,-0.9372,3.1936
2210 - Middle School Principal Office Salaries,5,1185377,1161197,-24180,32356,1.34,-0.0665,0.0160
3200 - School Nurses Salaries,5,1181830,1188019,6189,33323,5.38,-0.0503,0.0633
3510 - Athletics Salaries,5,1127592,1057624,-69968,103070,1.47,-0.1875,0.0710
2210 - P.S. Principal Office Salaries,5,1122690,1117148,-5542,21044,3.80,-0.0386,0.0269
2210 - E.S. Principal Office Salaries,5,1107545,1113675,6130,6892,1.12,-0.0011,0.0112
1450 - Administrative Technology,5,968761,943399,-25362,57902,2.28,-0.1890,0.0866
2340 - Librarians Salaries,5,966005,930037,-35968,35968,1.00,-0.1145,0.0000
2710 - Guidance Salaries,5,889061,869294,-19767,23207,1.17,-0.0575,0.0057
2110 - Curriculum/Spec Ed Directors,5,751297,817010,65713,65713,1.00,0.0000,0.2340
7400 - Replace Equipment,5,728952,1277394,548442,550742,1.00,-0.0103,3.0857
2800 - Psychological Services,5,674396,673296,-1100,8576,7.80,-0.0246,0.0240
4120 - Heating of Buildings,6,634670,635098,428,151484,353.93,-0.3123,0.2767
1450 - Info Management & Tech Expense,6,618683,679594,60911,162189,2.66,-0.2442,0.8332
4220 - Maint. of Buildings,5,532257,542404,10147,75517,7.44,-0.3150,0.1327
2330 - Paraprofessionals General Education,4,443083,393785,-49298,49298,1.00,-0.3185,-0.0207
3510 - Athletic Expenses,6,342002,392222,50220,85902,1.71,-0.1356,0.8144
2325 - General Education Substitutes,5,341400,402676,61276,95324,1.56,-0.2259,0.5192
2900 - Social Worker Salaries,2,329766,330007,241,241,1.00,0.0000,0.0012
2325 - Special Education Substitutes,5,322364,274236,-48128,153472,3.19,-0.6591,0.9754
1410 - Business Office Salaries,5,309143,308348,-795,9921,12.48,-0.0851,0.0609
2110 - Special Education Clerical,5,287752,292983,5231,16635,3.18,-0.0961,0.1251
4110 - Cust. Supplies - System,6,277083,349223,72140,94676,1.31,-0.1594,1.5722
7300 - Acquisition/Improvement Equipment,5,220000,235030,15030,15030,1.00,0.0000,0.1879
1420 - Human Resources Salaries,4,207468,220951,13483,13483,1.00,0.0000,0.3743
2451 - Instructional Tech.,6,202475,179943,-22532,28100,1.25,-0.4511,0.0659
1430 - Legal,4,163000,207100,44100,63990,1.45,-0.1868,0.9974
2430 - General School Supplies,5,158185,133793,-24392,26492,1.09,-0.3162,0.0434
2110 - System Curriculum Adop,4,155000,133626,-21374,55170,2.58,-0.9225,0.3959
4400 - Networking / Telecommunications,5,123915,128274,4359,38643,8.87,-0.2969,0.7590
1230-District Wide Administration,4,116000,170922,54922,63040,1.15,-0.2029,1.4809
4210 - Maint. of Grounds,3,115445,83114,-32331,32331,1.00,-0.3413,-0.2319
2357 - Professional Dev,4,110000,120998,10998,35062,3.19,-0.3936,0.9212
2310 - Tutoring Cont. Ser.,1,103000,130042,27042,27042,1.00,0.2625,0.2625
2710 - Guidance Exp.,5,94710,68098,-26612,28262,1.06,-0.4352,0.0809
4230 - Maintenance Repairs,3,86833,61241,-25592,25592,1.00,-0.4306,-0.0943
3520 - After School Advisor Salaries,4,83566,101559,17993,47401,2.63,-0.4936,2.1012
2800 - Psych. Services,5,61000,59591,-1409,12789,9.08,-0.2175,0.4742
2420 - H.S. Instr. Equipment,4,52872,49177,-3695,3695,1.00,-0.1272,-0.0125
2415 - P.S. Other Instr. Materials,3,36194,28817,-7377,7377,1.00,-0.4598,-0.0227
2415 - H.S. Other Instr. Materials,2,35708,31525,-4183,4183,1.00,-0.1577,-0.0286
2415 - E.S. Other Instr. Materials,3,33075,27677,-5398,5398,1.00,-0.3470,-0.0616
2315 - H.S. Department Heads Stipends,1,25133,22792,-2341,2341,1.00,-0.0931,-0.0931
2210 - H.S. Principals Office,1,10000,8039,-1961,1961,1.00,-0.1961,-0.1961
