board_slug,board_name,meetings_folder,body_type,names_seen_in_titles,basis
select-board,Select Board,select-board,town,Select Board; Selectmen Meeting; Board of Selectmen; Selectboard; Selectman Meeting; Selectmen Mtg; Selec tBoard,"ONE body, renamed. Titles using Selectmen/Board of Selectmen run 2012-07-23 to 2020-10-13; titles using Select Board/Selectboard begin 2020-10-20 and run to 2026-09-01. No overlap, one week apart, and the AgendaCenter carries a single select-board folder covering both periods."
finance-committee,Finance Committee,finance-committee,town,Finance Committee; Fincom; Fin Com; FinCom; Finance Comittee; Finance Committe; Fnance Committe Meeting,"ONE body. Abbreviations and misspellings of the same name, overlapping years."
finance-committee-appointing-committee,Finance Committee Appointing Committee,finance-committee-appointing-committee,town,Finance Committee Appointing Committee; Finance Committee Appointing Committe; Lunenburg FinCom Appointing Committee,ONE body. Abbreviation of the same name.
school-committee,School Committee,school-committee,school,School Committee; School Committee Meeting; School Comm; SchoolComm; School Committe; School Commitee; School Commmittee; school,"ONE body. ""School Committee Meeting"" (2012-05-02 to 2021-01-06) and ""School Committee"" (2012-05-02 to 2026-08-26) overlap throughout: the same name with the word Meeting appended, not a rename."
school-building-committee,School Building Committee,school-building-committee-meeting,school,School Building Committee; SchoolBuildingComm; SchoolBuildingCommittee,ONE body.
planning-board,Planning Board,planning-board,town,Planning Board; Plannng Board; Plannning Board; PlanningBoard; plannin,
conservation-commission,Conservation Commission,conservation-commission,town,Conservation Commission; ConservationCommission; ConservationComm; Conservation Commissiom; Conserervation Commission,
sewer-commission,Sewer Commission,sewer-commission,town,Sewer Commission; Sewer Committee Meeting; Sewer Comm Mtg; Sewer Commoission; sewer,"ONE body. ""Sewer Committee Meeting"" is treated as the Sewer Commission: the town has no Sewer Committee, and the AgendaCenter carries only sewer-commission."
zoning-board-of-appeals,Zoning Board of Appeals,zoning-board-of-appeals,town,Zoning Board of Appeals; ZBA; Zoning Board; Zoning Board of Appeal; Zoaning Board of Appeals; Zoning Board of Appleals; Zoning,
parks-commission,Parks Commission,parks-commission,town,Parks Commission; Parks,
board-of-assessors,Board of Assessors,board-of-assessors,town,Board of Assessors; Board of Assessor,
board-of-health,Board of Health,board-of-health,town,Board of Health,
council-on-aging,Council on Aging,council-on-aging,town,Council on Aging; Council On Aging (COA); Council on Aging Committee Meeting,
cemetery-commission,Cemetery Commission,cemetery-commission,town,Cemetery Commission; Cemetary Commission,
capital-planning-committee,Capital Planning Committee,capital-planning-committee,town,Capital Planning Committee; Capital Planning; Capital Planning ZOOM; Capital Planning Meeting,"ONE body. ""Capital Planning"" (2018-01-09 to 2026-02-11) and ""Capital Planning Committee"" (2017-12-12 to 2026-04-30) overlap throughout; the shorter form is an abbreviation, not an earlier body."
personnel-committee,Personnel Committee,personnel-committee,town,Personnel Committee; Personnel; Personnel Commitee; Personne lCommittee,
open-space-committee,Open Space Committee,open-space-committee,town,Open Space Committee; Open Space; Open Space Ad Hoc Committee,ONE body assumed: the AgendaCenter carries a single open space body. The Ad Hoc form appears once and is not separately established.
stormwater-task-force,Stormwater Task Force,stormwater-task-force,town,Stormwater Task Force; Storm Water Task Force,
architectural-preservation-district-commission,Architectural Preservation District Commission,architectural-preservation-district-commission,town,Architectural Preservation District Commission; Architectural Preservation District Committee; APDC; Architecture Preservation District Commission; Architectual/Achitectural/Presevation misspellings,ONE body. Commission and Committee forms overlap in years; the AgendaCenter carries one folder.
historical-commission,Historical Commission,historical-commission,town,Historical Commission,
agricultural-commission,Agricultural Commission,agricultural-commission,town,Agricultural Commission; Agricultural Committee; Agricultural Comission; Agricultral Committee,ONE body. Commission and Committee forms of the same name; the AgendaCenter carries one folder.
economic-development-committee,Economic Development Committee,economic-development-committee,town,Economic Development Committee,
master-plan-steering-committee,Master Plan Steering Committee,master-plan-steering-committee,town,Master Plan Steering Committee; Master Planning Steering Committee; Master Plan Committee; Plan Lunenburg,"ONE body. ""Plan Lunenburg"" is the committee’s own name for its master plan process, used in its own titles (""Master Plan Steering Committee ‘Plan Lunenburg’ Meeting #3"")."
charter-review-committee,Charter Review Committee,charter-review-committee,town,Charter Review Committee; Charter Review; Lunenburg Charter Review Committee,
budget-task-force,Budget Task Force,budget-task-force,town,Budget Task Force,
trust-fund-commission,Trust Fund Commission,trust-fund-commission,town,Trust Funds Commission; Trust Fund Commission; Trust Funds Committee; Tust Fund Commission,ONE body. Singular/plural and Commission/Committee forms of the same name.
library-board-of-trustees,Library Board of Trustees,library-board-of-trustees,town,Library Board of Trustees,
public-access-cable-committee-pacc,Public Access Cable Committee (PACC),public-access-cable-committee-pacc,town,PACC; PAC; Public Access Cable Committee; Public Access Cable Committee (PAC); Public Access Cable Committee Meeting (PACC),"ONE body. The channel writes both abbreviations, and two titles spell the full name out beside each one: ""Public Access Cable Committee (PAC)"" and ""Public Access Cable Committee Meeting (PACC)""."
cable-advisory-committee,Cable Advisory Committee,cable-advisory-committee,town,Cable Advisory Committee,
town-manager-screening-committee,Town Manager Screening Committee,town-manager-screening-committee,town,Town Manager Screening Committee,
senior-citizens-tax-work-off-committee,Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,town,Senior Tax Workoff Committee,
athletic-advisory-council,Athletic Advisory Council,athletic-advisory-council,school,Athletic Advisory Committee,ONE body assumed: the town lists an Athletic Advisory Council and the channel writes Committee. Two videos.
lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,town,Municipal Building Design Committee; Lunenburg Municipal Building Design Committee; Lunenburg Municipal Building Design Committee (LMBDC); Municipal Building Design; Municipa lBuiding Design Committee,
town-meeting,Town Meeting,,town,Town Meeting; Annual Town Meeting; Special Town Meeting; Lunenburg Annual/Special Town Meeting; TownMeeting Part N,NOT IN THE AGENDACENTER. Town Meeting is the town’s legislative body and has no AgendaCenter folder; the channel records it. Flagged for review.
lunenburg-water-district,Lunenburg Water District,,district,Water District; Lunenburg Water District; Water District Annual Meeting; Water District Commissioner’s Meeting,"NOT IN THE AGENDACENTER. A separate water district with its own commissioners, not a town board. Flagged for review."
green-community-task-force,Green Community Task Force,,town,Green Community Task Force; Green Communities Task Force,NOT IN THE AGENDACENTER under this name. The AgendaCenter has a Green Communities COMMITTEE; whether that is the same body as this Task Force is NOT established here and the two are deliberately not merged. Flagged for review.
tcp-building-design-committee,TCP Building Design Committee,,town,TCP Building Design Committee; TCP BuildingDesign Committee; TCP Building Design Comm; TCP Bulding DesignbCommittee,"NOT IN THE AGENDACENTER. TCP is the T.C. Passios building; this is not merged with the Municipal Building Design Committee, which is a different project. Flagged for review."
ma-dpu,Massachusetts Department of Public Utilities,,state,MA Dept of Public Until Public Hearing on Unitil Proposed Gas and Electric Rate Increases,NOT A LUNENBURG BODY. A state agency hearing the channel recorded. Flagged for review.
ma-efsb,Massachusetts Energy Facilities Siting Board,,state,MA Energy Facilities Siting Board - Kinder Morgan Hearing,NOT A LUNENBURG BODY. Flagged for review.
ferc,Federal Energy Regulatory Commission,,federal,FERC Meeting,"NOT A LUNENBURG BODY, and the title says only ""FERC Meeting"". Flagged for review."
