video_id,board_slug,meeting_date,reason,url,seen_at
_2iNJ6SvsCs,select-board,2026-03-23,TranscriptsDisabled,https://www.youtube.com/watch?v=_2iNJ6SvsCs,2026-09-11T13:15:41Z
kjcBrgJA-ik,capital-planning-committee,2026-02-11,TranscriptsDisabled,https://www.youtube.com/watch?v=kjcBrgJA-ik,2026-09-18T22:58:22Z
r_5drbTuvSY,school-committee,2024-12-04,TranscriptsDisabled,https://www.youtube.com/watch?v=r_5drbTuvSY,2026-09-11T14:06:47Z
0MLr03VKsyA,select-board,2024-12-03,TranscriptsDisabled,https://www.youtube.com/watch?v=0MLr03VKsyA,2026-09-11T16:06:11Z
7q65aaiSuSw,budget-task-force,2024-12-02,TranscriptsDisabled,https://www.youtube.com/watch?v=7q65aaiSuSw,2026-09-19T03:50:11Z
2R-D1jOtQ-g,lunenburg-municipal-building-design-committee,2024-12-02,TranscriptsDisabled,https://www.youtube.com/watch?v=2R-D1jOtQ-g,2026-09-19T03:51:43Z
9dK5_9DfhCU,green-community-task-force,2024-04-01,TranscriptsDisabled,https://www.youtube.com/watch?v=9dK5_9DfhCU,2026-09-19T06:24:22Z
5bH3OSAimmA,lunenburg-water-district,2023-03-25,TranscriptsDisabled,https://www.youtube.com/watch?v=5bH3OSAimmA,2026-09-19T10:02:56Z
mlz6ac_xOY8,finance-committee,2022-10-27,TranscriptsDisabled,https://www.youtube.com/watch?v=mlz6ac_xOY8,2026-09-11T16:41:20Z
gx1til74EIw,town-meeting,2021-05-01,TranscriptsDisabled,https://www.youtube.com/watch?v=gx1til74EIw,2026-09-22T18:09:50Z
o6YWn4p8QFA,select-board,2021-03-09,TranscriptsDisabled,https://www.youtube.com/watch?v=o6YWn4p8QFA,2026-09-11T21:51:27Z
aGalb398DlQ,conservation-commission,2021-03-03,TranscriptsDisabled,https://www.youtube.com/watch?v=aGalb398DlQ,2026-09-22T18:48:37Z
ZwsgVV1s_-Y,select-board,2020-09-22,TranscriptsDisabled,https://www.youtube.com/watch?v=ZwsgVV1s_-Y,2026-09-11T22:04:34Z
nuu4oI0FWXQ,school-committee,2020-09-16,TranscriptsDisabled,https://www.youtube.com/watch?v=nuu4oI0FWXQ,2026-09-11T11:27:58Z
5sVEU5tFmwQ,conservation-commission,2020-06-03,TranscriptsDisabled,https://www.youtube.com/watch?v=5sVEU5tFmwQ,2026-09-22T20:59:51Z
NLhkAPW9jwg,conservation-commission,2020-04-01,TranscriptsDisabled,https://www.youtube.com/watch?v=NLhkAPW9jwg,2026-09-22T21:17:22Z
66-GK0jeGEA,capital-planning-committee,2020-01-07,TranscriptsDisabled,https://www.youtube.com/watch?v=66-GK0jeGEA,2026-09-22T21:32:42Z
Xvm022zDXvI,planning-board,2019-11-25,TranscriptsDisabled,https://www.youtube.com/watch?v=Xvm022zDXvI,2026-09-22T21:38:12Z
rpY-3JxOgZg,zoning-board-of-appeals,2019-02-13,TranscriptsDisabled,https://www.youtube.com/watch?v=rpY-3JxOgZg,2026-09-22T22:28:40Z
6SKhkWJSDFs,planning-board,2018-09-10,TranscriptsDisabled,https://www.youtube.com/watch?v=6SKhkWJSDFs,2026-09-22T22:56:48Z
Pm8jxXZoqEI,zoning-board-of-appeals,2018-06-27,TranscriptsDisabled,https://www.youtube.com/watch?v=Pm8jxXZoqEI,2026-09-11T12:28:38Z
c7d3Yv9arzc,town-meeting,2018-05-05,TranscriptsDisabled,https://www.youtube.com/watch?v=c7d3Yv9arzc,2026-09-22T23:16:30Z
OrMnBYfJCZY,finance-committee,2018-01-25,TranscriptsDisabled,https://www.youtube.com/watch?v=OrMnBYfJCZY,2026-09-11T22:14:13Z
XaY6S5pQjdg,planning-board,2017-10-23,TranscriptsDisabled,https://www.youtube.com/watch?v=XaY6S5pQjdg,2026-09-22T23:57:01Z
o6VNOWeNKPM,school-committee,2017-08-02,TranscriptsDisabled,https://www.youtube.com/watch?v=o6VNOWeNKPM,2026-09-11T11:28:05Z
94LIGclZgWk,sewer-commission,2017-04-25,TranscriptsDisabled,https://www.youtube.com/watch?v=94LIGclZgWk,2026-09-23T00:26:14Z
VWOBg-B8kNc,select-board,2017-04-18,TranscriptsDisabled,https://www.youtube.com/watch?v=VWOBg-B8kNc,2026-09-12T01:21:12Z
g2zUY9Rnz5k,zoning-board-of-appeals,2017-04-12,TranscriptsDisabled,https://www.youtube.com/watch?v=g2zUY9Rnz5k,2026-09-23T00:27:46Z
YF9_XAcjSKM,select-board,2017-04-11,TranscriptsDisabled,https://www.youtube.com/watch?v=YF9_XAcjSKM,2026-09-12T01:21:58Z
9oUHxB8jDs0,planning-board,2017-04-10,TranscriptsDisabled,https://www.youtube.com/watch?v=9oUHxB8jDs0,2026-09-23T00:28:32Z
qkX9ANbZ7I0,finance-committee,2017-04-06,TranscriptsDisabled,https://www.youtube.com/watch?v=qkX9ANbZ7I0,2026-09-11T22:15:45Z
iTpRKIMYE9w,select-board,2017-04-04,TranscriptsDisabled,https://www.youtube.com/watch?v=iTpRKIMYE9w,2026-09-12T01:22:44Z
-X5pkXYw0LU,planning-board,2017-03-27,TranscriptsDisabled,https://www.youtube.com/watch?v=-X5pkXYw0LU,2026-09-23T00:29:18Z
swrsAUmOY04,finance-committee,2017-03-23,TranscriptsDisabled,https://www.youtube.com/watch?v=swrsAUmOY04,2026-09-11T22:16:31Z
j9YeimEp0a4,finance-committee,2017-03-16,TranscriptsDisabled,https://www.youtube.com/watch?v=j9YeimEp0a4,2026-09-11T22:17:17Z
fm48z3ozqos,school-committee,2017-03-15,TranscriptsDisabled,https://www.youtube.com/watch?v=fm48z3ozqos,2026-09-11T11:28:12Z
btcPbnIa8Pg,conservation-commission,2017-03-15,TranscriptsDisabled,https://www.youtube.com/watch?v=btcPbnIa8Pg,2026-09-23T00:35:31Z
AWUrHtXyJi4,select-board,2017-03-15,TranscriptsDisabled,https://www.youtube.com/watch?v=AWUrHtXyJi4,2026-09-12T01:24:16Z
wHxTGn9AYqY,planning-board,2017-03-13,TranscriptsDisabled,https://www.youtube.com/watch?v=wHxTGn9AYqY,2026-09-23T00:36:17Z
BNWNzB5AQWM,finance-committee,2017-03-09,TranscriptsDisabled,https://www.youtube.com/watch?v=BNWNzB5AQWM,2026-09-11T22:18:03Z
3p1p8-Pkubg,zoning-board-of-appeals,2017-03-08,TranscriptsDisabled,https://www.youtube.com/watch?v=3p1p8-Pkubg,2026-09-23T00:37:03Z
4V3PvKyJeXc,select-board,2017-03-07,TranscriptsDisabled,https://www.youtube.com/watch?v=4V3PvKyJeXc,2026-09-12T01:25:02Z
boXGhcTVyW0,school-committee,2017-03-01,TranscriptsDisabled,https://www.youtube.com/watch?v=boXGhcTVyW0,2026-09-11T11:28:19Z
