title_stem,kind,boards,category,note
"""Book Club"" - Season 1 Episode 5",not_a_meeting,,library_program,
"""Exploring Cowdrey"" by Michael Wallmann",not_a_meeting,,community_event,
"""Have a Beautiful Day"" Lunenburg Public Access",not_a_meeting,,psa,
"""How Can We Help"" Property Tax Exemptions and Assistance for Seniors",not_a_meeting,,presentation,
"""Nathaniel Austin, Pewterer, Loyalist or Patriot?",not_a_meeting,,community_event,
"""Peak Peek""",not_a_meeting,,programming,
"""SNEAK PEEK"" - HOLIDAY ON HICKORY HILLS LAKE - Airing Soon on Ch9!!!",not_a_meeting,,community_event,
"""Sneak Peek"" Eagle House Announcements - February/March 2012",not_a_meeting,,psa,
"""Sneak Peek"" Lunenburg Boys & Girls Club",not_a_meeting,,psa,
"""Sneak Peek"" Lunenburg Fire Dept - Ice Rescue Drill",not_a_meeting,,psa,
"""SNEAK PEEK"" VIDEO - LUNENBURG MEMORIAL DAY CEREMONY 2011",not_a_meeting,,ceremony,
"""Up in Smoke!""",not_a_meeting,,programming,
"""We Are Coming to You' - Historical Society Presentation",not_a_meeting,,community_event,
"""Welcome to Lunenburg"" - Historical Society, S1 Ep1",not_a_meeting,,programming,
"""What to Know Before You Go"" - End of Life Planning with Mike Masciarelli",not_a_meeting,,presentation,
10th Annual Tea,not_a_meeting,,senior_center,
1st Middlesex District Candidate's Forum,not_a_meeting,,election_forum,
2024 Baccalaureate,not_a_meeting,,school_event,
2025 Lunenburg Memorial Day Observance,not_a_meeting,,ceremony,
25 Years Since the Last Ride - Whalom Park,not_a_meeting,,community_event,
8th Grade Chorus,not_a_meeting,,school_event,
911 YouTube,undetermined,,,"the title is a filename, not a description"
911YouTube2,undetermined,,,"the title is a filename, not a description"
925 Mass Ave - What Should it Be? Public Input,undetermined,,,a public input session on a town property with no convening body named
A Celebration of Lyrical Poetry featuring Kate Chadbourne,not_a_meeting,,library_program,
A Celtic Celebration with Davis Bates at the Eagle House,not_a_meeting,,senior_center,
A Celtic Christmas Celebration with Kate Chadbourne,not_a_meeting,,library_program,
A Doctor Explains How to Make the Safest Face Mask,not_a_meeting,,town_programming,
A Green School Presentation,not_a_meeting,,school_programming,
A Journey Through Old Time Lunenburg Through the Lens of Lizzie Proctor,not_a_meeting,,community_event,
A Journey through the Roots of American Popular Music,not_a_meeting,,community_event,
A Night of Scottish Music with Elizabeth Anderson and Giulia Haible Lunenburg Library,not_a_meeting,,library_program,
A Visit to the Price Cider House,not_a_meeting,,programming,
A.E.D. Fundraiser Basketball Game,not_a_meeting,,community_event,
ACE Program Overview,not_a_meeting,,school_programming,
Achitectural Preservation District Committee,meeting,architectural-preservation-district-commission,regular,misspelling
Adam Bergeron - Eagle House Concert,not_a_meeting,,senior_center,
Adult Activity Center Volunteer Celebration Ceremony,not_a_meeting,,senior_center,
Advanced Care Planning,not_a_meeting,,presentation,
Agricultral Committee,meeting,agricultural-commission,regular,misspelling
Agricultural Comission,meeting,agricultural-commission,regular,misspelling
Agricultural Commission,meeting,agricultural-commission,regular,
Agricultural Committee,meeting,agricultural-commission,regular,
AI Discussion - Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
