video_id,board_slug,board_name,title_stem,meetings_folder,in_agenda_center,meeting_date,classification_source,classified_by,classified_at
7wCeOTdyvdc,trust-fund-commission,Trust Fund Commission,Trust Funds Commission,trust-fund-commission,yes,2026-09-10,model,claude-opus-5 (1M context),2026-09-08
Qimi3yNAudg,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2026-09-09,model,claude-opus-5 (1M context),2026-09-08
tKWYbMFWJtI,school-committee,School Committee,School Committee,school-committee,yes,2026-09-09,model,claude-opus-5 (1M context),2026-09-08
qp-NjUCVwuc,open-space-committee,Open Space Committee,Open Space Committee,open-space-committee,yes,2026-09-09,model,claude-opus-5 (1M context),2026-09-08
wkIczMuIDqA,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-09-08,model,claude-opus-5 (1M context),2026-09-08
VMfaXMyKBII,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-09-08,model,claude-opus-5 (1M context),2026-09-08
f1AbB5ZEQ5Q,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2026-09-08,model,claude-opus-5 (1M context),2026-09-08
z6Wp_dJsdtA,council-on-aging,Council on Aging,Council on Aging,council-on-aging,yes,2026-09-08,model,claude-opus-5 (1M context),2026-09-08
x4HDKD0Ol7c,personnel-committee,Personnel Committee,Personnel Committee,personnel-committee,yes,2026-09-03,model,claude-opus-5 (1M context),2026-09-08
UgUpJJb4cPw,town-meeting,Town Meeting,Special Town Meeting,,NO,2026-09-03,model,claude-opus-5 (1M context),2026-09-08
9E1d1VRhxCs,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-09-02,model,claude-opus-5 (1M context),2026-09-08
kG4KE9VgCdY,select-board,Select Board,Select Board,select-board,yes,2026-09-01,model,claude-opus-5 (1M context),2026-09-08
DcEdUB3CsCU,personnel-committee,Personnel Committee,Personnel Committee,personnel-committee,yes,2026-08-31,model,claude-opus-5 (1M context),2026-09-08
N5dSxGy3zZs,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2026-08-31,model,claude-opus-5 (1M context),2026-09-08
kY5j-uu0MRo,lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,Municipal Building Design Committee,lunenburg-municipal-building-design-committee,yes,2026-08-31,model,claude-opus-5 (1M context),2026-09-08
LGdwK249dSA,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-08-27,model,claude-opus-5 (1M context),2026-09-08
gzjEdL1J5N0,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-08-26,model,claude-opus-5 (1M context),2026-09-08
lO_rw3eY5D8,trust-fund-commission,Trust Fund Commission,Trust Funds Commission,trust-fund-commission,yes,2026-08-27,model,claude-opus-5 (1M context),2026-09-08
J_kvfs3s0UE,school-committee,School Committee,School Committee,school-committee,yes,2026-08-26,model,claude-opus-5 (1M context),2026-09-08
myQGZh_udNc,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2026-08-26,model,claude-opus-5 (1M context),2026-09-08
62qwUKHEBro,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2026-08-26,model,claude-opus-5 (1M context),2026-09-08
Ki8TszCpmCY,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-08-25,model,claude-opus-5 (1M context),2026-09-08
vZDJ6B71qqI,planning-board,Planning Board,Planning Board,planning-board,yes,2026-08-24,model,claude-opus-5 (1M context),2026-09-08
9B8uWI7kA7w,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2026-08-19,model,claude-opus-5 (1M context),2026-09-08
cNWQtYXh2fQ,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-08-19,model,claude-opus-5 (1M context),2026-09-08
revUfCcR4IU,select-board,Select Board,Select Board Public Hearing - Dog Complaint,select-board,yes,2026-08-18,model,claude-opus-5 (1M context),2026-09-08
YnQcT2BMWS4,select-board,Select Board,Select Board,select-board,yes,2026-08-18,model,claude-opus-5 (1M context),2026-09-08
