video_id,channel_rank,title,url,title_stem,kind,category,board_count,meeting_date,date_source,date_flag,note,classification_source,classified_by,classified_at
c7UVX-KNCWg,0,POW/MIA Recognition Day 09.18.26,https://www.youtube.com/watch?v=c7UVX-KNCWg,POW/MIA Recognition Day,undetermined,,0,2026-09-18,title (mm.dd.yy),,no decision recorded,no decision recorded,claude-opus-5 (1M context),2026-09-08
KXzIph3Demg,1,Conservation Commission 09.16.26,https://www.youtube.com/watch?v=KXzIph3Demg,Conservation Commission,meeting,regular,1,2026-09-16,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
XY8Ru12S9Xg,2,School Committee 09.16.26,https://www.youtube.com/watch?v=XY8Ru12S9Xg,School Committee,meeting,regular,1,2026-09-16,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
OiwZv1YBXj0,3,PACC Special Meeting 09.16.26,https://www.youtube.com/watch?v=OiwZv1YBXj0,PACC Special Meeting,undetermined,,0,2026-09-16,title (mm.dd.yy),,no decision recorded,no decision recorded,claude-opus-5 (1M context),2026-09-08
kig-BTakGjQ,4,Select Board 09.15.26,https://www.youtube.com/watch?v=kig-BTakGjQ,Select Board,meeting,regular,1,2026-09-15,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
fHuUxPFr0rg,5,Stormwater Task Force 09.14.26,https://www.youtube.com/watch?v=fHuUxPFr0rg,Stormwater Task Force,meeting,regular,1,2026-09-14,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
1eG6rHwscq4,6,Planning Board 09.14.26,https://www.youtube.com/watch?v=1eG6rHwscq4,Planning Board,meeting,regular,1,2026-09-14,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
hP8ecY6jds4,7,Lunenburg Remembers Kevin Szocik on Patriot Day 09.11.26,https://www.youtube.com/watch?v=hP8ecY6jds4,Lunenburg Remembers Kevin Szocik on Patriot Day,undetermined,,0,2026-09-11,title (mm.dd.yy),,no decision recorded,no decision recorded,claude-opus-5 (1M context),2026-09-08
7wCeOTdyvdc,8,Trust Funds Commission 09.10.26,https://www.youtube.com/watch?v=7wCeOTdyvdc,Trust Funds Commission,meeting,regular,1,2026-09-10,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
Qimi3yNAudg,9,Board of Assessors 09.09.26,https://www.youtube.com/watch?v=Qimi3yNAudg,Board of Assessors,meeting,regular,1,2026-09-09,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
tKWYbMFWJtI,10,School Committee 09.09.26,https://www.youtube.com/watch?v=tKWYbMFWJtI,School Committee,meeting,regular,1,2026-09-09,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
