board,board_id,date,kind,file_id,path,url
Agricultural Commission,2,2026-02-23,agenda,7664,agricultural-commission/2026-02-23-agenda-7664.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02232026-7664
Agricultural Commission,2,2026-04-06,agenda,7751,agricultural-commission/2026-04-06-agenda-7751.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04062026-7751
Agricultural Commission,2,2026-05-04,agenda,7794,agricultural-commission/2026-05-04-agenda-7794.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05042026-7794
Agricultural Commission,2,2026-06-15,agenda,7853,agricultural-commission/2026-06-15-agenda-7853.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152026-7853
Agricultural Commission,2,2026-07-20,agenda,7913,agricultural-commission/2026-07-20-agenda-7913.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202026-7913
Agricultural Commission,2,2026-08-17,agenda,7967,agricultural-commission/2026-08-17-agenda-7967.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172026-7967
Architectural Preservation District Commission,3,2026-01-08,agenda,7593,architectural-preservation-district-commission/2026-01-08-agenda-7593.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01082026-7593
Architectural Preservation District Commission,3,2026-01-08,minutes,7593,architectural-preservation-district-commission/2026-01-08-minutes-7593.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01082026-7593
Architectural Preservation District Commission,3,2026-02-12,agenda,7647,architectural-preservation-district-commission/2026-02-12-agenda-7647.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02122026-7647
Architectural Preservation District Commission,3,2026-02-12,minutes,7647,architectural-preservation-district-commission/2026-02-12-minutes-7647.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02122026-7647
Architectural Preservation District Commission,3,2026-03-12,agenda,7709,architectural-preservation-district-commission/2026-03-12-agenda-7709.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03122026-7709
Architectural Preservation District Commission,3,2026-03-12,minutes,7709,architectural-preservation-district-commission/2026-03-12-minutes-7709.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03122026-7709
Architectural Preservation District Commission,3,2026-06-11,agenda,7848,architectural-preservation-district-commission/2026-06-11-agenda-7848.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06112026-7848
Board of Assessors,4,2026-01-07,agenda,7580,board-of-assessors/2026-01-07-agenda-7580.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01072026-7580
Board of Assessors,4,2026-01-07,minutes,7580,board-of-assessors/2026-01-07-minutes-7580.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01072026-7580
Board of Assessors,4,2026-02-04,agenda,7628,board-of-assessors/2026-02-04-agenda-7628.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02042026-7628
Board of Assessors,4,2026-02-04,minutes,7628,board-of-assessors/2026-02-04-minutes-7628.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02042026-7628
Board of Assessors,4,2026-02-25,agenda,7665,board-of-assessors/2026-02-25-agenda-7665.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02252026-7665
Board of Assessors,4,2026-02-25,minutes,7665,board-of-assessors/2026-02-25-minutes-7665.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02252026-7665
Board of Assessors,4,2026-03-11,agenda,7703,board-of-assessors/2026-03-11-agenda-7703.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03112026-7703
