label,upstream,local,text,bytes,sha256,read
"DESE selected populations, state report, FY2019",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations-2019.html,,263674,2a1059f44ce6df174fe85aa2b22507d27d848c8bad47673e9c36cfd4468ab8ed,html
"DESE selected populations, state report, FY2020",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations-2020.html,,261918,c1b2f228241d639342f423c7e635aa3a8ff4098701ab95bbf4bedfeb1b8f365e,html
"DESE selected populations, state report, FY2021",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations-2021.html,,259955,376e151553f1b87de03738432e64c0536ea66fb048e8e17a84331fed8d859ea3,html
"DESE selected populations, state report, FY2022",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations-2022.html,,259993,3d1a9d6f9046fdc1eb75cd30260e6c7c9b05546239a6591765fc57cc54412e22,html
"DESE selected populations, state report, FY2023",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations-2023.html,,258741,0475c43f347fc09de24e5dd53ae7e581daaadf2b7ce285d46e31e7b21a5465a2,html
"DESE selected populations, state report, FY2024",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations-2024.html,,259338,24dcaa4983dcb6e350421040ae3d89e819325126ad6d6d67e5e750b5f5b2ed28,html
"DESE selected populations, state report, FY2025",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations-2025.html,,257427,66eb9c2210f6ef0d9ffbbc4e1e1dcfe9825327aaddd94d91ee151b18e5b2f7eb,html
"DESE selected populations, state report, FY2026",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations-2026.html,,256796,73e0a6e0020e4625bac285ba4ca0dbe800411a3b4906fbf4aac3e7df03404793,html
"Lunenburg selected populations, all years (CSV)",https://profiles.doe.mass.edu/statereport/selectedpopulations.aspx,sources/state-dese/selected-populations.csv,,775,edbd5770b0ef0ae86fabb1ea23f9b278e42cb03199ba809dfbddd0a18e6e40bb,csv
"DESE RADAR district comparison — spending by function, all funds, every district, FY2021-FY2025",https://www.doe.mass.edu/research/radar/district-comparison.xlsx,sources/state-dese/radar-district-comparison.xlsx,,1426264,0391c2d358c408c5c61e0dac257cabfca5ad67bfc2187196f80d5e0492a84e79,xlsx
"DESE school and district profiles — Lunenburg per pupil expenditures, all funds",https://profiles.doe.mass.edu/profiles/finance.aspx?orgcode=01620000&orgtypecode=5&dropDownOrgCode=2,sources/state-dese/lunenburg-finance-profile.html,,24962,f24a3c995576f43ce761e4722a1dabba3f285a319995348d21a2ce6dd4721acd,html
"DESE district expenditures by function code, SY2009-SY2025 — general fund and grants/revolving as separate columns, every Massachusetts district",https://educationtocareer.data.mass.gov/resource/cnfs-edqq.csv,sources/state-dese/district-expenditures-by-function.xlsx,,26156131,9e43789807b17ea6a1098273da8fb7fd8a28c20d4cd4733ba9e25fc69d4d4423,xlsx
"DESE district expenditures by spending category, SY2009-SY2025 — the RADAR measures for every district; supersedes the seven-district workbook",https://educationtocareer.data.mass.gov/resource/er3w-dyti.csv,sources/state-dese/district-expenditures-by-spending-category.xlsx,,5661905,653615f4b7d0a8302ce632fecc90ed43193fc37c835ea3023e14facd5d949877,xlsx
"DESE school expenditures by spending category, SY2009-SY2025 — per-school rather than per-district",https://educationtocareer.data.mass.gov/resource/i5up-aez6.csv,sources/state-dese/school-expenditures-by-spending-category.xlsx,,28945330,641d003ff40ebe95fa2bf5b6c179da9d22ff23ba809a25594f48b6985bcaa3bb,xlsx
Chapter 70 District Profile,https://educationtocareer.data.mass.gov/d/qt58-634r,sources/state-dese/dese-ch70-district-profile.xlsx,,3848346,a0dc63bc9d515b28614c0ac5a0de70402a3e8a22dab1a4333e516808ad62df61,xlsx
Chapter 70 Foundation Budget and Net School Spending,https://educationtocareer.data.mass.gov/d/5izv-jyrd,sources/state-dese/dese-ch70-foundation-nss.xlsx,,336495,2f581d1c6eda0e76fb8d84dd1181d674ae6e251a016feed8f4a2562b9e6088c4,xlsx
Chapter 70 Key Factors,https://www.doe.mass.edu/finance/chapter70/,sources/state-dese/dese-ch70-key-factors.xlsx,,4597493,9fdc7d0a6131c82a400509f336f2ac88539e05b2dde1b019232757e668bc2e6f,xlsx
Special Education Circuit Breaker Reimbursements,https://educationtocareer.data.mass.gov/d/ab34-d3ma,sources/state-dese/dese-circuit-breaker.xlsx,,459801,b710ba4f88fb70823ca6bfe5ee8e8c115a255ed4b95465d1eafb06b79e9600cb,xlsx
"Total Educators, Retention, and New Hires",https://educationtocareer.data.mass.gov/d/fz9c-2g33,sources/state-dese/dese-educators-retention.xlsx,,1633461,be8a87c9471e269743cda24d9d223b6f6110d22c343e0a12464f92d1476b5599,xlsx
"Enrollment: Grade, Race/Ethnicity, Gender, and Selected Populations",https://educationtocareer.data.mass.gov/d/t8td-gens,sources/state-dese/dese-enrollment-by-grade.xlsx,,13368300,a2fb23dea70ce67dc0aea46a5eb4856630b1655d2ddf470b96681cdc6a56543e,xlsx
Reasons for Student Enrollment by Town (Receiving),https://educationtocareer.data.mass.gov/d/8xyg-59b2,sources/state-dese/dese-enrollment-receiving.xlsx,,2269473,b23f4106f6c08bfe733b0c4e2c536fbf7ba4160d45861dcd19d0c38ef2bea29b,xlsx
Job Classification Codes (evaluation),https://www.doe.mass.edu/,sources/state-dese/dese-job-classification-codes.docx,,89562,d9ee60dd6f3072cd982a362c4b247f5bc92aafc58e626365510f26f96b3413ae,docx
Where Residents Go to School (Sending),https://educationtocareer.data.mass.gov/d/vxt3-k35x,sources/state-dese/dese-residents-sending.xlsx,,2529872,ef345000874dab5ae2634cf084b5e8708f73f9740ae7065bf1ebb00846eccfe9,xlsx
Special Education Indicators,https://educationtocareer.data.mass.gov/d/yamx-769q,sources/state-dese/dese-sped-indicators.xlsx,,12072013,41d517465d5923be28c6e153f17bd7f7795e2256f5f8db070b74ada3c638561a,xlsx
Students Moving In and Out of Special Education Services,https://educationtocareer.data.mass.gov/d/8aww-sugs,sources/state-dese/dese-sped-movement.xlsx,,1140538,2b5e67f3ba6b1cbde105170fc28a1edaae2d50f7a9e80f2adc4411f83f1510a5,xlsx
Special Education Placement Trajectory,https://educationtocareer.data.mass.gov/d/92x3-2qj9,sources/state-dese/dese-sped-placement-trajectory.xlsx,,780632,ff3e4c9e8dd8bb7db54c90ca3a89321f395e8696ad39260c01069cdacb6ff794,xlsx
Special Education Program Characteristics and Student Demographics,https://educationtocareer.data.mass.gov/d/n62c-bx65,sources/state-dese/dese-sped-program-characteristics.xlsx,,5447420,417435bddfcac3eb1f2f05ab9b3c39ef837a6f46594494036030df7dd377c971,xlsx
Elementary and Secondary Teacher Data,https://educationtocareer.data.mass.gov/d/4684-cw3t,sources/state-dese/dese-teacher-data.xlsx,,25969884,4fbe81d65aee0bff88504cfc21dc2140ef9bc4a073bb5bad6b167c738767e2ea,xlsx
Elementary and Secondary Teachers by Grade and Subject,https://educationtocareer.data.mass.gov/d/77fu-a6h8,sources/state-dese/dese-teachers-by-grade-subject.xlsx,,136220984,76a5498ba1b5d7763f803135885daf65be3b12d4c519e167b935dccdc88c2d13,xlsx
Elementary and Secondary Teachers by Program Area,https://educationtocareer.data.mass.gov/d/vd2f-ib9q,sources/state-dese/dese-teachers-by-program-area.xlsx,,3327582,9fa88b8e1906ea0945cd6658a79e1f0c25420d25f72f481fafd2890b51f4aa79,xlsx
EPIMS Data Handbook,https://www.doe.mass.edu/,sources/state-dese/epims-datahandbook.docx,,166851,5509621edcd551e036a99021a54e20102ba13a2f373dccb93f2efdccea066ad8,docx
SIMS Data Handbook (current),https://www.doe.mass.edu/,sources/state-dese/sims-datahandbook-current.docx,,208588,c73f309549e13b0c07cc59c30b0e60b6f37a0efd1749b309b44132ec00071ec2,docx
