local,url,title,note
state-dls/AvgSingleFamTaxBill.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=AverageSingleTaxBill.SingleFamTaxBill_wRange&rdReportFormat=NativeExcel&rdExportTableID=tblSinglefamtaxbill&rdExportFilename=AvgSingleFamTaxBill&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Average Single-Family Tax Bill, Lunenburg, Ashby, Ayer, Groton, Littleton, Shirley, Townsend, Westford, Leominster, Fitchburg, Lancaster, Harvard, FY1988–FY2027",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_tax_bills.py)
state-dls/OverrideUnderrideVotes.xlsx,,"Override and Underride Votes, all municipalities, FY1990–FY2029","Division of Local Services Gateway report, exported by the publisher’s own name; obtained from TJ 25 September 2026. NO export address recorded — the report is not linked from the Gateway front page. Ask DLS for ""Override and Underride Votes""."
state-dls/AvgSingleFamTaxBill-2026-09-26.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=AverageSingleTaxBill.SingleFamTaxBill_wRange&rdReportFormat=NativeExcel&rdExportTableID=tblSinglefamtaxbill&rdExportFilename=AvgSingleFamTaxBill&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Average Single-Family Tax Bill, Lunenburg, Ashby, Ayer, Groton, Littleton, Shirley, Townsend, Westford, Leominster, Fitchburg, Lancaster, Harvard, Gardner, Pepperell, Bolton, Stow, FY1988–FY2027",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_tax_bills.py)
state-dls/AvgSingleFamTaxBill-2026-09-26-88f9a5895aea.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=AverageSingleTaxBill.SingleFamTaxBill_wRange&rdReportFormat=NativeExcel&rdExportTableID=tblSinglefamtaxbill&rdExportFilename=AvgSingleFamTaxBill&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Average Single-Family Tax Bill, Lunenburg, Ashby, Ayer, Groton, Littleton, Shirley, Townsend, Westford, Leominster, Fitchburg, Lancaster, Harvard, Gardner, Pepperell, Bolton, Stow, FY1988–FY2027",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_tax_bills.py)
state-dls/assessedvalues.xlsx,https://dlsgateway.dor.state.ma.us/reports/rdPage.aspx?rdReport=PropertyTaxInformation.AssessedValuesbyClass.assessedvaluesbyclass&rdReportFormat=NativeExcel&rdExportTableID=tblassessedvalues&rdExportFilename=assessedvalues&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Assessed Values by Class, Lunenburg, Ashby, Ayer, Groton, Littleton, Shirley, Townsend, Westford, Leominster, Fitchburg, Lancaster, Harvard, Gardner, Pepperell, Bolton, Stow, FY2002–FY2027",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_property.py)
state-dls/health-insurance-expenditures.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=ScheduleA.HealthInsurance.HealthInsExpenditures&rdReportFormat=NativeExcel&rdExportTableID=ctHealthExp&rdExportFilename=health_insurance&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Health insurance expenditures, every municipality, FY2002–FY2026",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_property.py)
state-dls/health-self-insured-funds.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=ScheduleA.HealthInsurance.Self_InsuredFunds&rdReportFormat=NativeExcel&rdExportTableID=TblPt6_HealthFund&rdExportFilename=self_insured&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Self-insured health trust funds, every municipality, FY2003–FY2026",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_property.py)
state-dls/new_growth.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=NewGrowth.NewGrowth_dash_v2_test&rdReportFormat=NativeExcel&rdExportTableID=tblNewGrowth&rdExportFilename=new_growth&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"New Growth, residential and total, Lunenburg, Ashby, Ayer, Groton, Littleton, Shirley, Townsend, Westford, Leominster, Fitchburg, Lancaster, Harvard, Gardner, Pepperell, Bolton, Stow, FY2003–FY2027",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_property.py)
state-dls/assessedvalues-2026-09-26-272171893ca3.xlsx,https://dlsgateway.dor.state.ma.us/reports/rdPage.aspx?rdReport=PropertyTaxInformation.AssessedValuesbyClass.assessedvaluesbyclass&rdReportFormat=NativeExcel&rdExportTableID=tblassessedvalues&rdExportFilename=assessedvalues&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Assessed Values by Class, every municipality, FY2002–FY2027",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_property.py)
state-dls/health-insurance-expenditures-2026-09-26-92a72d5d93a4.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=ScheduleA.HealthInsurance.HealthInsExpenditures&rdReportFormat=NativeExcel&rdExportTableID=ctHealthExp&rdExportFilename=health_insurance&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Health insurance expenditures, every municipality, FY2002–FY2026",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_property.py)
state-dls/health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=ScheduleA.HealthInsurance.Self_InsuredFunds&rdReportFormat=NativeExcel&rdExportTableID=TblPt6_HealthFund&rdExportFilename=self_insured&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Self-insured health trust funds, every municipality, FY2003–FY2026",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_property.py)
state-dls/new_growth-2026-09-26-3b8980b0efc3.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=NewGrowth.NewGrowth_dash_v2_test&rdReportFormat=NativeExcel&rdExportTableID=tblNewGrowth&rdExportFilename=new_growth&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"New Growth, residential and total, every municipality, FY2003–FY2027",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_property.py)
state-dls/AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=AverageSingleTaxBill.SingleFamTaxBill_wRange&rdReportFormat=NativeExcel&rdExportTableID=tblSinglefamtaxbill&rdExportFilename=AvgSingleFamTaxBill&rdShowGridlines=True&rdExcelOutputFormat=Excel2007,"Average Single-Family Tax Bill, every municipality, FY1988–FY2027",DLS Gateway export (POST of the report form with these towns and years; see fetch_dls_tax_bills.py)
