label,upstream,local,text,bytes,sha256,read
FY 2011 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4117 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/121,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,sources/town-annual-reports/text/4117-fy-2011-annual-town-report.txt,31626604,551f9edd75d051ae4d863a5d5c13925c0b9a2f93459e63268c507c5226398b81,had it
FY 2012 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4118 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/124,sources/town-annual-reports/docs/4118-fy-2012-annual-town-report.pdf,sources/town-annual-reports/text/4118-fy-2012-annual-town-report.txt,56577710,75d645ee7055f68c6a7adc0d32f534f49a1fd2a81a421d79536b14e683d25f6a,had it
FY 2013 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4119 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/125,sources/town-annual-reports/docs/4119-fy-2013-annual-town-report.pdf,sources/town-annual-reports/text/4119-fy-2013-annual-town-report.txt,37839397,00670845b7d322166015c1b6ce4d3cef6ac2007d1085f326c44ebc9ac6d418bd,had it
FY 2014 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4120 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/126,sources/town-annual-reports/docs/4120-fy-2014-annual-town-report.pdf,sources/town-annual-reports/text/4120-fy-2014-annual-town-report.txt,5718041,f5ef6e9aec7866f7a32d140b047e5604ccf417e2e44c93fc25eb6540ecf1641a,had it
FY 2015 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4121 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/127,sources/town-annual-reports/docs/4121-fy-2015-annual-town-report.pdf,sources/town-annual-reports/text/4121-fy-2015-annual-town-report.txt,7590404,712afbb458b2a452a1c4b3ce618478c8f59a31d7f046d349d5307f97fb8bef69,had it
"FY 2016 Annual Town Report, Addendum",https://www.lunenburgma.gov/DocumentCenter/View/4122,sources/town-annual-reports/docs/4122-fy-2016-annual-town-report-addendum.pdf,sources/town-annual-reports/text/4122-fy-2016-annual-town-report-addendum.txt,2201189,b354a3941e2451f71ccaa1278156189ba3e0b5d68dd1391044368ab34d0e4d0d,had it
FY 2016 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4123 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/132,sources/town-annual-reports/docs/4123-fy-2016-annual-town-report.pdf,sources/town-annual-reports/text/4123-fy-2016-annual-town-report.txt,5456453,f13af7a7c78d4a14be7897a5a039b189197ea94b9aa752bf913aa2185bf77438,had it
FY 2017 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4124 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/128,sources/town-annual-reports/docs/4124-fy-2017-annual-town-report.pdf,sources/town-annual-reports/text/4124-fy-2017-annual-town-report.txt,37102314,4c6fbf70d0aff247bc2e18914ec1b0dcfddeeb33da85d5411dc44170eec61579,had it
FY 2018 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4125 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/129,sources/town-annual-reports/docs/4125-fy-2018-annual-town-report.pdf,sources/town-annual-reports/text/4125-fy-2018-annual-town-report.txt,8052398,364a1138df754668ee59a499cf3d76b6ac006d47a4ae7d273b7ff9bbfea18409,had it
FY 2019 Annual Town Report,https://www.lunenburgma.gov/DocumentCenter/View/4126 https://www.lunenburgma.gov/ArchiveCenter/ViewFile/Item/130,sources/town-annual-reports/docs/4126-fy-2019-annual-town-report.pdf,sources/town-annual-reports/text/4126-fy-2019-annual-town-report.txt,9333883,220f1c778148feb90489cf65c6615569db118f8a4eade1e72a40574058e89582,had it
