label,upstream,local,text,bytes,sha256,read
FY 2023 Budget Narrative (PDF),https://www.lunenburgma.gov/DocumentCenter/View/373,sources/town-budget/docs/373-fy-2023-budget-narrative-pdf.pdf,sources/town-budget/text/373-fy-2023-budget-narrative-pdf.txt,1366967,1b7ff8a287c89ca3f62d3d3d15ecfa12005e044b6e97e4b28f0ecb79f48efd45,pdf text layer
FY 2023 Budget Presentation (PDF),https://www.lunenburgma.gov/DocumentCenter/View/374,sources/town-budget/docs/374-fy-2023-budget-presentation-pdf.pdf,sources/town-budget/text/374-fy-2023-budget-presentation-pdf.txt,2389445,51c2f3e17825ea05d7f6739849a8209c41de4646a71613447afd3ad7d3040952,pdf text layer
Town Revenue &amp; Proposition 2.5 Presentation,https://www.lunenburgma.gov/DocumentCenter/View/1591,sources/town-budget/docs/1591-town-revenue-amp-proposition-2-5-presentation.pdf,sources/town-budget/text/1591-town-revenue-amp-proposition-2-5-presentation.txt,254971,0c4fa469ec8e8e0b7c4686e182732fe4e912a7280579f5b269cfba4a6a3acee3,pdf text layer
FY24 Police Budget Attachment A- 10 Year Additional Officer Plan,https://www.lunenburgma.gov/DocumentCenter/View/1777,sources/town-budget/docs/1777-fy24-police-budget-attachment-a-10-year-additional-officer-plan.pdf,sources/town-budget/text/1777-fy24-police-budget-attachment-a-10-year-additional-officer-plan.txt,113299,d8571227a19cf912f6c69ff5bf11fcb55c6f37ad14cd7980cbd5f213b6dd9b25,pdf text layer
FY24 Police Budget Attachment B- Budget Line Items,https://www.lunenburgma.gov/DocumentCenter/View/1778,sources/town-budget/docs/1778-fy24-police-budget-attachment-b-budget-line-items.pdf,sources/town-budget/text/1778-fy24-police-budget-attachment-b-budget-line-items.txt,126194,3bfb76836f24f7271e14a1646adec3db4bae08168aaefcae12558696ad2a8483,pdf text layer
FY24 Police Budget Attachment C- Overtime Calculations,https://www.lunenburgma.gov/DocumentCenter/View/1779,sources/town-budget/docs/1779-fy24-police-budget-attachment-c-overtime-calculations.pdf,sources/town-budget/text/1779-fy24-police-budget-attachment-c-overtime-calculations.txt,122804,4770d6dcfec4ea3aa8723090a953f82d8c9193b7d0c0533d051e5122594f4d2c,pdf text layer
FY24 Police Budget Narrative,https://www.lunenburgma.gov/DocumentCenter/View/1780,sources/town-budget/docs/1780-fy24-police-budget-narrative.pdf,sources/town-budget/text/1780-fy24-police-budget-narrative.txt,576728,79222cd8ceaccb7fae6485e6f691a149b2a5aaf60d46312b7964d497c05aec5c,pdf text layer
FY24 Police Budget Presentation,https://www.lunenburgma.gov/DocumentCenter/View/1781,sources/town-budget/docs/1781-fy24-police-budget-presentation.pdf,sources/town-budget/text/1781-fy24-police-budget-presentation.txt,1694617,1dbe49a7f380b59e7108e6242aa7a5658751728574b9c9d66fc6690e5fa3d00a,pdf text layer
FY25 Police Budget Table of Contents,https://www.lunenburgma.gov/DocumentCenter/View/1782,sources/town-budget/docs/1782-fy25-police-budget-table-of-contents.pdf,sources/town-budget/text/1782-fy25-police-budget-table-of-contents.txt,180599,ed3be8ea3ccee83a53ec59e083ad1c9bfefa9b7e613da280ac59f8bf62cc5c41,pdf text layer
I. FY25 Police Budget Narrative,https://www.lunenburgma.gov/DocumentCenter/View/1783,sources/town-budget/docs/1783-i-fy25-police-budget-narrative.pdf,sources/town-budget/text/1783-i-fy25-police-budget-narrative.txt,1692405,b082c27b47e6b4ecf20abe4cf2b411866222a06f66f541a91e38d34e2b100cf4,pdf text layer
II. Attachment A - Police Budget As Expended FY15-FY23,https://www.lunenburgma.gov/DocumentCenter/View/1784,sources/town-budget/docs/1784-ii-attachment-a-police-budget-as-expended-fy15-fy23.pdf,sources/town-budget/text/1784-ii-attachment-a-police-budget-as-expended-fy15-fy23.txt,802875,8ce38e69998a1b2d722e5ede892668159f89d12257740da2d22d75a3dfd0d6bf,pdf text layer
III. Attachment B - FY25 10-Year Hiring Plan,https://www.lunenburgma.gov/DocumentCenter/View/1785,sources/town-budget/docs/1785-iii-attachment-b-fy25-10-year-hiring-plan.pdf,sources/town-budget/text/1785-iii-attachment-b-fy25-10-year-hiring-plan.txt,355917,988702b21df5304390282c893d46454a031f3cdf22e4d051c33da81d252084db,pdf text layer
IV. Attachment C - FY25 Police Preliminary Budget,https://www.lunenburgma.gov/DocumentCenter/View/1786,sources/town-budget/docs/1786-iv-attachment-c-fy25-police-preliminary-budget.pdf,sources/town-budget/text/1786-iv-attachment-c-fy25-police-preliminary-budget.txt,800513,9a220923d2c6ba80f31f9a530ea8cad353c02b872f621fe0c449b5dcb42deef2,pdf text layer
V. Attachment D - FY25 Overtime Costing Out Model,https://www.lunenburgma.gov/DocumentCenter/View/1787,sources/town-budget/docs/1787-v-attachment-d-fy25-overtime-costing-out-model.pdf,sources/town-budget/text/1787-v-attachment-d-fy25-overtime-costing-out-model.txt,861279,473c253daecf5c22bfa43c083cb1e6627ca190707c46df84f0d180e0602c054f,pdf text layer
VII. FY25 Police Budget Presentation,https://www.lunenburgma.gov/DocumentCenter/View/1788,sources/town-budget/docs/1788-vii-fy25-police-budget-presentation.pdf,sources/town-budget/text/1788-vii-fy25-police-budget-presentation.txt,11041935,74bcfcf58360b092514665c2f011ad92039180a4c0c1926728bb24b0ca40057c,pdf text layer
FY24 Year End Report,https://www.lunenburgma.gov/DocumentCenter/View/2419,sources/town-budget/docs/2419-fy24-year-end-report.pdf,sources/town-budget/text/2419-fy24-year-end-report.txt,5464669,6577e4bb128cf2facac5ff17f60d258c763d65e5ae0e97223f603b5951300632,pdf text layer
FY23 Lunenburg Financial Statements,https://www.lunenburgma.gov/DocumentCenter/View/2420,sources/town-budget/docs/2420-fy23-lunenburg-financial-statements.pdf,sources/town-budget/text/2420-fy23-lunenburg-financial-statements.txt,614751,e95f1264da8804f445e6ebeec503731c6ef0acb9f6513131164a9702bfd1da32,pdf text layer
FY26 Select Board and Town Manager Goals (PDF),https://www.lunenburgma.gov/DocumentCenter/View/2862,sources/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,sources/town-budget/text/2862-fy26-select-board-and-town-manager-goals-pdf.txt,214803,0548a54fb8b912334de6de36d6f1dc0c0401f87ffae7ab8ad01cc8eaece2fba1,pdf text layer
FY24 State Budget Municipal Investments by KP Law(PDF),https://www.lunenburgma.gov/DocumentCenter/View/3003,sources/town-budget/docs/3003-fy24-state-budget-municipal-investments-by-kp-law-pdf.pdf,sources/town-budget/text/3003-fy24-state-budget-municipal-investments-by-kp-law-pdf.txt,342387,b71581ae327d97f782af54ce55c9e7ffae1eb7b05c4b8e20445aaeaeaa1343c5,pdf text layer
Lunenburg Proposed Roadway Capital Improvement Plan List (PDF),https://www.lunenburgma.gov/DocumentCenter/View/3378,sources/town-budget/docs/3378-lunenburg-proposed-roadway-capital-improvement-plan-list-pdf.pdf,sources/town-budget/text/3378-lunenburg-proposed-roadway-capital-improvement-plan-list-pdf.txt,104466,0ec7e814d00d0345f2bdaff2c33a0e83b89758ae4cf112e07814c7dcb15fe19f,pdf text layer
FY27 Facilities and Parks Budget Presentation (PDF),https://www.lunenburgma.gov/DocumentCenter/View/3580,sources/town-budget/docs/3580-fy27-facilities-and-parks-budget-presentation-pdf.pdf,sources/town-budget/text/3580-fy27-facilities-and-parks-budget-presentation-pdf.txt,1582323,99455680a916cbd8f063b4b4999a0ca28a09d5afe436857a866bca59fabe9734,pdf text layer
FY27 Fire Department Budget Presentation (PDF),https://www.lunenburgma.gov/DocumentCenter/View/3581,sources/town-budget/docs/3581-fy27-fire-department-budget-presentation-pdf.pdf,sources/town-budget/text/3581-fy27-fire-department-budget-presentation-pdf.txt,1919711,ef39b7a63903ceaf75565ef65a59fc3e9cab86dfe5871c7fa9ab8b3f55e599e5,pdf text layer
FY27 IT Budget Presentation (PDF),https://www.lunenburgma.gov/DocumentCenter/View/3582,sources/town-budget/docs/3582-fy27-it-budget-presentation-pdf.pdf,sources/town-budget/text/3582-fy27-it-budget-presentation-pdf.txt,813847,cb9cd924f2e1f69d988bdaf9c8ea3dc49c33a4c2fa80ddb667aa63ae299a88b6,pdf text layer
FY27 Monty Tech Budget Presentation (PDF),https://www.lunenburgma.gov/DocumentCenter/View/3583,sources/town-budget/docs/3583-fy27-monty-tech-budget-presentation-pdf.pdf,sources/town-budget/text/3583-fy27-monty-tech-budget-presentation-pdf.txt,4906445,edc51fdd8b8a54d4adccacdcff1099ed40b2a3a905dc6dd4fe5f601517c5097a,pdf text layer
FY27 Police Department Budget Presentation (PDF),https://www.lunenburgma.gov/DocumentCenter/View/3584,sources/town-budget/docs/3584-fy27-police-department-budget-presentation-pdf.pdf,sources/town-budget/text/3584-fy27-police-department-budget-presentation-pdf.txt,784388,a27f01a2733c120b496b3e9de66c7c97ab29e89a2ea53c5008d3a16aa3e0fb01,pdf text layer
FY27 Preliminary Budget Presentation (PDF),https://www.lunenburgma.gov/DocumentCenter/View/3585,sources/town-budget/docs/3585-fy27-preliminary-budget-presentation-pdf.pdf,sources/town-budget/text/3585-fy27-preliminary-budget-presentation-pdf.txt,2304612,017d828cad33e4189363a6066fbb734486f788a1f4b7dd62c71e457568d343e0,pdf text layer
FY27 School Department Budget Presentation (PDF),https://www.lunenburgma.gov/DocumentCenter/View/3586,sources/town-budget/docs/3586-fy27-school-department-budget-presentation-pdf.pdf,sources/town-budget/text/3586-fy27-school-department-budget-presentation-pdf.txt,3444455,f3d8fc19c7e2ee037111b7a953c53706acdbaef2f07c7727721c78f063aa3e94,pdf text layer
