label,upstream,local,text,bytes,sha256,read
W-4 Federal Tax Form (PDF),https://www.lunenburgma.gov/DocumentCenter/View/182,sources/town-supplementary/docs/182-w-4-federal-tax-form-pdf.pdf,sources/town-supplementary/text/182-w-4-federal-tax-form-pdf.txt,118030,d4d86f302283457f4216f0de2630cae503f611a2fdc70b980f394eccf878a6df,pdf text layer
Conflict of Interest/Financial Disclosure (PDF),https://www.lunenburgma.gov/DocumentCenter/View/187,sources/town-supplementary/docs/187-conflict-of-interest-financial-disclosure-pdf.pdf,sources/town-supplementary/text/187-conflict-of-interest-financial-disclosure-pdf.txt,73329,94ca290e686a2a668ddc81a6fc2a38ec45e37a500a830ca4e77e0f0d96f84acf,ocr
Bencor Financial Wellness (PDF),https://www.lunenburgma.gov/DocumentCenter/View/344,sources/town-supplementary/docs/344-bencor-financial-wellness-pdf.pdf,sources/town-supplementary/text/344-bencor-financial-wellness-pdf.txt,291447,1fbe779c8d7f8553cd067171d5990f70d3d3e9804078075061b2f35a9db8b90c,pdf text layer
1.40 School Resource Officer (PDF),https://www.lunenburgma.gov/DocumentCenter/View/394,sources/town-supplementary/docs/394-1-40-school-resource-officer-pdf.pdf,sources/town-supplementary/text/394-1-40-school-resource-officer-pdf.txt,615158,182c3f45f7bb3c46a4d8828cfcc53c7b2d1550c023909ded15bf3ee064264ec1,pdf text layer
4.38 Reserve Officer Hiring Process (PDF),https://www.lunenburgma.gov/DocumentCenter/View/442,sources/town-supplementary/docs/442-4-38-reserve-officer-hiring-process-pdf.pdf,sources/town-supplementary/text/442-4-38-reserve-officer-hiring-process-pdf.txt,673303,a40d2f2f55da5c544c711d61c3caff23c75324d708dbaef573d830d70cbe6638,pdf text layer
4.39 Reserve Officer Program (PDF),https://www.lunenburgma.gov/DocumentCenter/View/443,sources/town-supplementary/docs/443-4-39-reserve-officer-program-pdf.pdf,sources/town-supplementary/text/443-4-39-reserve-officer-program-pdf.txt,882297,e57afbba2f37d1122f7ca99852ee90df3b0f34e4122c81c1d1fd39850e1de0ad,pdf text layer
Senior Citizen Property Tax Work Off Program Application Form (PDF),https://www.lunenburgma.gov/DocumentCenter/View/493,sources/town-supplementary/docs/493-senior-citizen-property-tax-work-off-program-application-form-pdf.pdf,sources/town-supplementary/text/493-senior-citizen-property-tax-work-off-program-application-form-pdf.txt,415235,cd5f3c38e6263ffaf97451f2678bfe65a1eb065f23ec96ae9a2ddcbbef30fc8b,pdf text layer
Senior Tax Work Off Program Brochure (PDF),https://www.lunenburgma.gov/DocumentCenter/View/494,sources/town-supplementary/docs/494-senior-tax-work-off-program-brochure-pdf.pdf,sources/town-supplementary/text/494-senior-tax-work-off-program-brochure-pdf.txt,438875,4e4dd109c5b4b7bc654af809ea0ffbf10c19492294b3ddb4a6b6af65b0a2b88a,pdf text layer
Real Estate & Personal Property Tax Actual Billing (PDF),https://www.lunenburgma.gov/DocumentCenter/View/783,sources/town-supplementary/docs/783-real-estate-personal-property-tax-actual-billing-pdf.pdf,sources/town-supplementary/text/783-real-estate-personal-property-tax-actual-billing-pdf.txt,251750,98d28dd2f906e41198a1291e64da8a1c88a3660e4d5c628af5d8d51dff5ae118,pdf text layer
Real Estate Tax Preliminary Billing (PFD),https://www.lunenburgma.gov/DocumentCenter/View/784,sources/town-supplementary/docs/784-real-estate-tax-preliminary-billing-pfd.pdf,sources/town-supplementary/text/784-real-estate-tax-preliminary-billing-pfd.txt,253051,f06a5ac41c6c2baf87195b325c43353b6c1c85c4ddc8375cec3eb91e7c0759af,pdf text layer
Motor Vehicle Excise Tax (PDF),https://www.lunenburgma.gov/DocumentCenter/View/785,sources/town-supplementary/docs/785-motor-vehicle-excise-tax-pdf.pdf,sources/town-supplementary/text/785-motor-vehicle-excise-tax-pdf.txt,253763,feb18a7bb20628ec1a3354ae2c36e9bd1e6bdb43a960bfcdc1b327f2c274a224,pdf text layer
Tax Lien Sale Auction Notice (PDF),https://www.lunenburgma.gov/DocumentCenter/View/786,sources/town-supplementary/docs/786-tax-lien-sale-auction-notice-pdf.pdf,sources/town-supplementary/text/786-tax-lien-sale-auction-notice-pdf.txt,567326,ca437e185bf0a92bf294387a0f9d6a72a89285f9cbf1d8abd1ce0ad0cd823c92,pdf text layer
"March 17, 2022 Tax Lien Sale Auction Registration Form (PDF)",https://www.lunenburgma.gov/DocumentCenter/View/787,sources/town-supplementary/docs/787-march-17-2022-tax-lien-sale-auction-registration-form-pdf.pdf,sources/town-supplementary/text/787-march-17-2022-tax-lien-sale-auction-registration-form-pdf.txt,142429,2c9bc97b41e3ddfd7fa32f3a36430b2a79303bdddb368caecc8c9d1c24a3dd72,pdf text layer
FY25 Snow and Ice Vendor Agreement,https://www.lunenburgma.gov/DocumentCenter/View/1352,sources/town-supplementary/docs/1352-fy25-snow-and-ice-vendor-agreement.pdf,sources/town-supplementary/text/1352-fy25-snow-and-ice-vendor-agreement.txt,1269236,8e2674a0cc11289356dcc3af70a699861719f6cd17ea2a49b459a864aedd0dfd,pdf text layer
Senior Tax Work Off- Record Hours,https://www.lunenburgma.gov/DocumentCenter/View/1416,sources/town-supplementary/docs/1416-senior-tax-work-off-record-hours.pdf,sources/town-supplementary/text/1416-senior-tax-work-off-record-hours.txt,250144,d23a3399e14c1148d39f029837a14a5e6d3377f337db3c95d5784749f9942baa,pdf text layer
