dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
debt,2011,FY2011,75,,,,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,10550000.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Other Building,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,8.00,,,,,,,1,yes,0,,,no check,no total printed
debt,2011,FY2011,75,,,Streets Sidewalks & Parking,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,6300114.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,75000.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Departmental Equipment,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,0.00,,,,,,,1,yes,0,,,no check,no total printed
debt,2011,FY2011,75,,,Athletic & Recreational Facilities,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,376560.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Total Within the General Debt Limit,,subtotal,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,305771.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,26.29,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Water,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,2345000.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,0.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,493770.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Total Long-Term Indebtedness,,subtotal,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,2838770.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,"$27,097.992   D29.122,015 $22,490,706     $28,121,418",,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",,29127892.00,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Sewer Construction,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",284264.00,,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Sewer Construction,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",28708.00,,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Building Renovations,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",125000.00,,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,School Heating System,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",56550.00,,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,Water & Wastewater Rural Dev. (Meadow Woods),,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",833370.13,,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,,,subtotal,"subtotal: equals the 5 rows above it, in 1 of its columns (v1)",,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",1327892.13,,,,,,,,1,,0,,,no check,no total printed
debt,2011,FY2011,75,,,,,row,,,,,"8,440,000 9,034,000 9,490,000 10,020,000 10,550,000 | Other Building 4,740,000 5,120,000 5,500,000 5,914,988 | Streets Sidewalks & Parking 6,300,114 | 10,000 25,000 40,000 55,000 75,000 | Departmental",0.00,,,,,,,,1,,0,,,no check,no total printed
debt,2017,FY2017,41,,,INTERES I,,row,,,,,EISCAL YEAR 2012 2020 2021 2022 2023 4U24 2UC5 2U26 2027 2028 | MASS WATER POOL 4* | PRINCIPAL | INTERES I $272 | TOTAL MASS WATER POLL TRUST | MASS WATER POOL 5* | PRINCIPAL | INTEREST $688,272.00,,,,,,,,1,,0,,,no check,no total printed
debt,2017,FY2017,41,,,INTEREST,,row,,,,,EISCAL YEAR 2012 2020 2021 2022 2023 4U24 2UC5 2U26 2027 2028 | MASS WATER POOL 4* | PRINCIPAL | INTERES I $272 | TOTAL MASS WATER POLL TRUST | MASS WATER POOL 5* | PRINCIPAL | INTEREST $688,688.00,,,,,,,,1,,0,,,no check,no total printed
debt,2017,FY2017,41,,,INTEREST,,row,,,,,EISCAL YEAR 2012 2020 2021 2022 2023 4U24 2UC5 2U26 2027 2028 | MASS WATER POOL 4* | PRINCIPAL | INTERES I $272 | TOTAL MASS WATER POLL TRUST | MASS WATER POOL 5* | PRINCIPAL | INTEREST $688,598.00,,,,,,,,1,,0,,,no check,no total printed
debt,2017,FY2017,41,,,PRINCIPAL,,row,,,,,EISCAL YEAR 2012 2020 2021 2022 2023 4U24 2UC5 2U26 2027 2028 | MASS WATER POOL 4* | PRINCIPAL | INTERES I $272 | TOTAL MASS WATER POLL TRUST | MASS WATER POOL 5* | PRINCIPAL | INTEREST $688,280.00,,,,,,,,1,,0,,,no check,no total printed
debt,2017,FY2017,41,,,INIEKESI,,row,,,,,EISCAL YEAR 2012 2020 2021 2022 2023 4U24 2UC5 2U26 2027 2028 | MASS WATER POOL 4* | PRINCIPAL | INTERES I $272 | TOTAL MASS WATER POLL TRUST | MASS WATER POOL 5* | PRINCIPAL | INTEREST $688,119913.00,,,,,,,,1,,0,,,no check,no total printed
debt,2019,FY2019,50,,,TOWN OF LUNEN,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2019 | EISCALYEAR 2020 2021 2022 2023 2024 2025 2026 2021 2028 2029 2030 2031 2032 | $30,000 $30,000 $35,00D $35,000 $40,000 $40,000 $40,000 $4",,,,,,,9.00,,1,yes,0,"30, 201",,no check,no total printed
debt,2019,FY2019,50,,,EISCALYEAR                            2020,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2019 | EISCALYEAR 2020 2021 2022 2023 2024 2025 2026 2021 2028 2029 2030 2031 2032 | $30,000 $30,000 $35,00D $35,000 $40,000 $40,000 $40,000 $4",2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2021.00,2028.00,12,,0,,,no check,no total printed
debt,2019,FY2019,50,,,"$35,00D",,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2019 | EISCALYEAR 2020 2021 2022 2023 2024 2025 2026 2021 2028 2029 2030 2031 2032 | $30,000 $30,000 $35,00D $35,000 $40,000 $40,000 $40,000 $4",30000.00,30000.00,,35000.00,40000.00,40000.00,40000.00,45000.00,11,,0,"$35,00D",,no check,no total printed
debt,2019,FY2019,50,,,"$4B,625",,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2019 | EISCALYEAR 2020 2021 2022 2023 2024 2025 2026 2021 2028 2029 2030 2031 2032 | $30,000 $30,000 $35,00D $35,000 $40,000 $40,000 $40,000 $4",53375.00,551875.00,50375.00,,46875.00,44875.00,42875.00,41275.00,11,,0,"$4B,625",,no check,no total printed
debt,2019,FY2019,50,,,"$B4,475",,subtotal,"subtotal: equals the 2 rows above it, in 2 of its columns",,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2019 | EISCALYEAR 2020 2021 2022 2023 2024 2025 2026 2021 2028 2029 2030 2031 2032 | $30,000 $30,000 $35,00D $35,000 $40,000 $40,000 $40,000 $4",83375.00,81875.00,585375.00,83625.00,86875.00,84.88,582875.00,96275.00,11,,0,"$B4,475",,no check,no total printed
debt,2019,FY2019,50,,,,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2019 | EISCALYEAR 2020 2021 2022 2023 2024 2025 2026 2021 2028 2029 2030 2031 2032 | $30,000 $30,000 $35,00D $35,000 $40,000 $40,000 $40,000 $4",20000.00,20000.00,25000.00,25000.00,,,30000.00,30000.00,10,,0,,,no check,no total printed
debt,2019,FY2019,50,,,INTEREST,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2019 | EISCALYEAR 2020 2021 2022 2023 2024 2025 2026 2021 2028 2029 2030 2031 2032 | $30,000 $30,000 $35,00D $35,000 $40,000 $40,000 $40,000 $4",35838.00,34.94,33938.00,32588.00,,,28838.00,27638.00,10,,0,,,no check,no total printed
debt,2019,FY2019,50,,,TOTAL MEADOW WOODS-WATER GENERAL OBLI,,subtotal,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2019 | EISCALYEAR 2020 2021 2022 2023 2024 2025 2026 2021 2028 2029 2030 2031 2032 | $30,000 $30,000 $35,00D $35,000 $40,000 $40,000 $40,000 $4",55838.00,854838.00,58838.00,57588.00,,,58.84,57638.00,10,,0,,,no check,no total printed
debt,2020,FY2020,45,,,TOWN OF LUNENBURG D,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2020 | EISCAL YEAR 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 204Z TOTAL | MASS WATEK FOOL * | PRINCIPAL $0 | INTEREST $0 | ADMIN FEE $0",,2020.00,,,,,,,1,yes,0,,,no check,no total printed
debt,2020,FY2020,45,,,EISCAL YEAR,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2020 | EISCAL YEAR 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 204Z TOTAL | MASS WATEK FOOL * | PRINCIPAL $0 | INTEREST $0 | ADMIN FEE $0",2042.00,,,,,,,,1,,0,2043     2044      2045,,no check,no total printed
debt,2020,FY2020,45,,,PRINCIPAL,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2020 | EISCAL YEAR 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 204Z TOTAL | MASS WATEK FOOL * | PRINCIPAL $0 | INTEREST $0 | ADMIN FEE $0",,,0.00,,,,,,1,,0,,,no check,no total printed
debt,2020,FY2020,45,,,INTEREST,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2020 | EISCAL YEAR 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 204Z TOTAL | MASS WATEK FOOL * | PRINCIPAL $0 | INTEREST $0 | ADMIN FEE $0",,,0.00,,,,,,1,,0,,,no check,no total printed
debt,2020,FY2020,45,,,ADMIN FEE,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2020 | EISCAL YEAR 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 204Z TOTAL | MASS WATEK FOOL * | PRINCIPAL $0 | INTEREST $0 | ADMIN FEE $0",,,0.00,,,,,,1,,0,,,no check,no total printed
debt,2020,FY2020,45,,,PRINCIPAL,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2020 | EISCAL YEAR 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 204Z TOTAL | MASS WATEK FOOL * | PRINCIPAL $0 | INTEREST $0 | ADMIN FEE $0",,,0.00,,,,,,1,,0,,,no check,no total printed
debt,2020,FY2020,45,,,ADMIN FEE,,row,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2020 | EISCAL YEAR 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 204Z TOTAL | MASS WATEK FOOL * | PRINCIPAL $0 | INTEREST $0 | ADMIN FEE $0",,,0.00,,,,,,1,,0,,,no check,no total printed
debt,2020,FY2020,45,,,TOTAL MASS WATER POLL,,subtotal,,,,,"TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2020 | EISCAL YEAR 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 204Z TOTAL | MASS WATEK FOOL * | PRINCIPAL $0 | INTEREST $0 | ADMIN FEE $0",,,0.00,,,,,,1,,0,,,no check,no total printed
