dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
valuation,2011,FY2011,12,,,,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),2011.00,,3.33,,,,,,2,,0,"5,185          18,006,811.48",,no check,no total printed
valuation,2011,FY2011,12,,,,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),2010.00,,3.03,,,,,,2,,0,"5,028          17,427,296.54",,no check,no total printed
valuation,2011,FY2011,12,,,,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),2009.00,,4.57,,,,,,2,,0,"5,055          16,915,183.70",,no check,no total printed
valuation,2011,FY2011,12,,,,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),2008.00,,3.70,,,,,,2,,0,"5,003          16,176,276.60",,no check,no total printed
valuation,2011,FY2011,12,,,,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),2007.00,,1.06,,,,,,2,,0,"4,863          15,598,548.03",,no check,no total printed
valuation,2011,FY2011,12,,,,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),2006.00,,7.05,,,,,,2,,0,"4,805          15,766,349.03",,no check,no total printed
valuation,2011,FY2011,12,,,,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),2005.00,,4.10,,,,,,2,,0,"4,708          14,727,658.82",,no check,no total printed
valuation,2011,FY2011,12,,,,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),2004.00,,16.60,,,,,,2,,0,"4,653          14,147,393.26",,no check,no total printed
valuation,2011,FY2011,12,,,012 - 043 Mixed Use,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),,21080300.00,527007.00,,,,,,2,,0,,,no check,no total printed
valuation,2011,FY2011,12,,,101 Residential Single,,row,,,,,varatull allu ran motory | Fiscal Year Tax Rate Total Valuation Accounts Tax Levy Change(%),,859772100.00,251468.00,,,,,,2,,0,,,no check,no total printed
