dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
enrollment_mcas,2011,FY2011,32,,,,,row,,,,,"Learning is reflective, creative, ongoing and takes place in all environments. | A successful school actively engages students and staff. All students have talents and can excel. | Professional growth",29,,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2011,FY2011,48,1,,Students,,row,,,,,"Learning is reflective, creative, ongoing and takes place in all environments. | A successful school actively engages students and staff. All students have talents and can excel. | Professional growth",2009,2010,,,,,,,2,,0,,,no check,no total printed
enrollment_mcas,2011,FY2011,48,1,,Students           2009                      2011                 testeor,,row,,,,,"Learning is reflective, creative, ongoing and takes place in all environments. | A successful school actively engages students and staff. All students have talents and can excel. | Professional growth",318,,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2011,FY2011,48,1,,Students,,row,,,,,"Learning is reflective, creative, ongoing and takes place in all environments. | A successful school actively engages students and staff. All students have talents and can excel. | Professional growth",2009,2010,2011,,,,,,3,,0,,,no check,no total printed
enrollment_mcas,2011,FY2011,52,,,,,row,,,,,"Learning is reflective, creative, ongoing and takes place in all environments. | A successful school actively engages students and staff. All students have talents and can excel. | Professional growth",49,,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,17,,,Confirmed,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,,25,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,17,,,Giardia..,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,,2,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,17,,,Lyme Disease,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,,5,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,17,,Health Promotion,,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,14,,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,18,,Health Promotion,,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,15,,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,33,1,Health Promotion,"Enrollment: October 1, 2010 - October",,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,1,2012,,,,,,,2,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,33,1,Health Promotion,PK,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,43,41,,,,,,,2,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,33,1,Health Promotion,K,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,111,116,110,,,,,,3,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,33,1,Health Promotion,Ungraded,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,6,6,,,,,,,2,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,43,,Health Promotion,,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,40,,,,,,,,1,,0,,,no check,no total printed
enrollment_mcas,2012,FY2012,44,1,Health Promotion,English Language Ans,,row,,,,,Confirmed 25 | Communicable Disease Number of Cases | Campylbacter. ... 1 | Giardia.. 2 | ... Group B streptococcus... ..1 | Hepitits C. .4 | Influenza. .10 | Lyme Disease 5,2010,20111,2012,,,,,,3,,0,,,no check,no total printed
