dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
capital_projects,2011,FY2011,71,,,ENGINEER AND CONSTRUCT SEWERS,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,-744.00,1789.27,,,,,,2,yes,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,DEVELOPMENT OF CEMETERIES,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,3950.00,4541.01,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,DESIGN/CONSTRUCT PUBLIC SAFETY,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,,7112.98,,,,,,1,,1,,,no check,no total printed
capital_projects,2011,FY2011,71,,,ENGINEER AND CONSTRUCT SEWERS,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,82405.00,174671.53,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,SCHOOL FEASIBILITY STUDY,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,,7036.86,,,,,,1,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,MEADOW WOODS SEWERWATER,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,,456927.87,,,,,,1,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,COMPUTER REPLACEMENT PLAN - TECHNOLOGY DEPT.,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,5368.77,3.99,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,COMPUTER REPLACEMENT PLAN - TECHNOLOGY DEPT.,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,150.32,0.00,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,REMOVAL OF OIL TANK - SCHOOL DEPT.,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,,4875.00,,,,,,1,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,RESCUE/PUMPER - FIRE DEPT.,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,,16.99,,,,,,1,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,COMPUTER REPLACEMENT PLAN - TECHNOLOGY DEPT.,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,215.37,2622.69,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,WIRELESS COMPUTER SYSTEM,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,,388.38,,,,,,1,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,COPIER REPLACEMENT PLAN,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,3723.90,34.08,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,ARC VIEWICARTOGRAPHIC,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,8900.00,1000.00,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,WALKWAY REPAIRS - HIGH SCHOOL,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,15000.00,0.00,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,FY09 CAPITAL IMPROVEMENTS,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,,2291.50,,,,,,1,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,ONE AMBULANCE AND ASSOCIATED EQUIPMENT - FIRE,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,,103.90,,,,,,1,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,VAULT IMPROVEMENTS - TOWN CLERK,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,-5.00,5.00,,,,,,2,,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,POLICE CRUISERS - POLICE DEPT.,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,-590.80,,,,,,,1,yes,0,,,no check,no total printed
capital_projects,2011,FY2011,71,,,PORTABLE RADIOS/PAGERS - FIRE DEPT.,,row,,,,,CAPITAL PROJECT FUNDS FY 2011 | APPROPRIATED EXPENDED/ENCUMBERED/ | PURPOSE FORWARD IRANSFERRED BALANCE,,-39.24,320.20,,,,,,2,,0,,,no check,no total printed
