dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
monty_tech,2017,FY2017,142,,,"Chapter 70                    13,764,000",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,13800675.00,13837825.00,13920325.00,14144811.00,224486.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Transportation Reimbursement     815,343",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,1065340.00,1197975.00,1331125.00,1232580.00,-98545.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"School Building Authority Aid    948,213",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,948213.00,948213.00,948213.00,948213.00,,,,,4,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Community Assessments           8,682,724",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,9441464.00,10039328.00,10120930.00,10314076.00,193146.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Interest Income                   11,541",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,10696.00,18220.00,39725.00,,-39725.00,,,,4,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Miscellaneous Receipts           629,815",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,121214.00,59196.00,145590.00,,-145590.00,,,,4,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Appropriation from E&D           350,000",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,480000.00,500000.00,295000.00,256000.00,-39000.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Total General Fund Income  $25,451,635",,subtotal,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,25867602.00,26600757.00,26800908.00,26895680.00,94772.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"District Leadership              964,228",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,978813.00,899065.00,900557.00,943661.00,43104.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Instruction                    12,673,632",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,13000254.00,13650061.00,13588046.00,13763204.00,175158.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Student Services                2,424,489",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2669694.00,2724344.00,2810455.00,2896228.00,85773.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Operations & Maintenance        2,897,024",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,3144022.00,3142047.00,3183704.00,3106815.00,-76889.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Fixed Charges                   4,055,703",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,4041062.00,3948530.00,3976770.00,4341409.00,364639.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Fixed Assets                     315,000",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,223688.00,293050.00,357679.00,325000.00,-32679.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Tuition                         242,000",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,280442.00,363088.00,343079.00,318100.00,-24979.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,,"Total Expenses   $23,572,076",,subtotal,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,24337975.00,25020185.00,25160290.00,25694417.00,534127.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,Debt Service                               13-14,"Principal                        923,000",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,957000.00,994000.00,1030000.00,1068000.00,38000.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,Debt Service                               13-14,"Interest                        290,204",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,253099.00,214628.00,174669.00,133263.00,-41406.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,Debt Service                               13-14,"Total Expense      $1,213,204",,subtotal,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,1210099.00,1208628.00,1204669.00,1201263.00,-3406.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,Debt Service                               13-14,"Total General Fund Expenses $24,785,280",,subtotal,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,25548074.00,26228813.00,26364958.00,26895680.00,530722.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,Debt Service                               13-14,"Foundation Enrollment              1,453",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,1467.00,1486.00,1500.00,1496.00,-4.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,142,,Debt Service                               13-14,,,page_number,"the page number, not a line of the table",,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,,142.00,,,,,,,1,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,,,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,,2018.00,,,,,,,1,yes,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"""School Committee                    50,807",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,1100.00,64257.00,49609.00,46347.00,48708.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Superintendent's Office            241,484",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,1200.00,306758.00,227052.00,225577.00,313205.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Finance and Legal                  562,475",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,1400.00,535256.00,507984.00,510697.00,480966.00,0.00,,,6,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"District Technology                138,409",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,1450.00,72543.00,114420.00,117936.00,100782.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"FUNCTION 1000 DISTRICT LEADERSHIP  993,175",,subtotal,"subtotal: equals the 4 rows above it, in 3 of its columns",,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,,978813.00,899065.00,900557.00,943661.00,,,,4,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Curriculum Supervision             941,755",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2100.00,939668.00,848371.00,901120.00,960606.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Principal's Office                 408,374",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2200.00,414926.00,547659.00,530293.00,426018.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Building Technology                352,187",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2250.00,392725.00,391540.00,270624.00,268201.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Teaching Services                 8,246,589",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2300.00,8716852.00,9017173.00,9305704.00,9383997.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,Medical/Therapeutic Services,,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2320.00,,,,5500.00,,,,2,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Professional Development           244,852",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2350.00,203931.00,145778.00,187387.00,195106.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Textbooks and Instructional Materials 1,245",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2400.00,,991303.00,961161.00,927679.00,,,,4,yes,0,",672 873,032",,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Instructional Technology           144,214",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2450.00,133514.00,329423.00,100818.00,272840.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Student Services                 1,118,686",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2700.00,1238782.00,1274635.00,1225015.00,1203651.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Psychological Services             99,001",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,2800.00,86824.00,104180.00,105924.00,119606.00,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"FUNCTION 2000 INSTRUCTION        12,801,330",,subtotal,"subtotal: equals the 9 rows above it, in 2 of its columns",,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,,13000254.00,13650061.00,13588046.00,13763204.00,,,,4,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Health Services                    173,895",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,3200.00,185231.00,203933.00,211489.00,214.97,,,,5,,0,,,no check,no total printed
monty_tech,2017,FY2017,143,,Debt Service                               13-14,"Student Transportation            1,530,231",,row,,,,,General Fund- Income and Expense Summary | Received Received Received Received Proposed Change | General Fund Income 13-14 14-15 15-16 16-17 17-18 (Decrease) % Change | State Aid | Local Receipts,3300.00,1800038.00,1865983.00,1895421.00,1988366.00,,,,5,,0,,,no check,no total printed
