page	x	y	w	h	conf	text
54	0.05639	0.93459	0.06166	0.01744	1.000	average
54	0.12085	0.93476	0.05583	0.01726	1.000	annual
54	0.17947	0.93476	0.06699	0.01726	1.000	increase
54	0.24925	0.93476	0.01675	0.01726	1.000	of
54	0.26879	0.93476	0.04187	0.01726	1.000	$449
54	0.31345	0.93476	0.02512	0.01726	1.000	for
54	0.34137	0.93476	0.01117	0.01726	1.000	a
54	0.35532	0.93476	0.10607	0.01726	1.000	single-family
54	0.46419	0.93476	0.08374	0.01726	1.000	household
54	0.55072	0.93476	0.05583	0.01726	1.000	valued
54	0.60934	0.93476	0.01396	0.01726	1.000	at
54	0.62609	0.93476	0.08374	0.01726	1.000	$504,937.
54	0.71262	0.93476	0.03908	0.01726	1.000	This
54	0.75449	0.93476	0.01675	0.01726	1.000	is
54	0.77403	0.93476	0.00837	0.01726	1.000	a
54	0.78520	0.93476	0.05304	0.01726	1.000	6.19%
54	0.84103	0.93476	0.06699	0.01726	1.000	increase
54	0.91081	0.93459	0.01776	0.01744	1.000	in
54	0.05625	0.91654	0.06972	0.01535	1.000	property
54	0.12801	0.91738	0.03379	0.01493	1.000	tax.
54	0.05639	0.88081	0.01421	0.01744	1.000	If
54	0.07339	0.88089	0.02791	0.01726	1.000	the
54	0.10410	0.88089	0.06699	0.01726	1.000	override
54	0.17388	0.88089	0.01396	0.01726	1.000	is
54	0.19063	0.88089	0.06978	0.01726	1.000	rejected,
54	0.26321	0.88089	0.06141	0.01726	1.000	Article
54	0.32741	0.88089	0.01954	0.01726	1.000	12
54	0.34974	0.88089	0.07258	0.01726	1.000	proposes
54	0.42511	0.88089	0.01117	0.01726	1.000	a
54	0.43907	0.88089	0.07537	0.01726	1.000	$500,000
54	0.51722	0.88089	0.03908	0.01726	1.000	Free
54	0.55910	0.88089	0.03908	0.01726	1.000	Cash
54	0.60097	0.88089	0.06141	0.01726	1.000	transfer
54	0.66517	0.88089	0.01675	0.01726	1.000	to
54	0.68471	0.88089	0.02791	0.01726	1.000	the
54	0.71541	0.88089	0.05583	0.01726	1.000	School
54	0.77403	0.88089	0.09491	0.01726	1.000	Department
54	0.87173	0.88089	0.01954	0.01726	1.000	as
54	0.89406	0.88081	0.01007	0.01744	1.000	a
54	0.05639	0.86483	0.08400	0.01744	1.000	temporary
54	0.14318	0.86490	0.06699	0.01726	1.000	measure
54	0.21296	0.86490	0.01675	0.01726	1.000	to
54	0.23250	0.86490	0.04466	0.01726	1.000	delay
54	0.27996	0.86490	0.05862	0.01726	1.000	service
54	0.34137	0.86490	0.03908	0.01726	1.000	cuts.
54	0.38324	0.86490	0.03071	0.01726	1.000	The
54	0.41673	0.86490	0.05862	0.01726	1.000	School
54	0.47815	0.86490	0.08653	0.01726	1.000	Committee
54	0.56747	0.86490	0.03071	0.01726	1.000	has
54	0.60097	0.86490	0.02512	0.01726	1.000	not
54	0.62888	0.86490	0.02791	0.01726	1.000	yet
54	0.65959	0.86490	0.08932	0.01726	1.000	determined
54	0.75170	0.86490	0.03629	0.01726	1.000	how
54	0.79078	0.86490	0.04187	0.01726	1.000	these
54	0.83544	0.86490	0.04466	0.01726	1.000	funds
54	0.88290	0.86483	0.05319	0.01744	1.000	would
54	0.05639	0.84593	0.01979	0.01744	1.000	be
54	0.07898	0.84596	0.07816	0.01726	1.000	allocated,
54	0.15993	0.84596	0.03908	0.01726	1.000	with
54	0.20180	0.84596	0.05583	0.01726	1.000	further
54	0.26042	0.84596	0.05304	0.01726	1.000	details
54	0.31624	0.84596	0.06978	0.01726	1.000	expected
54	0.38882	0.84596	0.01675	0.01726	1.000	at
54	0.40836	0.84596	0.06141	0.01726	1.000	Annual
54	0.47256	0.84596	0.04745	0.01726	1.000	Town
54	0.52281	0.84593	0.07306	0.01744	1.000	Meeting.
54	0.05827	0.81250	0.03528	0.01599	1.000	Fire
54	0.09606	0.81271	0.10580	0.01557	1.000	Department
54	0.20438	0.81250	0.09637	0.01599	1.000	Operations
54	0.05827	0.77609	0.03065	0.01896	1.000	The
54	0.09198	0.77609	0.03370	0.01894	1.000	Fire
54	0.12874	0.77609	0.09498	0.01894	1.000	Department
54	0.22678	0.77609	0.07047	0.01894	1.000	currently
54	0.30031	0.77609	0.06740	0.01894	1.000	operates
54	0.37078	0.77609	0.03983	0.01894	1.000	three
54	0.41367	0.77609	0.04596	0.01894	1.000	shifts
54	0.46269	0.77609	0.07047	0.01894	1.000	covering
54	0.53622	0.77609	0.03676	0.01894	1.000	24/7
54	0.57605	0.77609	0.04289	0.01894	1.000	town
54	0.62200	0.77609	0.08885	0.01894	1.000	operations,
54	0.71392	0.77609	0.05821	0.01894	1.000	leading
54	0.77519	0.77609	0.01532	0.01894	1.000	to
54	0.79357	0.77609	0.01225	0.01894	1.000	a
54	0.80889	0.77609	0.06740	0.01894	1.000	48-hour,
54	0.87936	0.77609	0.03418	0.01896	1.000	six-
54	0.05639	0.75872	0.10912	0.01744	1.000	day-per-week
54	0.16830	0.75884	0.07816	0.01726	1.000	schedule.
54	0.24925	0.75884	0.06699	0.01726	1.000	Sundays
54	0.31904	0.75884	0.02512	0.01726	1.000	are
54	0.34695	0.75884	0.06420	0.01726	1.000	covered
54	0.41394	0.75884	0.02233	0.01726	1.000	by
54	0.43907	0.75884	0.03071	0.01726	1.000	call
54	0.47256	0.75884	0.03071	0.01726	1.000	and
54	0.50606	0.75884	0.07258	0.01726	1.000	per-diem
54	0.58143	0.75884	0.04187	0.01726	1.000	staff,
54	0.62609	0.75884	0.03629	0.01726	1.000	with
54	0.66517	0.75884	0.03908	0.01726	1.000	62%
54	0.70704	0.75884	0.01954	0.01726	1.000	of
54	0.72937	0.75884	0.06978	0.01726	1.000	coverage
54	0.80195	0.75884	0.07258	0.01726	1.000	provided
54	0.87731	0.75872	0.02306	0.01744	1.000	by
54	0.05639	0.74116	0.04927	0.01901	1.000	career
54	0.10873	0.74116	0.09498	0.01894	1.000	firefighters.
54	0.20677	0.74116	0.02145	0.01894	1.000	Of
54	0.23128	0.74116	0.02757	0.01894	1.000	the
54	0.26191	0.74116	0.03064	0.01894	1.000	197
54	0.29562	0.74116	0.11642	0.01894	1.000	Massachusetts
54	0.41510	0.74116	0.03064	0.01894	1.000	Fire
54	0.44880	0.74116	0.10417	0.01894	1.000	Departments
54	0.55603	0.74116	0.07659	0.01894	1.000	providing
54	0.63569	0.74116	0.03676	0.01894	1.000	24/7
54	0.67552	0.74116	0.07659	0.01894	1.000	coverage,
54	0.75517	0.74116	0.08885	0.01894	1.000	Lunenburg
54	0.84709	0.74116	0.01532	0.01894	1.000	is
54	0.86547	0.74116	0.03064	0.01894	1.000	one
54	0.89917	0.74116	0.02000	0.01901	1.000	of
54	0.05639	0.72384	0.03654	0.01744	1.000	only
54	0.09572	0.72391	0.02512	0.01726	1.000	six
