dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
appropriations,2011,FY2011,61,,,,,row,,,accountant-schedule,,"$11,060.0",,,840000.00,,,,,,1,,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,fwd,,row,,,accountant-schedule,,"$11,060.0",1426.38,,,,,,,,1,,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,,,row,,,accountant-schedule,,"$11,060.0",21587.40,4.00,,,,,,,2,yes,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,,,row,,,accountant-schedule,,"$11,060.0",4785.00,0.00,,,,,,,2,yes,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,,,subtotal,"subtotal: equals the 3 rows above it, in 1 of its columns (v1)",,accountant-schedule,,"$11,060.0",27798.80,2.00,,,,,,,2,yes,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,,,row,,,accountant-schedule,,"$11,060.0",3980.00,,,,,,,,1,,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,,,row,,,accountant-schedule,,"$11,060.0",7080.00,0.00,,,,,,,2,yes,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,,,subtotal,"subtotal: equals the 2 rows above it, in 1 of its columns (v1)",,accountant-schedule,,"$11,060.0",11060.00,,,,,,,,1,,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,fwa,,row,,,accountant-schedule,,"$11,060.0",143.20,,,,,,,,1,,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,,,row,,,accountant-schedule,,"$11,060.0",7984.50,6.00,,,,,,,2,yes,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
appropriations,2011,FY2011,61,,,,,row,,,accountant-schedule,,"$11,060.0",3039.00,,,,,,,,1,,0,,"v1=appropriated | v2=available | v3=expended (identity holds 16, fails 12)",check failed,"appropriated: 26,433,400.67 vs 27,948,061.40 (-1,514,660.73) ; available: 27,140,085.80 vs 27,948,061.40 (-807,975.60) ; expended: 26,516,499.61 vs 27,561,000.62 (-1,044,501.01)"
